"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.062","0.02142","8.083","0.0008953","0.001307","0.002009"
"0.0125","7.056","0.02374","7.08","0.001227","0.001646","0.002604"
"0.015","6.305","0.02568","6.331","0.001601","0.001989","0.003235"
"0.0175","5.722","0.02736","5.749","0.002016","0.002335","0.0039"
"0.02","5.254","0.02883","5.283","0.00247","0.002681","0.004598"
"0.025","4.548","0.03135","4.58","0.00349","0.003376","0.006082"
"0.03","4.04","0.03348","4.073","0.00465","0.004069","0.007669"
"0.035","3.654","0.03532","3.689","0.005942","0.004759","0.009339"
"0.04","3.35","0.03697","3.387","0.007359","0.005445","0.01107"
"0.045","3.105","0.03846","3.144","0.008893","0.006126","0.01285"
"0.05","2.903","0.03983","2.942","0.01054","0.006802","0.01467"
"0.055","2.732","0.0411","2.773","0.01229","0.007473","0.01651"
"0.06","2.587","0.04229","2.629","0.01414","0.008138","0.01837"
"0.07","2.351","0.04448","2.396","0.01813","0.009451","0.02211"
"0.08","2.169","0.04646","2.216","0.02248","0.01074","0.02586"
"0.09","2.024","0.0483","2.072","0.02715","0.01201","0.02959"
"0.1","1.905","0.05001","1.955","0.03212","0.01325","0.03331"
"0.125","1.686","0.05389","1.74","0.04573","0.01626","0.04245"
"0.15","1.536","0.05735","1.593","0.06078","0.01914","0.0514"
"0.175","1.427","0.06054","1.488","0.07704","0.02189","0.06014"
"0.2","1.346","0.06355","1.409","0.09432","0.02451","0.06871"
"0.25","1.232","0.06926","1.301","0.1314","0.02946","0.08535"
"0.3","1.157","0.07472","1.232","0.1709","0.03405","0.1014"
"0.35","1.106","0.08007","1.186","0.2123","0.03834","0.117"
"0.4","1.069","0.08537","1.155","0.2551","0.04239","0.1322"
"0.45","1.042","0.09063","1.133","0.2988","0.04624","0.147"
"0.5","1.022","0.09591","1.118","0.3433","0.04991","0.1615"
"0.55","1.007","0.1012","1.108","0.3882","0.05342","0.1757"
"0.6","0.9954","0.1065","1.102","0.4335","0.0568","0.1896"
"0.7","0.9799","0.1171","1.097","0.5245","0.06322","0.2168"
"0.8","0.9712","0.1278","1.099","0.6156","0.06926","0.2431"
"0.9","0.9668","0.1385","1.105","0.7063","0.07499","0.2688"
"1","0.9651","0.1494","1.115","0.7965","0.08046","0.2938"
"1.25","0.968","0.177","1.145","1.018","0.09326","0.354"
"1.5","0.9756","0.2051","1.181","1.233","0.1051","0.4114"
"1.75","0.9852","0.2337","1.219","1.441","0.1162","0.4665"
"2","0.9954","0.2627","1.258","1.643","0.1267","0.5195"
"2.5","1.015","0.322","1.337","2.029","0.1464","0.6202"
"3","1.034","0.3827","1.417","2.392","0.1646","0.7149"
"3.5","1.05","0.4446","1.495","2.735","0.1816","0.8044"
"4","1.065","0.5076","1.573","3.061","0.1977","0.8896"
"4.5","1.079","0.5716","1.65","3.372","0.2129","0.9708"
"5","1.091","0.6363","1.727","3.668","0.2274","1.049"
"5.5","1.102","0.7019","1.804","3.951","0.2412","1.123"
"6","1.112","0.7682","1.88","4.223","0.2543","1.195"
"7","1.13","0.9025","2.032","4.734","0.2789","1.33"
"8","1.145","1.039","2.184","5.209","0.3016","1.456"
"9","1.158","1.178","2.336","5.651","0.3226","1.573"
"10","1.17","1.317","2.487","6.066","0.342","1.683"
"12.5","1.194","1.674","2.867","7.002","0.3852","1.931"
"15","1.213","2.037","3.25","7.82","0.422","2.148"
"17.5","1.229","2.405","3.634","8.547","0.4538","2.341"
"20","1.242","2.778","4.02","9.201","0.4817","2.514"
"25","1.264","3.535","4.799","10.34","0.5284","2.816"
"30","1.281","4.303","5.584","11.3","0.566","3.075"
"35","1.295","5.079","6.374","12.14","0.5972","3.301"
"40","1.307","5.863","7.17","12.88","0.6235","3.503"
"45","1.317","6.653","7.97","13.54","0.6461","3.686"
"50","1.326","7.446","8.772","14.14","0.6657","3.852"
"55","1.334","8.245","9.579","14.68","0.6829","4.005"
"60","1.341","9.048","10.39","15.19","0.6981","4.147"
"70","1.354","10.66","12.02","16.08","0.724","4.403"
"80","1.364","12.29","13.65","16.86","0.7453","4.629"
"90","1.373","13.92","15.29","17.55","0.7631","4.831"
"100","1.381","15.56","16.94","18.17","0.7782","5.015"
"125","1.398","19.68","21.08","19.49","0.8079","5.409"
"150","1.411","23.82","25.23","20.58","0.8298","5.738"
"175","1.422","27.98","29.4","21.49","0.8467","6.02"
"200","1.431","32.16","33.59","22.29","0.8602","6.266"
"250","1.446","40.52","41.97","23.62","0.8805","6.683"
"300","1.458","48.91","50.37","24.7","0.8951","7.028"
"350","1.468","57.31","58.78","25.62","0.9063","7.322"
"400","1.477","65.73","67.2","26.42","0.9151","7.579"
"450","1.485","74.14","75.63","27.12","0.9222","7.806"
"500","1.491","82.57","84.06","27.74","0.9281","8.01"
"550","1.498","91.01","92.51","28.31","0.9331","8.195"
"600","1.503","99.45","100.9","28.83","0.9374","8.364"
"700","1.513","116.3","117.8","29.74","0.9444","8.665"
"800","1.521","133.2","134.7","30.54","0.9498","8.926"
"900","1.528","150.1","151.7","31.24","0.9542","9.157"
"1000","1.535","167","168.6","31.86","0.9578","9.365"
