"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.428","0.02045","8.448","0.0008255","0.001191","0.0004841"
"0.0125","7.356","0.02251","7.379","0.001143","0.0015","0.0006147"
"0.015","6.561","0.02421","6.585","0.001502","0.00181","0.0007491"
"0.0175","5.945","0.02566","5.971","0.001902","0.002121","0.0008872"
"0.02","5.453","0.02693","5.48","0.002339","0.002432","0.001029"
"0.025","4.714","0.02908","4.743","0.003323","0.003051","0.001324"
"0.03","4.182","0.03086","4.212","0.004445","0.003664","0.001633"
"0.035","3.779","0.0324","3.812","0.005695","0.004271","0.001956"
"0.04","3.463","0.03376","3.497","0.007066","0.004872","0.002294"
"0.045","3.208","0.035","3.243","0.008552","0.005467","0.002646"
"0.05","2.997","0.03613","3.034","0.01015","0.006055","0.003011"
"0.055","2.821","0.03718","2.858","0.01185","0.006638","0.00339"
"0.06","2.67","0.03817","2.708","0.01365","0.007214","0.003783"
"0.07","2.426","0.03998","2.466","0.01752","0.008349","0.004608"
"0.08","2.237","0.04162","2.279","0.02175","0.009461","0.005485"
"0.09","2.087","0.04313","2.13","0.02629","0.01055","0.006413"
"0.1","1.964","0.04454","2.008","0.03113","0.01162","0.007392"
"0.125","1.737","0.04772","1.785","0.04438","0.01419","0.01005"
"0.15","1.583","0.05054","1.633","0.05905","0.01664","0.013"
"0.175","1.471","0.05312","1.524","0.07492","0.01896","0.01623"
"0.2","1.387","0.05555","1.442","0.0918","0.02118","0.01971"
"0.25","1.269","0.06015","1.329","0.128","0.02533","0.02736"
"0.3","1.193","0.0646","1.257","0.1668","0.02917","0.03579"
"0.35","1.14","0.069","1.209","0.2074","0.03276","0.04484"
"0.4","1.102","0.0734","1.175","0.2494","0.03614","0.05437"
"0.45","1.074","0.07781","1.152","0.2924","0.03935","0.06426"
"0.5","1.053","0.08228","1.135","0.3361","0.04241","0.07443"
"0.55","1.037","0.08677","1.124","0.3804","0.04536","0.08479"
"0.6","1.026","0.09132","1.117","0.425","0.0482","0.09529"
"0.7","1.009","0.1005","1.11","0.5149","0.05363","0.1166"
"0.8","1","0.1098","1.11","0.605","0.05877","0.138"
"0.9","0.9957","0.1193","1.115","0.6949","0.06369","0.1595"
"1","0.9939","0.129","1.123","0.7843","0.06842","0.1809"
"1.25","0.9966","0.1537","1.15","1.004","0.0796","0.2337"
"1.5","1.004","0.1792","1.183","1.219","0.09009","0.2854"
"1.75","1.014","0.2053","1.219","1.427","0.1001","0.336"
"2","1.024","0.232","1.256","1.629","0.1096","0.3855"
"2.5","1.044","0.2866","1.331","2.016","0.1277","0.4817"
"3","1.063","0.3427","1.406","2.381","0.1447","0.5743"
"3.5","1.08","0.3999","1.48","2.728","0.1608","0.6631"
"4","1.095","0.4582","1.553","3.057","0.1761","0.7479"
"4.5","1.108","0.5174","1.626","3.372","0.1906","0.8289"
"5","1.12","0.5773","1.698","3.673","0.2045","0.9061"
"5.5","1.132","0.6379","1.769","3.962","0.2177","0.9798"
"6","1.142","0.6991","1.841","4.239","0.2304","1.05"
"7","1.16","0.8233","1.983","4.762","0.2543","1.182"
"8","1.175","0.9495","2.125","5.249","0.2765","1.304"
"9","1.189","1.077","2.266","5.705","0.297","1.417"
"10","1.201","1.206","2.407","6.133","0.3162","1.523"
"12.5","1.226","1.535","2.761","7.102","0.3589","1.759"
"15","1.246","1.87","3.116","7.954","0.3955","1.964"
"17.5","1.262","2.21","3.472","8.713","0.4274","2.147"
"20","1.277","2.554","3.83","9.399","0.4555","2.31"
"25","1.299","3.252","4.551","10.59","0.5028","2.596"
"30","1.318","3.961","5.279","11.61","0.5412","2.841"
"35","1.332","4.678","6.011","12.5","0.5731","3.055"
"40","1.345","5.402","6.747","13.29","0.6002","3.247"
"45","1.356","6.132","7.488","13.99","0.6235","3.42"
"50","1.365","6.865","8.231","14.63","0.6439","3.579"
"55","1.374","7.603","8.977","15.21","0.6618","3.725"
"60","1.381","8.345","9.726","15.74","0.6777","3.861"
"70","1.395","9.836","11.23","16.7","0.7048","4.107"
"80","1.406","11.34","12.74","17.53","0.727","4.326"
"90","1.415","12.84","14.26","18.28","0.7457","4.521"
"100","1.423","14.36","15.78","18.94","0.7617","4.699"
"125","1.441","18.16","19.6","20.36","0.7931","5.083"
"150","1.455","21.98","23.44","21.53","0.8164","5.404"
"175","1.466","25.82","27.29","22.51","0.8343","5.679"
"200","1.476","29.66","31.14","23.37","0.8488","5.921"
"250","1.491","37.37","38.86","24.8","0.8705","6.33"
"300","1.504","45.09","46.6","25.98","0.8862","6.67"
"350","1.514","52.83","54.35","26.97","0.8982","6.96"
"400","1.523","60.58","62.1","27.83","0.9077","7.213"
"450","1.531","68.33","69.86","28.59","0.9153","7.438"
"500","1.538","76.09","77.63","29.27","0.9217","7.64"
"550","1.544","83.86","85.4","29.88","0.9271","7.824"
"600","1.55","91.63","93.18","30.44","0.9317","7.992"
"700","1.56","107.2","108.7","31.43","0.9393","8.29"
"800","1.568","122.7","124.3","32.29","0.9452","8.55"
"900","1.576","138.3","139.9","33.05","0.95","8.78"
"1000","1.583","153.9","155.5","33.73","0.9539","8.986"
