"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.532","0.021","8.553","0.0008177","0.001206","0.0004179"
"0.0125","7.45","0.02315","7.473","0.001131","0.00152","0.0005311"
"0.015","6.645","0.02492","6.67","0.001486","0.001836","0.0006477"
"0.0175","6.023","0.02645","6.049","0.00188","0.002153","0.0007678"
"0.02","5.525","0.02777","5.553","0.002312","0.00247","0.0008912"
"0.025","4.776","0.03002","4.806","0.003283","0.003101","0.001148"
"0.03","4.238","0.0319","4.269","0.00439","0.003728","0.001418"
"0.035","3.83","0.03352","3.863","0.005623","0.004349","0.001701"
"0.04","3.51","0.03496","3.545","0.006976","0.004964","0.001996"
"0.045","3.252","0.03626","3.288","0.008442","0.005573","0.002304"
"0.05","3.038","0.03746","3.076","0.01002","0.006176","0.002625"
"0.055","2.859","0.03857","2.898","0.01169","0.006773","0.002957"
"0.06","2.706","0.0396","2.746","0.01347","0.007364","0.003301"
"0.07","2.459","0.04151","2.501","0.01729","0.008529","0.004025"
"0.08","2.268","0.04325","2.311","0.02145","0.009671","0.004795"
"0.09","2.116","0.04485","2.161","0.02593","0.01079","0.005609"
"0.1","1.991","0.04634","2.038","0.0307","0.01189","0.006467"
"0.125","1.762","0.0497","1.812","0.04376","0.01453","0.008794"
"0.15","1.605","0.05269","1.658","0.05822","0.01705","0.01137"
"0.175","1.492","0.05542","1.547","0.07385","0.01945","0.01417"
"0.2","1.407","0.05799","1.465","0.09048","0.02173","0.01718"
"0.25","1.288","0.06287","1.35","0.1261","0.02601","0.02374"
"0.3","1.21","0.06757","1.278","0.1643","0.02997","0.03087"
"0.35","1.156","0.0722","1.229","0.2042","0.03367","0.03842"
"0.4","1.118","0.07683","1.195","0.2455","0.03715","0.04627"
"0.45","1.09","0.08149","1.172","0.2878","0.04046","0.05434"
"0.5","1.069","0.08616","1.155","0.3308","0.04362","0.06258"
"0.55","1.053","0.09087","1.144","0.3743","0.04666","0.07097"
"0.6","1.041","0.09563","1.137","0.4181","0.04958","0.07948"
"0.7","1.025","0.1052","1.131","0.5064","0.05516","0.09681"
"0.8","1.017","0.115","1.131","0.5948","0.06044","0.1145"
"0.9","1.012","0.1249","1.137","0.683","0.06547","0.1323"
"1","1.01","0.1349","1.145","0.7707","0.07031","0.1504"
"1.25","1.014","0.1606","1.174","0.9864","0.08172","0.1957"
"1.5","1.022","0.187","1.209","1.196","0.0924","0.2408"
"1.75","1.032","0.214","1.246","1.4","0.1025","0.2854"
"2","1.043","0.2416","1.284","1.598","0.1122","0.3292"
"2.5","1.064","0.2981","1.362","1.976","0.1305","0.4144"
"3","1.083","0.3561","1.44","2.333","0.1476","0.4967"
"3.5","1.101","0.4153","1.516","2.671","0.1638","0.5761"
"4","1.117","0.4755","1.592","2.993","0.1791","0.6528"
"4.5","1.131","0.5365","1.667","3.3","0.1937","0.7268"
"5","1.144","0.5984","1.742","3.593","0.2076","0.798"
"5.5","1.155","0.661","1.816","3.874","0.2209","0.8666"
"6","1.166","0.7242","1.89","4.144","0.2336","0.9327"
"7","1.185","0.8525","2.037","4.653","0.2576","1.058"
"8","1.201","0.9827","2.183","5.127","0.2797","1.174"
"9","1.215","1.115","2.329","5.571","0.3002","1.282"
"10","1.227","1.248","2.475","5.987","0.3194","1.384"
"12.5","1.253","1.587","2.84","6.929","0.362","1.614"
"15","1.274","1.933","3.207","7.757","0.3986","1.815"
"17.5","1.291","2.284","3.575","8.495","0.4304","1.993"
"20","1.305","2.64","3.945","9.161","0.4584","2.155"
"25","1.329","3.361","4.69","10.32","0.5056","2.437"
"30","1.347","4.093","5.441","11.31","0.5439","2.678"
"35","1.362","4.834","6.197","12.17","0.5757","2.89"
"40","1.375","5.583","6.958","12.93","0.6027","3.079"
"45","1.387","6.336","7.723","13.61","0.6259","3.251"
"50","1.396","7.095","8.491","14.23","0.6462","3.408"
"55","1.405","7.858","9.263","14.8","0.664","3.553"
"60","1.413","8.624","10.04","15.31","0.6798","3.687"
"70","1.426","10.17","11.59","16.24","0.7068","3.931"
"80","1.438","11.72","13.15","17.05","0.7289","4.147"
"90","1.447","13.27","14.72","17.77","0.7475","4.341"
"100","1.456","14.84","16.3","18.41","0.7634","4.518"
"125","1.474","18.77","20.24","19.79","0.7946","4.9"
"150","1.488","22.72","24.21","20.92","0.8177","5.218"
"175","1.499","26.69","28.19","21.87","0.8356","5.492"
"200","1.509","30.66","32.17","22.7","0.8499","5.733"
"250","1.525","38.63","40.15","24.09","0.8715","6.14"
"300","1.538","46.61","48.15","25.22","0.8871","6.479"
"350","1.549","54.61","56.16","26.19","0.899","6.768"
"400","1.558","62.62","64.17","27.02","0.9084","7.021"
"450","1.566","70.63","72.19","27.75","0.916","7.245"
"500","1.573","78.65","80.23","28.41","0.9224","7.446"
"550","1.579","86.68","88.26","29","0.9277","7.629"
"600","1.585","94.71","96.3","29.54","0.9323","7.797"
"700","1.595","110.8","112.4","30.51","0.9398","8.095"
"800","1.604","126.9","128.5","31.34","0.9457","8.355"
"900","1.612","143","144.6","32.07","0.9504","8.584"
"1000","1.618","159.1","160.7","32.73","0.9543","8.79"
