"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.014","0.02156","8.035","0.0009105","0.001328","0.002095"
"0.0125","7.019","0.02391","7.043","0.001244","0.00167","0.002732"
"0.015","6.275","0.02588","6.301","0.00162","0.002017","0.003415"
"0.0175","5.696","0.02758","5.723","0.002037","0.002367","0.004142"
"0.02","5.232","0.02907","5.261","0.002493","0.002717","0.004913"
"0.025","4.531","0.03165","4.563","0.003517","0.00342","0.006571"
"0.03","4.025","0.03381","4.059","0.004681","0.004123","0.008365"
"0.035","3.641","0.03569","3.677","0.005978","0.004822","0.01027"
"0.04","3.34","0.03737","3.377","0.007399","0.005518","0.01225"
"0.045","3.095","0.03888","3.134","0.008937","0.006209","0.0143"
"0.05","2.894","0.04028","2.934","0.01059","0.006895","0.01639"
"0.055","2.724","0.04157","2.766","0.01234","0.007575","0.01851"
"0.06","2.579","0.04278","2.622","0.0142","0.00825","0.02065"
"0.07","2.345","0.04502","2.39","0.0182","0.009583","0.02495"
"0.08","2.163","0.04704","2.21","0.02256","0.01089","0.02924"
"0.09","2.018","0.04891","2.067","0.02724","0.01218","0.0335"
"0.1","1.9","0.05065","1.951","0.03223","0.01344","0.03772"
"0.125","1.682","0.0546","1.736","0.04586","0.0165","0.04805"
"0.15","1.532","0.05815","1.59","0.06094","0.01943","0.05807"
"0.175","1.424","0.06141","1.485","0.07723","0.02222","0.0678"
"0.2","1.343","0.06448","1.407","0.09454","0.02489","0.07726"
"0.25","1.229","0.07031","1.299","0.1316","0.02992","0.09549"
"0.3","1.155","0.07588","1.231","0.1712","0.03459","0.1129"
"0.35","1.103","0.08135","1.185","0.2127","0.03897","0.1297"
"0.4","1.067","0.08674","1.154","0.2555","0.04309","0.146"
"0.45","1.04","0.09211","1.132","0.2993","0.047","0.1617"
"0.5","1.02","0.09748","1.117","0.3438","0.05074","0.177"
"0.55","1.005","0.1029","1.108","0.3887","0.05431","0.1919"
"0.6","0.9932","0.1082","1.101","0.434","0.05775","0.2065"
"0.7","0.9778","0.119","1.097","0.525","0.06428","0.2348"
"0.8","0.9691","0.1298","1.099","0.6162","0.07041","0.262"
"0.9","0.9647","0.1408","1.106","0.7069","0.07623","0.2883"
"1","0.9631","0.1518","1.115","0.797","0.08179","0.3139"
"1.25","0.966","0.1797","1.146","1.018","0.09475","0.3748"
"1.5","0.9738","0.2081","1.182","1.233","0.1067","0.4324"
"1.75","0.9835","0.237","1.221","1.441","0.1179","0.4872"
"2","0.9937","0.2663","1.26","1.643","0.1286","0.5396"
"2.5","1.014","0.3262","1.34","2.028","0.1484","0.6388"
"3","1.033","0.3874","1.42","2.39","0.1667","0.7315"
"3.5","1.049","0.4499","1.499","2.733","0.1838","0.8189"
"4","1.065","0.5135","1.578","3.058","0.2","0.9018"
"4.5","1.078","0.578","1.656","3.367","0.2152","0.9808"
"5","1.09","0.6434","1.734","3.662","0.2297","1.056"
"5.5","1.102","0.7095","1.811","3.944","0.2435","1.129"
"6","1.112","0.7764","1.888","4.215","0.2567","1.198"
"7","1.13","0.912","2.042","4.724","0.2813","1.33"
"8","1.145","1.05","2.195","5.196","0.304","1.452"
"9","1.158","1.189","2.348","5.636","0.325","1.567"
"10","1.17","1.331","2.501","6.049","0.3444","1.675"
"12.5","1.195","1.69","2.885","6.979","0.3876","1.918"
"15","1.214","2.057","3.271","7.792","0.4243","2.131"
"17.5","1.23","2.429","3.659","8.515","0.4561","2.321"
"20","1.244","2.805","4.049","9.164","0.4839","2.492"
"25","1.266","3.569","4.835","10.29","0.5305","2.791"
"30","1.283","4.344","5.627","11.25","0.5681","3.047"
"35","1.297","5.128","6.425","12.08","0.5991","3.271"
"40","1.309","5.919","7.229","12.81","0.6253","3.47"
"45","1.32","6.716","8.035","13.47","0.6478","3.651"
"50","1.329","7.518","8.846","14.06","0.6673","3.816"
"55","1.337","8.324","9.661","14.6","0.6845","3.967"
"60","1.344","9.134","10.48","15.1","0.6997","4.108"
"70","1.357","10.76","12.12","15.99","0.7255","4.362"
"80","1.367","12.4","13.77","16.76","0.7466","4.586"
"90","1.376","14.05","15.43","17.45","0.7643","4.787"
"100","1.384","15.71","17.09","18.06","0.7794","4.969"
"125","1.401","19.87","21.27","19.37","0.8089","5.362"
"150","1.414","24.05","25.46","20.44","0.8307","5.689"
"175","1.425","28.25","29.68","21.35","0.8475","5.969"
"200","1.435","32.46","33.9","22.14","0.8609","6.215"
"250","1.45","40.91","42.36","23.46","0.8812","6.63"
"300","1.462","49.37","50.84","24.53","0.8957","6.974"
"350","1.473","57.86","59.33","25.44","0.9068","7.268"
"400","1.481","66.35","67.83","26.23","0.9156","7.523"
"450","1.489","74.85","76.34","26.93","0.9226","7.75"
"500","1.496","83.36","84.85","27.55","0.9285","7.953"
"550","1.502","91.87","93.37","28.11","0.9335","8.138"
"600","1.507","100.4","101.9","28.62","0.9378","8.307"
"700","1.517","117.4","118.9","29.53","0.9447","8.608"
"800","1.526","134.5","136","30.31","0.9501","8.869"
"900","1.533","151.5","153.1","31.01","0.9545","9.1"
"1000","1.54","168.6","170.2","31.63","0.9581","9.307"
