"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","12.08","0.01381","12.1","0.0005065","0.0005729","0.0001484"
"0.0125","10.35","0.01467","10.37","0.0007306","0.0007141","0.0001921"
"0.015","9.113","0.01535","9.129","0.0009882","0.0008533","0.0002383"
"0.0175","8.175","0.0159","8.191","0.001278","0.0009901","0.0002869"
"0.02","7.438","0.01635","7.455","0.001598","0.001125","0.000338"
"0.025","6.351","0.01707","6.368","0.002327","0.001388","0.0004473"
"0.03","5.584","0.01763","5.602","0.003166","0.001642","0.0005656"
"0.035","5.011","0.01808","5.03","0.00411","0.001889","0.0006926"
"0.04","4.567","0.01846","4.585","0.005153","0.00213","0.000828"
"0.045","4.211","0.01879","4.229","0.006289","0.002364","0.0009713"
"0.05","3.919","0.01908","3.938","0.007516","0.002592","0.001122"
"0.055","3.675","0.01935","3.694","0.008828","0.002815","0.001281"
"0.06","3.468","0.01959","3.487","0.01022","0.003033","0.001446"
"0.07","3.135","0.02003","3.155","0.01324","0.003454","0.001798"
"0.08","2.879","0.02042","2.9","0.01655","0.00386","0.002174"
"0.09","2.676","0.02078","2.697","0.02013","0.004251","0.002574"
"0.1","2.511","0.02112","2.532","0.02396","0.004628","0.002995"
"0.125","2.209","0.02192","2.231","0.03452","0.005522","0.004134"
"0.15","2.003","0.02268","2.026","0.04631","0.006355","0.005379"
"0.175","1.855","0.02341","1.878","0.05915","0.007138","0.006713"
"0.2","1.744","0.02414","1.768","0.07288","0.007879","0.008123"
"0.25","1.589","0.02564","1.614","0.1026","0.00926","0.01114"
"0.3","1.487","0.02722","1.515","0.1346","0.01054","0.01436"
"0.35","1.417","0.02889","1.446","0.1684","0.01175","0.01777"
"0.4","1.367","0.03065","1.398","0.2036","0.0129","0.02133"
"0.45","1.33","0.0325","1.363","0.2399","0.01401","0.02505"
"0.5","1.302","0.03443","1.337","0.277","0.01509","0.02893"
"0.55","1.281","0.03643","1.317","0.3146","0.01614","0.03297"
"0.6","1.265","0.03849","1.303","0.3528","0.01718","0.03718"
"0.7","1.242","0.04278","1.285","0.4301","0.01921","0.0462"
"0.8","1.229","0.04725","1.276","0.5083","0.02121","0.05608"
"0.9","1.221","0.05189","1.273","0.5867","0.02317","0.06689"
"1","1.218","0.05668","1.274","0.6652","0.02512","0.07863"
"1.25","1.218","0.06926","1.287","0.8606","0.02992","0.1114"
"1.5","1.225","0.08254","1.307","1.053","0.03468","0.1472"
"1.75","1.234","0.09639","1.331","1.243","0.03941","0.1845"
"2","1.245","0.1107","1.356","1.429","0.04412","0.2221"
"2.5","1.267","0.1405","1.408","1.791","0.05345","0.2963"
"3","1.288","0.1715","1.459","2.14","0.06265","0.3678"
"3.5","1.307","0.2034","1.51","2.477","0.07172","0.4366"
"4","1.324","0.2361","1.56","2.802","0.08063","0.5028"
"4.5","1.34","0.2694","1.609","3.118","0.08939","0.5669"
"5","1.354","0.3034","1.657","3.424","0.09798","0.6292"
"5.5","1.367","0.3378","1.705","3.721","0.1064","0.6899"
"6","1.378","0.3727","1.751","4.011","0.1147","0.7492"
"7","1.399","0.4438","1.843","4.567","0.1307","0.864"
"8","1.417","0.5161","1.933","5.097","0.1461","0.9738"
"9","1.432","0.5897","2.022","5.603","0.1609","1.079"
"10","1.445","0.6642","2.11","6.087","0.1752","1.179"
"12.5","1.473","0.8541","2.327","7.215","0.2085","1.411"
"15","1.495","1.048","2.543","8.242","0.2387","1.618"
"17.5","1.513","1.245","2.758","9.186","0.2664","1.804"
"20","1.528","1.445","2.973","10.06","0.2917","1.973"
"25","1.552","1.85","3.402","11.63","0.3366","2.267"
"30","1.572","2.262","3.833","13.01","0.3751","2.519"
"35","1.588","2.678","4.266","14.25","0.4086","2.738"
"40","1.601","3.099","4.7","15.37","0.438","2.933"
"45","1.613","3.522","5.135","16.38","0.4641","3.108"
"50","1.623","3.948","5.571","17.32","0.4875","3.267"
"55","1.632","4.375","6.008","18.18","0.5085","3.414"
"60","1.641","4.805","6.445","18.99","0.5275","3.55"
"70","1.655","5.668","7.323","20.44","0.5608","3.796"
"80","1.667","6.536","8.203","21.73","0.5889","4.014"
"90","1.677","7.408","9.085","22.89","0.6131","4.211"
"100","1.687","8.283","9.969","23.94","0.6341","4.389"
"125","1.705","10.48","12.18","26.2","0.6766","4.777"
"150","1.72","12.69","14.41","28.09","0.7089","5.101"
"175","1.732","14.9","16.63","29.7","0.7346","5.38"
"200","1.743","17.12","18.87","31.11","0.7555","5.624"
"250","1.76","21.58","23.34","33.49","0.7878","6.037"
"300","1.773","26.05","27.82","35.45","0.8116","6.379"
"350","1.785","30.52","32.31","37.12","0.83","6.67"
"400","1.794","35","36.8","38.56","0.8448","6.923"
"450","1.803","39.49","41.3","39.85","0.8569","7.148"
"500","1.811","43.99","45.8","41","0.8671","7.351"
"550","1.817","48.49","50.3","42.04","0.8757","7.534"
"600","1.823","52.99","54.81","42.99","0.8832","7.702"
"700","1.834","62","63.83","44.68","0.8955","8.002"
"800","1.844","71.02","72.86","46.14","0.9052","8.262"
"900","1.852","80.04","81.89","47.44","0.913","8.493"
"1000","1.859","89.07","90.93","48.6","0.9196","8.7"
