"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","14.99","0.009628","15","0.0003943","0.0003318","0.0006718"
"0.0125","12.75","0.01001","12.76","0.0005757","0.0004082","0.0008739"
"0.015","11.16","0.0103","11.17","0.0007857","0.0004825","0.001089"
"0.0175","9.963","0.01053","9.974","0.001023","0.0005549","0.001317"
"0.02","9.032","0.01071","9.043","0.001287","0.0006255","0.001557"
"0.025","7.669","0.01098","7.68","0.001889","0.000762","0.002074"
"0.03","6.715","0.01117","6.726","0.002587","0.0008927","0.002638"
"0.035","6.006","0.01132","6.017","0.003374","0.001018","0.003246"
"0.04","5.458","0.01144","5.47","0.004247","0.001139","0.003897"
"0.045","5.021","0.01155","5.033","0.005201","0.001257","0.004589"
"0.05","4.664","0.01164","4.675","0.006233","0.00137","0.00532"
"0.055","4.366","0.01172","4.378","0.007339","0.00148","0.006089"
"0.06","4.114","0.01179","4.125","0.008517","0.001588","0.006894"
"0.07","3.709","0.01192","3.721","0.01107","0.001794","0.008607"
"0.08","3.399","0.01205","3.411","0.01388","0.001991","0.01045"
"0.09","3.154","0.01217","3.166","0.01693","0.002179","0.0124"
"0.1","2.955","0.01229","2.967","0.0202","0.002361","0.01447"
"0.125","2.59","0.01261","2.603","0.02923","0.002788","0.02005"
"0.15","2.343","0.01295","2.356","0.03935","0.003186","0.02615"
"0.175","2.165","0.01331","2.178","0.05041","0.00356","0.03268"
"0.2","2.031","0.01369","2.044","0.06227","0.003916","0.03956"
"0.25","1.844","0.01453","1.859","0.088","0.004585","0.05416"
"0.3","1.722","0.01545","1.737","0.1159","0.005214","0.06962"
"0.35","1.637","0.01644","1.653","0.1454","0.005815","0.08571"
"0.4","1.575","0.01749","1.593","0.1763","0.006396","0.1023"
"0.45","1.53","0.0186","1.548","0.2081","0.006963","0.1192"
"0.5","1.495","0.01976","1.515","0.2408","0.007519","0.1365"
"0.55","1.468","0.02097","1.489","0.2741","0.008069","0.154"
"0.6","1.447","0.02222","1.469","0.3079","0.008614","0.1718"
"0.7","1.417","0.02483","1.442","0.3767","0.009694","0.2078"
"0.8","1.398","0.02757","1.426","0.4465","0.01077","0.2445"
"0.9","1.386","0.03042","1.416","0.5169","0.01184","0.2816"
"1","1.379","0.03338","1.412","0.5876","0.01291","0.3189"
"1.25","1.372","0.0412","1.413","0.7647","0.01561","0.4122"
"1.5","1.374","0.04954","1.423","0.9411","0.01833","0.5037"
"1.75","1.38","0.05828","1.438","1.116","0.02109","0.5922"
"2","1.387","0.06737","1.455","1.289","0.02389","0.6768"
"2.5","1.404","0.08639","1.491","1.628","0.02953","0.8343"
"3","1.421","0.1063","1.528","1.96","0.03524","0.9769"
"3.5","1.437","0.1269","1.564","2.283","0.04097","1.106"
"4","1.452","0.1481","1.6","2.599","0.04671","1.225"
"4.5","1.465","0.1698","1.635","2.908","0.05244","1.334"
"5","1.478","0.192","1.67","3.211","0.05814","1.435"
"5.5","1.489","0.2145","1.704","3.507","0.0638","1.53"
"6","1.5","0.2374","1.737","3.798","0.06943","1.619"
"7","1.518","0.2841","1.802","4.363","0.08054","1.783"
"8","1.535","0.3318","1.866","4.908","0.09144","1.932"
"9","1.549","0.3804","1.929","5.435","0.1021","2.069"
"10","1.561","0.4296","1.991","5.945","0.1126","2.197"
"12.5","1.587","0.5554","2.142","7.155","0.1376","2.484"
"15","1.607","0.6841","2.291","8.284","0.1612","2.736"
"17.5","1.624","0.815","2.439","9.341","0.1834","2.961"
"20","1.637","0.9477","2.585","10.34","0.2043","3.164"
"25","1.66","1.217","2.876","12.17","0.2426","3.519"
"30","1.677","1.49","3.167","13.82","0.2767","3.82"
"35","1.691","1.766","3.457","15.34","0.3074","4.081"
"40","1.703","2.045","3.748","16.72","0.335","4.311"
"45","1.714","2.326","4.039","18.01","0.3601","4.517"
"50","1.723","2.608","4.331","19.2","0.3831","4.703"
"55","1.731","2.892","4.623","20.32","0.4041","4.872"
"60","1.739","3.177","4.915","21.37","0.4234","5.028"
"70","1.752","3.75","5.502","23.29","0.4578","5.307"
"80","1.763","4.327","6.09","25.02","0.4877","5.551"
"90","1.773","4.906","6.679","26.59","0.5138","5.768"
"100","1.781","5.488","7.27","28.02","0.5369","5.963"
"125","1.799","6.952","8.751","31.15","0.5847","6.382"
"150","1.814","8.424","10.24","33.79","0.6221","6.728"
"175","1.826","9.902","11.73","36.07","0.6524","7.024"
"200","1.836","11.39","13.22","38.08","0.6775","7.282"
"250","1.853","14.36","16.22","41.49","0.7168","7.717"
"300","1.866","17.35","19.22","44.31","0.7465","8.074"
"350","1.878","20.35","22.22","46.73","0.7698","8.378"
"400","1.887","23.34","25.23","48.84","0.7886","8.642"
"450","1.896","26.35","28.25","50.71","0.8042","8.876"
"500","1.904","29.36","31.26","52.4","0.8174","9.085"
"550","1.911","32.37","34.28","53.92","0.8287","9.274"
"600","1.917","35.38","37.3","55.32","0.8385","9.447"
"700","1.928","41.42","43.34","57.81","0.8548","9.754"
"800","1.938","47.45","49.39","59.96","0.8677","10.02"
"900","1.946","53.5","55.44","61.87","0.8783","10.26"
"1000","1.954","59.55","61.5","63.59","0.8871","10.47"
