"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.979","0.01837","9.998","0.0006448","0.0008982","0.001468"
"0.0125","8.63","0.01995","8.65","0.0009146","0.001133","0.001888"
"0.015","7.646","0.02123","7.667","0.001222","0.001367","0.002332"
"0.0175","6.893","0.0223","6.916","0.001566","0.0016","0.002799"
"0.02","6.297","0.02322","6.321","0.001945","0.001831","0.00329"
"0.025","5.41","0.02473","5.435","0.002801","0.002288","0.004348"
"0.03","4.778","0.02597","4.804","0.003782","0.002737","0.00551"
"0.035","4.303","0.02701","4.33","0.00488","0.003177","0.006777"
"0.04","3.932","0.02792","3.96","0.00609","0.003611","0.008151"
"0.045","3.633","0.02873","3.662","0.007404","0.004037","0.00963"
"0.05","3.388","0.02947","3.417","0.008819","0.004457","0.01121"
"0.055","3.182","0.03015","3.212","0.01033","0.004871","0.01288"
"0.06","3.007","0.03079","3.038","0.01193","0.005278","0.01464"
"0.07","2.725","0.03194","2.757","0.01539","0.006076","0.01839"
"0.08","2.507","0.03299","2.54","0.01918","0.006853","0.02236"
"0.09","2.334","0.03394","2.368","0.02326","0.00761","0.02649"
"0.1","2.193","0.03484","2.228","0.02761","0.008347","0.03071"
"0.125","1.933","0.03685","1.97","0.03959","0.01012","0.04141"
"0.15","1.756","0.03865","1.795","0.05291","0.01179","0.05203"
"0.175","1.629","0.04029","1.669","0.06738","0.01337","0.06246"
"0.2","1.532","0.04186","1.574","0.08282","0.01487","0.07267"
"0.25","1.398","0.04488","1.443","0.1161","0.01767","0.09254"
"0.3","1.31","0.04788","1.358","0.1519","0.02026","0.1118"
"0.35","1.249","0.05092","1.3","0.1896","0.02268","0.1306"
"0.4","1.206","0.05404","1.26","0.2287","0.02498","0.1489"
"0.45","1.174","0.05724","1.231","0.2688","0.02717","0.1669"
"0.5","1.149","0.06051","1.21","0.3098","0.02928","0.1845"
"0.55","1.131","0.06387","1.195","0.3514","0.03132","0.2019"
"0.6","1.116","0.06728","1.184","0.3935","0.03331","0.2189"
"0.7","1.097","0.07428","1.171","0.4785","0.03714","0.252"
"0.8","1.085","0.08151","1.167","0.5641","0.04083","0.2841"
"0.9","1.079","0.08894","1.168","0.6498","0.04441","0.3151"
"1","1.075","0.09655","1.172","0.7353","0.0479","0.3451"
"1.25","1.076","0.1163","1.192","0.947","0.05632","0.4163"
"1.5","1.082","0.1369","1.219","1.154","0.06443","0.4827"
"1.75","1.091","0.1583","1.249","1.357","0.07231","0.5449"
"2","1.1","0.1803","1.281","1.555","0.08","0.6037"
"2.5","1.12","0.2256","1.346","1.936","0.09486","0.7129"
"3","1.139","0.2724","1.411","2.299","0.1091","0.8132"
"3.5","1.156","0.3204","1.476","2.645","0.1228","0.9065"
"4","1.171","0.3693","1.54","2.977","0.1361","0.994"
"4.5","1.185","0.419","1.604","3.295","0.1488","1.077"
"5","1.198","0.4695","1.667","3.6","0.1611","1.155"
"5.5","1.209","0.5207","1.73","3.895","0.1729","1.229"
"6","1.22","0.5724","1.792","4.179","0.1844","1.299"
"7","1.238","0.6774","1.916","4.718","0.2061","1.431"
"8","1.255","0.7841","2.039","5.224","0.2265","1.552"
"9","1.269","0.8924","2.161","5.701","0.2457","1.663"
"10","1.281","1.002","2.283","6.151","0.2637","1.767"
"12.5","1.308","1.28","2.588","7.178","0.3045","1.999"
"15","1.329","1.564","2.893","8.092","0.3402","2.201"
"17.5","1.346","1.853","3.199","8.913","0.3717","2.381"
"20","1.361","2.145","3.505","9.659","0.3997","2.544"
"25","1.385","2.737","4.122","10.97","0.4476","2.831"
"30","1.403","3.338","4.741","12.1","0.4871","3.08"
"35","1.418","3.946","5.364","13.09","0.5205","3.301"
"40","1.431","4.559","5.991","13.98","0.549","3.498"
"45","1.442","5.178","6.62","14.77","0.5738","3.677"
"50","1.452","5.799","7.251","15.49","0.5955","3.841"
"55","1.46","6.424","7.885","16.15","0.6148","3.991"
"60","1.468","7.052","8.52","16.76","0.632","4.131"
"70","1.481","8.314","9.796","17.86","0.6615","4.383"
"80","1.492","9.584","11.08","18.82","0.686","4.605"
"90","1.502","10.86","12.36","19.67","0.7067","4.805"
"100","1.511","12.14","13.65","20.44","0.7244","4.986"
"125","1.528","15.36","16.89","22.08","0.7596","5.376"
"150","1.542","18.59","20.13","23.44","0.7858","5.702"
"175","1.554","21.84","23.39","24.59","0.8062","5.982"
"200","1.564","25.09","26.66","25.59","0.8226","6.228"
"250","1.58","31.62","33.2","27.27","0.8476","6.643"
"300","1.592","38.16","39.75","28.64","0.8657","6.987"
"350","1.603","44.71","46.31","29.8","0.8796","7.281"
"400","1.612","51.27","52.89","30.81","0.8906","7.536"
"450","1.62","57.84","59.47","31.71","0.8995","7.763"
"500","1.628","64.42","66.04","32.5","0.907","7.966"
"550","1.634","71","72.63","33.22","0.9133","8.15"
"600","1.64","77.59","79.23","33.88","0.9187","8.319"
"700","1.65","90.76","92.41","35.05","0.9276","8.62"
"800","1.659","104","105.6","36.06","0.9345","8.881"
"900","1.667","117.2","118.8","36.95","0.9402","9.112"
"1000","1.674","130.4","132","37.75","0.9448","9.319"
