"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","12.07","0.01409","12.09","0.0005072","0.0005838","0.0002716"
"0.0125","10.35","0.01499","10.36","0.0007314","0.0007284","0.0003522"
"0.015","9.11","0.01569","9.126","0.0009891","0.000871","0.0004376"
"0.0175","8.173","0.01627","8.189","0.001279","0.001011","0.0005279"
"0.02","7.437","0.01674","7.453","0.001599","0.00115","0.0006228"
"0.025","6.35","0.0175","6.368","0.002328","0.001419","0.0008261"
"0.03","5.584","0.01808","5.602","0.003167","0.001681","0.001047"
"0.035","5.011","0.01856","5.03","0.004111","0.001935","0.001284"
"0.04","4.567","0.01896","4.586","0.005154","0.002182","0.001538"
"0.045","4.211","0.01931","4.23","0.00629","0.002423","0.001807"
"0.05","3.919","0.01962","3.938","0.007516","0.002658","0.002091"
"0.055","3.675","0.0199","3.695","0.008828","0.002888","0.002388"
"0.06","3.468","0.02016","3.488","0.01022","0.003113","0.0027"
"0.07","3.135","0.02062","3.156","0.01324","0.003548","0.003361"
"0.08","2.88","0.02104","2.901","0.01655","0.003967","0.004071"
"0.09","2.677","0.02142","2.698","0.02013","0.00437","0.004824"
"0.1","2.512","0.02178","2.533","0.02396","0.00476","0.005619"
"0.125","2.209","0.02262","2.232","0.03451","0.005684","0.007767"
"0.15","2.003","0.02341","2.027","0.0463","0.006546","0.01011"
"0.175","1.855","0.02418","1.879","0.05913","0.007356","0.01263"
"0.2","1.743","0.02494","1.768","0.07286","0.008123","0.01528"
"0.25","1.588","0.02649","1.615","0.1025","0.009552","0.02093"
"0.3","1.487","0.02813","1.515","0.1346","0.01088","0.02694"
"0.35","1.417","0.02985","1.447","0.1684","0.01212","0.03324"
"0.4","1.366","0.03167","1.398","0.2036","0.01331","0.03977"
"0.45","1.329","0.03358","1.363","0.2398","0.01446","0.04652"
"0.5","1.301","0.03557","1.337","0.2769","0.01558","0.05347"
"0.55","1.28","0.03763","1.317","0.3146","0.01667","0.0606"
"0.6","1.263","0.03975","1.303","0.3528","0.01774","0.06791"
"0.7","1.24","0.04417","1.284","0.4301","0.01984","0.08307"
"0.8","1.227","0.04877","1.275","0.5083","0.0219","0.09893"
"0.9","1.219","0.05354","1.272","0.5868","0.02393","0.1154"
"1","1.215","0.05847","1.273","0.6654","0.02594","0.1325"
"1.25","1.214","0.07141","1.285","0.861","0.0309","0.177"
"1.5","1.22","0.08506","1.305","1.054","0.03581","0.2229"
"1.75","1.23","0.0993","1.329","1.244","0.04069","0.269"
"2","1.24","0.114","1.354","1.43","0.04554","0.3146"
"2.5","1.261","0.1446","1.406","1.793","0.05514","0.4032"
"3","1.281","0.1764","1.457","2.142","0.06462","0.4879"
"3.5","1.299","0.2092","1.508","2.479","0.07395","0.569"
"4","1.316","0.2427","1.558","2.805","0.08311","0.6471"
"4.5","1.331","0.277","1.608","3.121","0.0921","0.7226"
"5","1.344","0.3118","1.656","3.428","0.1009","0.7958"
"5.5","1.356","0.3471","1.703","3.725","0.1096","0.867"
"6","1.367","0.3829","1.75","4.015","0.1181","0.9361"
"7","1.387","0.4558","1.843","4.572","0.1345","1.069"
"8","1.403","0.5301","1.934","5.101","0.1503","1.194"
"9","1.418","0.6055","2.023","5.607","0.1655","1.313"
"10","1.431","0.6819","2.112","6.09","0.18","1.425"
"12.5","1.457","0.8766","2.333","7.216","0.214","1.681"
"15","1.477","1.075","2.553","8.24","0.2449","1.905"
"17.5","1.494","1.277","2.772","9.18","0.2729","2.104"
"20","1.509","1.482","2.991","10.05","0.2987","2.283"
"25","1.532","1.898","3.43","11.61","0.344","2.594"
"30","1.551","2.32","3.871","12.98","0.3829","2.857"
"35","1.566","2.747","4.313","14.2","0.4166","3.087"
"40","1.579","3.177","4.757","15.31","0.4461","3.29"
"45","1.59","3.611","5.202","16.31","0.4723","3.473"
"50","1.6","4.048","5.648","17.23","0.4956","3.64"
"55","1.609","4.486","6.095","18.09","0.5166","3.793"
"60","1.617","4.926","6.543","18.88","0.5356","3.936"
"70","1.63","5.812","7.442","20.31","0.5687","4.193"
"80","1.642","6.701","8.343","21.58","0.5967","4.42"
"90","1.652","7.595","9.247","22.72","0.6207","4.624"
"100","1.661","8.492","10.15","23.75","0.6415","4.81"
"125","1.678","10.74","12.42","25.97","0.6835","5.209"
"150","1.693","13.01","14.7","27.82","0.7155","5.542"
"175","1.705","15.28","16.98","29.4","0.7408","5.826"
"200","1.715","17.56","19.27","30.78","0.7614","6.075"
"250","1.731","22.13","23.86","33.11","0.7931","6.494"
"300","1.745","26.71","28.45","35.02","0.8165","6.84"
"350","1.756","31.29","33.05","36.65","0.8345","7.135"
"400","1.765","35.89","37.66","38.07","0.849","7.392"
"450","1.774","40.5","42.27","39.32","0.8608","7.619"
"500","1.781","45.1","46.89","40.44","0.8708","7.823"
"550","1.788","49.71","51.5","41.46","0.8792","8.009"
"600","1.794","54.33","56.13","42.39","0.8865","8.179"
"700","1.805","63.57","65.37","44.04","0.8985","8.481"
"800","1.814","72.82","74.63","45.47","0.9079","8.743"
"900","1.822","82.07","83.89","46.73","0.9156","8.975"
"1000","1.829","91.33","93.16","47.86","0.922","9.184"
