"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","9.035","0.01967","9.055","0.0007418","0.001064","0.001002"
"0.0125","7.857","0.02153","7.878","0.001039","0.001342","0.001275"
"0.015","6.988","0.02306","7.011","0.001376","0.00162","0.001556"
"0.0175","6.32","0.02434","6.344","0.001751","0.001898","0.001846"
"0.02","5.787","0.02545","5.813","0.002163","0.002174","0.002144"
"0.025","4.99","0.02732","5.017","0.003093","0.002722","0.002765"
"0.03","4.419","0.02885","4.447","0.004154","0.003263","0.003419"
"0.035","3.988","0.03017","4.018","0.005339","0.003797","0.004104"
"0.04","3.65","0.03132","3.681","0.006641","0.004323","0.00482"
"0.045","3.378","0.03237","3.41","0.008053","0.004843","0.005567"
"0.05","3.154","0.03332","3.187","0.009571","0.005356","0.006343"
"0.055","2.965","0.0342","3","0.01119","0.005863","0.007147"
"0.06","2.805","0.03503","2.84","0.0129","0.006364","0.007981"
"0.07","2.546","0.03655","2.583","0.0166","0.007347","0.009731"
"0.08","2.346","0.03793","2.384","0.02064","0.008308","0.01159"
"0.09","2.187","0.03919","2.226","0.02498","0.009247","0.01355"
"0.1","2.057","0.04037","2.097","0.02962","0.01017","0.01561"
"0.125","1.817","0.04301","1.86","0.04232","0.01238","0.02119"
"0.15","1.653","0.04536","1.699","0.05642","0.01447","0.02735"
"0.175","1.535","0.04751","1.583","0.07169","0.01646","0.03404"
"0.2","1.446","0.04953","1.495","0.08796","0.01835","0.04126"
"0.25","1.321","0.05339","1.375","0.1229","0.02188","0.05711"
"0.3","1.24","0.05715","1.297","0.1605","0.02515","0.07467"
"0.35","1.183","0.06092","1.244","0.1999","0.02821","0.0936"
"0.4","1.142","0.06471","1.207","0.2407","0.03109","0.1136"
"0.45","1.112","0.06856","1.181","0.2826","0.03384","0.1342"
"0.5","1.09","0.07247","1.162","0.3253","0.03648","0.1552"
"0.55","1.072","0.07644","1.149","0.3686","0.03903","0.1764"
"0.6","1.059","0.08047","1.139","0.4123","0.04149","0.1977"
"0.7","1.04","0.08866","1.129","0.5005","0.04622","0.2399"
"0.8","1.029","0.09706","1.126","0.5893","0.05074","0.2815"
"0.9","1.023","0.1056","1.129","0.678","0.05509","0.322"
"1","1.02","0.1144","1.134","0.7664","0.05931","0.3616"
"1.25","1.019","0.1369","1.156","0.9849","0.06939","0.4554"
"1.5","1.025","0.1604","1.185","1.198","0.07898","0.5425"
"1.75","1.033","0.1845","1.217","1.407","0.08819","0.6233"
"2","1.041","0.2092","1.251","1.609","0.0971","0.6986"
"2.5","1.059","0.26","1.319","1.999","0.1141","0.8356"
"3","1.077","0.3123","1.389","2.368","0.1303","0.9581"
"3.5","1.092","0.3658","1.458","2.719","0.1457","1.069"
"4","1.106","0.4203","1.527","3.054","0.1604","1.172"
"4.5","1.119","0.4756","1.595","3.375","0.1744","1.266"
"5","1.131","0.5317","1.663","3.682","0.1879","1.355"
"5.5","1.142","0.5885","1.73","3.976","0.2008","1.438"
"6","1.152","0.6459","1.798","4.26","0.2132","1.517"
"7","1.169","0.7624","1.932","4.796","0.2367","1.662"
"8","1.184","0.8806","2.065","5.297","0.2584","1.795"
"9","1.198","1.001","2.198","5.766","0.2787","1.916"
"10","1.21","1.122","2.331","6.208","0.2977","2.028"
"12.5","1.234","1.43","2.664","7.21","0.3401","2.277"
"15","1.254","1.744","2.998","8.094","0.3768","2.492"
"17.5","1.271","2.063","3.334","8.885","0.4088","2.681"
"20","1.285","2.386","3.67","9.599","0.437","2.85"
"25","1.308","3.04","4.348","10.85","0.4848","3.146"
"30","1.325","3.705","5.03","11.92","0.5238","3.399"
"35","1.34","4.377","5.717","12.85","0.5563","3.622"
"40","1.352","5.055","6.408","13.68","0.584","3.822"
"45","1.363","5.739","7.102","14.42","0.6079","4.002"
"50","1.372","6.426","7.799","15.09","0.6287","4.167"
"55","1.381","7.118","8.498","15.7","0.6471","4.318"
"60","1.388","7.812","9.2","16.27","0.6635","4.459"
"70","1.401","9.208","10.61","17.28","0.6914","4.713"
"80","1.412","10.61","12.02","18.16","0.7144","4.936"
"90","1.421","12.02","13.44","18.95","0.7338","5.137"
"100","1.43","13.44","14.87","19.66","0.7503","5.319"
"125","1.447","17","18.45","21.16","0.7829","5.71"
"150","1.46","20.58","22.04","22.4","0.8071","6.037"
"175","1.472","24.17","25.64","23.45","0.8258","6.317"
"200","1.481","27.76","29.24","24.36","0.8409","6.562"
"250","1.497","34.98","36.48","25.89","0.8636","6.978"
"300","1.51","42.21","43.72","27.14","0.8801","7.322"
"350","1.52","49.45","50.97","28.2","0.8926","7.615"
"400","1.529","56.7","58.23","29.12","0.9025","7.871"
"450","1.537","63.96","65.5","29.93","0.9106","8.097"
"500","1.544","71.23","72.77","30.65","0.9173","8.301"
"550","1.55","78.5","80.05","31.31","0.923","8.485"
"600","1.556","85.77","87.33","31.9","0.9279","8.654"
"700","1.566","100.3","101.9","32.96","0.9358","8.955"
"800","1.575","114.9","116.5","33.88","0.942","9.216"
"900","1.582","129.5","131.1","34.69","0.9471","9.447"
"1000","1.589","144.1","145.7","35.41","0.9512","9.654"
