"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","8.17","0.02089","8.191","0.0008602","0.001248","0.0004275"
"0.0125","7.137","0.02311","7.161","0.001188","0.001576","0.0005464"
"0.015","6.37","0.02496","6.395","0.001558","0.001907","0.00067"
"0.0175","5.775","0.02655","5.801","0.001969","0.002241","0.000798"
"0.02","5.299","0.02795","5.326","0.002419","0.002575","0.0009306"
"0.025","4.582","0.03034","4.613","0.003431","0.003242","0.001209"
"0.03","4.067","0.03234","4.099","0.004584","0.003908","0.001504"
"0.035","3.676","0.03407","3.71","0.005868","0.004569","0.001815"
"0.04","3.37","0.03562","3.405","0.007277","0.005226","0.002142"
"0.045","3.122","0.03702","3.159","0.008803","0.005878","0.002484"
"0.05","2.918","0.03831","2.956","0.01044","0.006524","0.002841"
"0.055","2.746","0.03951","2.785","0.01218","0.007165","0.003212"
"0.06","2.599","0.04062","2.64","0.01403","0.0078","0.003597"
"0.07","2.362","0.04268","2.405","0.018","0.009053","0.004406"
"0.08","2.179","0.04456","2.224","0.02233","0.01028","0.005264"
"0.09","2.033","0.04627","2.079","0.02699","0.01149","0.006169"
"0.1","1.913","0.04788","1.961","0.03195","0.01268","0.007118"
"0.125","1.693","0.05151","1.745","0.04551","0.01554","0.009666"
"0.15","1.543","0.05475","1.598","0.06052","0.01827","0.01244"
"0.175","1.434","0.05773","1.492","0.07673","0.02088","0.01541"
"0.2","1.352","0.06052","1.413","0.09398","0.02337","0.01855"
"0.25","1.238","0.06581","1.304","0.1309","0.02804","0.02528"
"0.3","1.163","0.0709","1.234","0.1704","0.03237","0.0325"
"0.35","1.112","0.0759","1.188","0.2118","0.03641","0.04013"
"0.4","1.075","0.08087","1.156","0.2544","0.04023","0.04808"
"0.45","1.048","0.08583","1.134","0.2981","0.04385","0.05629"
"0.5","1.028","0.09082","1.119","0.3425","0.04731","0.06472"
"0.55","1.013","0.09582","1.109","0.3874","0.05063","0.0733"
"0.6","1.002","0.1008","1.103","0.4326","0.05382","0.08202"
"0.7","0.9864","0.1109","1.097","0.5236","0.05989","0.09973"
"0.8","0.9778","0.1211","1.099","0.6147","0.06562","0.1177"
"0.9","0.9735","0.1314","1.105","0.7055","0.07106","0.1357"
"1","0.972","0.1418","1.114","0.7956","0.07627","0.1539"
"1.25","0.9752","0.1683","1.143","1.017","0.08849","0.1992"
"1.5","0.9832","0.1953","1.179","1.233","0.09983","0.2442"
"1.75","0.9931","0.2228","1.216","1.442","0.1105","0.2886"
"2","1.003","0.2507","1.254","1.644","0.1206","0.3325"
"2.5","1.024","0.3078","1.332","2.031","0.1397","0.4179"
"3","1.043","0.3662","1.409","2.396","0.1573","0.5002"
"3.5","1.06","0.4258","1.486","2.741","0.1739","0.5794"
"4","1.075","0.4863","1.561","3.07","0.1896","0.6557"
"4.5","1.089","0.5478","1.636","3.382","0.2044","0.7292"
"5","1.101","0.61","1.711","3.681","0.2186","0.8002"
"5.5","1.112","0.673","1.785","3.967","0.232","0.8687"
"6","1.122","0.7367","1.859","4.242","0.2449","0.9349"
"7","1.14","0.8658","2.006","4.759","0.2691","1.061"
"8","1.156","0.997","2.153","5.24","0.2914","1.178"
"9","1.169","1.13","2.299","5.69","0.3121","1.289"
"10","1.181","1.265","2.446","6.111","0.3313","1.393"
"12.5","1.206","1.607","2.813","7.064","0.3741","1.629"
"15","1.225","1.956","3.181","7.899","0.4107","1.836"
"17.5","1.241","2.311","3.552","8.642","0.4425","2.021"
"20","1.255","2.671","3.926","9.312","0.4704","2.188"
"25","1.277","3.401","4.678","10.48","0.5173","2.479"
"30","1.295","4.143","5.437","11.47","0.5553","2.729"
"35","1.309","4.894","6.203","12.33","0.5868","2.949"
"40","1.321","5.653","6.974","13.09","0.6135","3.144"
"45","1.331","6.418","7.749","13.77","0.6364","3.322"
"50","1.34","7.188","8.528","14.38","0.6563","3.483"
"55","1.349","7.962","9.31","14.94","0.6739","3.633"
"60","1.356","8.74","10.1","15.46","0.6894","3.771"
"70","1.368","10.3","11.67","16.38","0.7159","4.021"
"80","1.379","11.88","13.26","17.18","0.7376","4.243"
"90","1.388","13.46","14.85","17.9","0.7558","4.441"
"100","1.396","15.05","16.44","18.54","0.7713","4.622"
"125","1.413","19.04","20.45","19.9","0.8018","5.01"
"150","1.426","23.05","24.47","21.01","0.8242","5.335"
"175","1.437","27.07","28.51","21.96","0.8416","5.613"
"200","1.447","31.1","32.55","22.78","0.8555","5.857"
"250","1.462","39.18","40.65","24.15","0.8764","6.269"
"300","1.474","47.28","48.76","25.27","0.8915","6.611"
"350","1.484","55.4","56.88","26.22","0.903","6.903"
"400","1.493","63.52","65.01","27.04","0.9121","7.158"
"450","1.5","71.65","73.15","27.77","0.9194","7.384"
"500","1.507","79.79","81.3","28.41","0.9255","7.587"
"550","1.513","87.93","89.45","29","0.9307","7.771"
"600","1.519","96.08","97.6","29.54","0.9351","7.94"
"700","1.528","112.4","113.9","30.48","0.9423","8.239"
"800","1.537","128.7","130.3","31.3","0.948","8.5"
"900","1.544","145.1","146.6","32.03","0.9525","8.73"
"1000","1.551","161.4","163","32.67","0.9563","8.937"
