"Kinetic Energy","Stopping Power - Collision","Stopping Power - Radiative","Stopping Power - Total","CSDA Range","Radiation Yield","Density Effect Delta"
"0.01","12.09","0.01451","12.1","0.0005081","0.0006003","0.0004331"
"0.0125","10.37","0.01545","10.38","0.0007319","0.0007491","0.0005602"
"0.015","9.131","0.01619","9.147","0.0009891","0.0008959","0.0006944"
"0.0175","8.194","0.01679","8.211","0.001278","0.001041","0.0008356"
"0.02","7.458","0.01729","7.475","0.001598","0.001183","0.0009837"
"0.025","6.371","0.01809","6.389","0.002324","0.001461","0.0013"
"0.03","5.604","0.01871","5.622","0.00316","0.001731","0.001642"
"0.035","5.031","0.01922","5.05","0.004101","0.001994","0.002009"
"0.04","4.585","0.01964","4.605","0.005139","0.002249","0.002399"
"0.045","4.228","0.02002","4.248","0.006271","0.002498","0.002813"
"0.05","3.936","0.02035","3.956","0.007492","0.002741","0.003248"
"0.055","3.691","0.02065","3.712","0.008797","0.002979","0.003704"
"0.06","3.484","0.02092","3.504","0.01018","0.003211","0.00418"
"0.07","3.15","0.02142","3.171","0.01319","0.003662","0.00519"
"0.08","2.893","0.02186","2.915","0.01648","0.004095","0.006271"
"0.09","2.69","0.02227","2.712","0.02004","0.004513","0.007418"
"0.1","2.524","0.02266","2.547","0.02385","0.004918","0.008626"
"0.125","2.22","0.02355","2.244","0.03435","0.005876","0.01189"
"0.15","2.014","0.02439","2.038","0.04607","0.00677","0.01544"
"0.175","1.865","0.02519","1.89","0.05883","0.007611","0.01925"
"0.2","1.753","0.02599","1.779","0.07248","0.008407","0.02326"
"0.25","1.597","0.02762","1.624","0.102","0.009891","0.03181"
"0.3","1.495","0.02933","1.524","0.1338","0.01126","0.0409"
"0.35","1.424","0.03112","1.455","0.1675","0.01256","0.05041"
"0.4","1.373","0.03302","1.406","0.2024","0.01379","0.06028"
"0.45","1.335","0.035","1.37","0.2385","0.01499","0.07044"
"0.5","1.307","0.03707","1.344","0.2753","0.01614","0.08085"
"0.55","1.285","0.03921","1.325","0.3128","0.01727","0.09148"
"0.6","1.269","0.04142","1.31","0.3508","0.01839","0.1023"
"0.7","1.245","0.046","1.291","0.4277","0.02056","0.1245"
"0.8","1.231","0.05078","1.282","0.5055","0.02269","0.1473"
"0.9","1.223","0.05574","1.279","0.5836","0.0248","0.1705"
"1","1.219","0.06086","1.279","0.6618","0.02687","0.1939"
"1.25","1.217","0.07426","1.292","0.8564","0.03201","0.2529"
"1.5","1.223","0.08843","1.311","1.049","0.03708","0.3114"
"1.75","1.232","0.1032","1.335","1.238","0.04213","0.3686"
"2","1.241","0.1185","1.36","1.423","0.04714","0.4243"
"2.5","1.262","0.1501","1.412","1.784","0.05706","0.5311"
"3","1.281","0.1831","1.464","2.132","0.06684","0.6323"
"3.5","1.298","0.217","1.515","2.467","0.07646","0.7288"
"4","1.314","0.2518","1.566","2.792","0.08591","0.8215"
"4.5","1.328","0.2872","1.616","3.106","0.09518","0.9106"
"5","1.341","0.3232","1.664","3.411","0.1043","0.9966"
"5.5","1.353","0.3598","1.712","3.707","0.1132","1.08"
"6","1.363","0.3969","1.76","3.995","0.1219","1.16"
"7","1.382","0.4723","1.854","4.549","0.1388","1.312"
"8","1.397","0.5492","1.947","5.075","0.155","1.453"
"9","1.411","0.6272","2.038","5.577","0.1706","1.586"
"10","1.423","0.7062","2.129","6.057","0.1855","1.71"
"12.5","1.448","0.9077","2.356","7.173","0.2203","1.987"
"15","1.468","1.113","2.581","8.186","0.2517","2.227"
"17.5","1.484","1.322","2.807","9.115","0.2803","2.439"
"20","1.498","1.534","3.032","9.972","0.3063","2.627"
"25","1.521","1.964","3.485","11.51","0.3523","2.953"
"30","1.539","2.4","3.939","12.86","0.3914","3.229"
"35","1.554","2.842","4.396","14.06","0.4253","3.468"
"40","1.566","3.287","4.854","15.14","0.455","3.681"
"45","1.577","3.736","5.313","16.12","0.4811","3.873"
"50","1.586","4.188","5.774","17.03","0.5045","4.047"
"55","1.595","4.641","6.236","17.86","0.5254","4.207"
"60","1.602","5.096","6.699","18.63","0.5444","4.356"
"70","1.615","6.012","7.628","20.03","0.5773","4.623"
"80","1.627","6.933","8.559","21.27","0.6051","4.859"
"90","1.636","7.857","9.493","22.38","0.6289","5.069"
"100","1.645","8.785","10.43","23.38","0.6495","5.26"
"125","1.662","11.11","12.78","25.54","0.691","5.669"
"150","1.676","13.46","15.13","27.34","0.7225","6.008"
"175","1.688","15.81","17.49","28.88","0.7474","6.297"
"200","1.698","18.16","19.86","30.22","0.7676","6.549"
"250","1.714","22.89","24.6","32.47","0.7987","6.974"
"300","1.727","27.63","29.35","34.33","0.8216","7.324"
"350","1.738","32.38","34.11","35.91","0.8393","7.622"
"400","1.748","37.13","38.88","37.28","0.8534","7.881"
"450","1.756","41.89","43.65","38.5","0.8649","8.111"
"500","1.764","46.66","48.42","39.58","0.8746","8.317"
"550","1.77","51.43","53.2","40.57","0.8829","8.504"
"600","1.776","56.21","57.98","41.47","0.89","8.675"
"700","1.787","65.76","67.55","43.06","0.9016","8.979"
"800","1.796","75.33","77.13","44.45","0.9108","9.243"
"900","1.804","84.9","86.71","45.67","0.9183","9.477"
"1000","1.812","94.48","96.29","46.76","0.9245","9.686"
