"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","7.833","0.004981","7029","0","0","7037","7029","7029","C"
"0.0015","7.453","0.009167","2783","0","0","2791","2783","2782","C"
"0.002","7.018","0.01345","1393","0","0","1401","1393","1393","C"
"0.003","6.113","0.02173","507.5","0","0","513.6","507.5","507.3","C"
"0.003351","5.812","0.02446","382.9","0","0","388.7","382.9","382.7","C"
"0.003351","5.812","0.02446","1268","0","0","1274","1268","1223","C"
"0.003436","5.74","0.02511","1192","0","0","1198","1192","1151","C"
"0.003524","5.667","0.02577","1120","0","0","1126","1120","1082","C"
"0.003524","5.667","0.02577","1541","0","0","1547","1541","1479","C"
"0.003662","5.553","0.02681","1402","0","0","1408","1402","1348","C"
"0.003806","5.437","0.02788","1276","0","0","1282","1276","1229","C"
"0.003806","5.437","0.02788","1462","0","0","1468","1462","1406","C"
"0.004","5.285","0.0293","1300","0","0","1305","1300","1252","C"
"0.005","4.577","0.03622","734.1","0","0","738.8","734.2","712.2","C"
"0.006","3.996","0.04267","457","0","0","461.1","457.1","445.7","C"
"0.008","3.142","0.05424","213.2","0","0","216.4","213.3","209.2","C"
"0.01","2.563","0.06387","116.6","0","0","119.3","116.7","114.9","C"
"0.015","1.678","0.08101","38.22","0","0","39.98","38.3","37.8","C"
"0.02","1.165","0.09217","17.1","0","0","18.36","17.19","16.95","C"
"0.02551","0.8268","0.1007","8.598","0","0","9.525","8.698","8.534","C"
"0.02551","0.8268","0.1007","54.47","0","0","55.39","54.57","20.31","C"
"0.03","0.6543","0.1056","35.92","0","0","36.68","36.03","16.6","C"
"0.04","0.4275","0.1126","16.65","0","0","17.19","16.77","9.869","C"
"0.05","0.3017","0.1162","9.027","0","0","9.445","9.144","6.066","C"
"0.06","0.2234","0.1179","5.425","0","0","5.766","5.543","3.938","C"
"0.08","0.1364","0.118","2.396","0","0","2.651","2.514","1.907","C"
"0.1","0.09234","0.116","1.261","0","0","1.47","1.377","1.062","C"
"0.15","0.04481","0.1089","0.3889","0","0","0.5426","0.4978","0.3622","C"
"0.2","0.02638","0.1019","0.1689","0","0","0.2972","0.2708","0.1751","C"
"0.3","0.01224","0.09039","0.05339","0","0","0.156","0.1438","0.07392","C"
"0.4","0.007034","0.08168","0.02439","0","0","0.1131","0.1061","0.04803","C"
"0.5","0.004558","0.07498","0.01367","0","0","0.09321","0.08865","0.03822","C"
"0.6","0.003191","0.06962","0.00872","0","0","0.08153","0.07834","0.03347","C"
"0.8","0.001811","0.06136","0.004499","0","0","0.06767","0.06585","0.02881","C"
"1","0.001164","0.05524","0.002807","0","0","0.05921","0.05804","0.02632","C"
"1.022","0.001115","0.05466","0.002671","0","0","0.05844","0.05733","0.02611","I"
"1.25","0.0007475","0.04945","0.001802","0.0001603","0","0.05216","0.05141","0.02425","C"
"1.5","0.0005199","0.04498","0.001292","0.0007503","0","0.04754","0.04702","0.02284","C"
"2","0.0002929","0.03841","0.0007877","0.002602","0","0.04209","0.0418","0.02135","C"
"2.044","0.0002805","0.03794","0.0007598","0.002784","0","0.04176","0.04148","0.02132","I"
"3","0.0001304","0.03024","0.0004194","0.006739","1.058E-05","0.03754","0.03741","0.02082","C"
"4","7.336E-05","0.02523","0.0002786","0.01043","4.315E-05","0.03606","0.03599","0.02142","C"
"5","4.696E-05","0.02179","0.0002065","0.01364","8.592E-05","0.03577","0.03573","0.02232","C"
"6","3.262E-05","0.01926","0.0001632","0.01642","0.0001318","0.03601","0.03598","0.02324","C"
"7","2.397E-05","0.01731","0.0001346","0.01889","0.0001775","0.03654","0.03652","0.02416","I"
"8","1.835E-05","0.01575","0.0001143","0.02112","0.0002218","0.03723","0.03721","0.02499","C"
"9","1.45E-05","0.01449","9.926E-05","0.02315","0.0002641","0.03801","0.038","0.02576","I"
"10","1.175E-05","0.01342","8.765E-05","0.025","0.0003044","0.03883","0.03881","0.02647","C"
"11","9.709E-06","0.01252","7.844E-05","0.0267","0.0003425","0.03965","0.03964","0.02702","I"
"12","8.157E-06","0.01174","7.096E-05","0.02827","0.0003783","0.04047","0.04046","0.02753","I"
"13","6.951E-06","0.01106","6.476E-05","0.02972","0.0004121","0.04127","0.04126","0.02801","I"
"14","5.99E-06","0.01046","5.951E-05","0.03106","0.0004443","0.04204","0.04203","0.02846","I"
"15","5.22E-06","0.009932","5.51E-05","0.0323","0.0004748","0.04276","0.04276","0.02889","C"
"16","4.588E-06","0.009463","5.126E-05","0.03346","0.0005037","0.04348","0.04348","0.02915","I"
"18","3.625E-06","0.008648","4.5E-05","0.03558","0.0005573","0.04483","0.04483","0.02962","I"
"20","2.937E-06","0.007972","4.008E-05","0.03747","0.0006063","0.04609","0.04609","0.03005","C"
"22","2.427E-06","0.007408","3.614E-05","0.03919","0.0006504","0.04729","0.04729","",""
"24","2.039E-06","0.006923","3.289E-05","0.04075","0.0006917","0.0484","0.0484","",""
"26","1.737E-06","0.006498","3.018E-05","0.04218","0.0007297","0.04944","0.04944","",""
"28","1.498E-06","0.00613","2.788E-05","0.04348","0.0007643","0.0504","0.0504","",""
"30","1.305E-06","0.005806","2.59E-05","0.04469","0.0007972","0.05132","0.05131","",""
"40","7.341E-07","0.004613","1.912E-05","0.04956","0.0009323","0.05513","0.05513","",""
"50","4.699E-07","0.003851","1.515E-05","0.05318","0.001035","0.05808","0.05808","",""
"60","3.263E-07","0.003318","1.254E-05","0.056","0.001117","0.06044","0.06044","",""
"80","1.835E-07","0.002617","9.335E-06","0.06018","0.001239","0.06405","0.06405","",""
"100","1.175E-07","0.002172","7.431E-06","0.06314","0.001328","0.06665","0.06665","",""
"150","5.22E-08","0.001546","4.921E-06","0.06783","0.001476","0.07086","0.07086","",""
"200","2.936E-08","0.001213","3.679E-06","0.07062","0.001568","0.07341","0.07341","",""
"300","1.305E-08","0.0008592","2.444E-06","0.07392","0.001682","0.07646","0.07646","",""
"400","7.341E-09","0.0006733","1.83E-06","0.07576","0.001749","0.07818","0.07818","",""
"500","4.698E-09","0.0005572","1.463E-06","0.07699","0.001795","0.07934","0.07934","",""
"600","3.263E-09","0.0004771","1.218E-06","0.07788","0.001829","0.08019","0.08019","",""
"800","1.835E-09","0.0003726","9.128E-07","0.07905","0.001875","0.0813","0.0813","",""
"1000","1.175E-09","0.0003066","7.297E-07","0.07983","0.001907","0.08205","0.08205","",""
"1500","5.22E-10","0.0002141","4.863E-07","0.08095","0.001952","0.08312","0.08312","",""
"2000","2.936E-10","0.0001657","3.646E-07","0.08151","0.001978","0.08365","0.08365","",""
"3000","1.305E-10","0.0001152","2.43E-07","0.08218","0.002006","0.0843","0.0843","",""
"4000","7.341E-11","8.894E-05","1.822E-07","0.08251","0.002023","0.08463","0.08463","",""
"5000","4.698E-11","7.269E-05","1.458E-07","0.08274","0.002033","0.08484","0.08484","",""
"6000","3.263E-11","6.163E-05","1.214E-07","0.08291","0.00204","0.08501","0.08501","",""
"8000","1.835E-11","4.75E-05","9.106E-08","0.08307","0.002049","0.08517","0.08517","",""
"10000","1.175E-11","3.878E-05","7.286E-08","0.08324","0.002056","0.08534","0.08534","",""
"15000","5.22E-12","2.68E-05","4.857E-08","0.08341","0.002063","0.0855","0.0855","",""
"20000","2.936E-12","2.061E-05","3.642E-08","0.08352","0.002068","0.08561","0.08561","",""
"30000","1.305E-12","1.421E-05","2.428E-08","0.08358","0.002073","0.08566","0.08566","",""
"40000","7.341E-13","1.091E-05","1.821E-08","0.08363","0.002076","0.08572","0.08572","",""
"50000","4.698E-13","8.882E-06","1.457E-08","0.08369","0.002077","0.08577","0.08577","",""
"60000","3.263E-13","7.509E-06","1.214E-08","0.08369","0.002079","0.08577","0.08577","",""
"80000","1.835E-13","5.756E-06","9.106E-09","0.08374","0.00208","0.08583","0.08583","",""
"100000","1.175E-13","4.685E-06","7.286E-09","0.08374","0.002081","0.08583","0.08583","",""
