"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","9.877","0.005626","2281","0","0","2291","2281","2281","C"
"0.001089","9.791","0.006293","1946","0","0","1955","1946","1949","C"
"0.001185","9.693","0.00702","1659","0","0","1669","1659","1658","C"
"0.001185","9.693","0.00702","1834","0","0","1844","1834","1919","C"
"0.001201","9.676","0.007138","2708","0","0","2718","2708","2510","C"
"0.001217","9.658","0.007257","3987","0","0","3996","3987","3934","C"
"0.001217","9.658","0.007257","4806","0","0","4816","4806","4731","C"
"0.0015","9.375","0.009279","5032","0","0","5042","5032","5008","C"
"0.001544","9.329","0.009597","4691","0","0","4701","4691","4670","C"
"0.001544","9.329","0.009597","5423","0","0","5432","5423","5395","C"
"0.001615","9.254","0.0101","4891","0","0","4900","4891","4867","C"
"0.001688","9.176","0.01062","4412","0","0","4421","4412","4391","C"
"0.001688","9.176","0.01062","4684","0","0","4693","4684","4662","C"
"0.001782","9.081","0.01127","4154","0","0","4163","4154","4136","C"
"0.001881","8.981","0.01196","3683","0","0","3692","3683","3666","C"
"0.001881","8.981","0.01196","3845","0","0","3854","3845","3829","C"
"0.002","8.854","0.01279","3351","0","0","3360","3351","3337","C"
"0.003","7.847","0.01961","1284","0","0","1292","1284","1280","C"
"0.004","6.92","0.02597","631.1","0","0","638.1","631.2","629.6","C"
"0.005","6.108","0.0318","359.2","0","0","365.3","359.2","358.4","C"
"0.006","5.419","0.03706","225.1","0","0","230.5","225.1","224.6","C"
"0.007243","4.703","0.04282","138.1","0","0","142.8","138.1","137.9","C"
"0.007243","4.703","0.04282","379.6","0","0","384.4","379.7","345.2","C"
"0.007579","4.528","0.04429","337.8","0","0","342.3","337.8","308.8","C"
"0.00793","4.362","0.04573","300.5","0","0","304.9","300.6","275.5","C"
"0.00793","4.362","0.04573","410.2","0","0","414.6","410.2","366.5","C"
"0.008","4.331","0.04599","402.5","0","0","406.9","402.5","359.5","C"
"0.008376","4.163","0.04749","358.9","0","0","363.1","359","322.3","C"
"0.008376","4.163","0.04749","414.8","0","0","419","414.8","370.2","C"
"0.01","3.529","0.05346","265.7","0","0","269.3","265.8","241.6","C"
"0.015","2.291","0.06824","90.99","0","0","93.35","91.06","85.38","C"
"0.02","1.638","0.07908","41.9","0","0","43.61","41.98","39.94","C"
"0.03","0.9639","0.09233","13.78","0","0","14.84","13.88","13.33","C"
"0.04","0.6281","0.0993","6.193","0","0","6.92","6.292","6.033","C"
"0.05","0.445","0.1031","3.312","0","0","3.86","3.415","3.242","C"
"0.05024","0.4419","0.1032","3.267","0","0","3.812","3.37","3.199","C"
"0.05024","0.4419","0.1032","18.09","0","0","18.64","18.19","5.585","C"
"0.06","0.3345","0.1051","11.31","0","0","11.75","11.42","4.722","C"
"0.08","0.209","0.1061","5.258","0","0","5.573","5.364","2.937","C"
"0.1","0.1424","0.1051","2.862","0","0","3.109","2.967","1.849","C"
"0.15","0.06939","0.09965","0.931","0","0","1.1","1.031","0.7197","C"
"0.2","0.04128","0.09367","0.4186","0","0","0.5535","0.5123","0.3584","C"
"0.3","0.01945","0.08352","0.138","0","0","0.241","0.2215","0.1409","C"
"0.4","0.01126","0.07575","0.06476","0","0","0.1518","0.1405","0.08039","C"
"0.5","0.007322","0.06966","0.03694","0","0","0.1139","0.1066","0.0565","C"
"0.6","0.005143","0.06472","0.02384","0","0","0.09371","0.08856","0.04483","C"
"0.8","0.002931","0.05714","0.01245","0","0","0.07252","0.06959","0.03399","C"
"1","0.00189","0.05151","0.007801","0","0","0.0612","0.05931","0.02893","C"
"1.022","0.001811","0.05093","0.007464","0","0","0.06021","0.0584","0.02855","I"
"1.25","0.001216","0.04611","0.005032","0.0002538","0","0.05261","0.0514","0.0253","C"
"1.5","0.0008471","0.04197","0.003594","0.001173","0","0.04759","0.04674","0.02325","C"
"2","0.0004779","0.03585","0.002181","0.003774","0","0.04228","0.0418","0.02144","C"
"2.044","0.0004576","0.03541","0.002103","0.004017","0","0.04199","0.04153","0.02143","I"
"3","0.000213","0.02823","0.001149","0.009042","9.869E-06","0.03865","0.03843","0.02129","C"
"4","0.0001199","0.02356","0.0007575","0.01354","4.025E-05","0.03802","0.0379","0.02241","C"
"5","7.678E-05","0.02035","0.000558","0.01738","8.008E-05","0.03844","0.03836","0.02374","C"
"6","5.335E-05","0.01799","0.0004389","0.02068","0.0001228","0.03928","0.03923","0.02502","C"
"7","3.918E-05","0.01617","0.0003606","0.02359","0.0001653","0.04032","0.04029","0.02619","I"
"8","3.001E-05","0.01472","0.0003054","0.02621","0.0002065","0.04147","0.04144","0.02725","C"
"9","2.371E-05","0.01353","0.0002646","0.02859","0.0002457","0.04266","0.04263","0.02817","I"
"10","1.921E-05","0.01253","0.0002331","0.03078","0.0002831","0.04384","0.04383","0.02902","C"
"11","1.587E-05","0.01169","0.0002083","0.03279","0.0003183","0.04503","0.04501","0.02967","I"
"12","1.334E-05","0.01096","0.0001881","0.03466","0.0003515","0.04618","0.04617","0.03027","I"
"13","1.137E-05","0.01033","0.0001715","0.03642","0.0003827","0.04731","0.0473","0.03084","I"
"14","9.8E-06","0.009773","0.0001575","0.03804","0.0004125","0.04839","0.04838","0.03137","I"
"15","8.536E-06","0.009279","0.0001456","0.03956","0.0004404","0.04943","0.04943","0.03188","C"
"16","7.506E-06","0.008835","0.0001353","0.04094","0.0004672","0.05038","0.05038","0.03214","I"
"18","5.928E-06","0.008077","0.0001186","0.04347","0.0005166","0.05218","0.05218","0.03262","I"
"20","4.802E-06","0.007449","0.0001055","0.04573","0.0005614","0.05385","0.05384","0.03306","C"
"22","3.968E-06","0.006916","9.505E-05","0.04779","0.0006024","0.05541","0.05541","",""
"24","3.335E-06","0.006464","8.644E-05","0.04963","0.0006399","0.05683","0.05682","",""
"26","2.842E-06","0.00607","7.924E-05","0.05136","0.0006748","0.05818","0.05818","",""
"28","2.451E-06","0.005725","7.315E-05","0.05289","0.0007066","0.0594","0.05939","",""
"30","2.135E-06","0.005423","6.794E-05","0.05434","0.0007364","0.06057","0.06057","",""
"40","1.201E-06","0.004308","5.005E-05","0.0602","0.0008598","0.06542","0.06542","",""
"50","7.686E-07","0.003597","3.96E-05","0.06453","0.0009524","0.06912","0.06912","",""
"60","5.339E-07","0.003099","3.277E-05","0.06794","0.001026","0.0721","0.0721","",""
"80","3.002E-07","0.002444","2.435E-05","0.07292","0.001136","0.07652","0.07652","",""
"100","1.921E-07","0.002029","1.937E-05","0.07644","0.001216","0.0797","0.0797","",""
"150","8.54E-08","0.001445","1.282E-05","0.08207","0.001347","0.08487","0.08487","",""
"200","4.802E-08","0.001133","9.578E-06","0.0854","0.001429","0.08797","0.08797","",""
"300","2.135E-08","0.0008027","6.361E-06","0.08927","0.00153","0.09161","0.09161","",""
"400","1.201E-08","0.0006288","4.764E-06","0.09153","0.001589","0.09375","0.09375","",""
"500","7.686E-09","0.0005205","3.806E-06","0.09298","0.00163","0.09514","0.09514","",""
"600","5.335E-09","0.0004458","3.169E-06","0.09402","0.00166","0.09613","0.09613","",""
"800","3.002E-09","0.000348","2.374E-06","0.0954","0.001702","0.09745","0.09745","",""
"1000","1.921E-09","0.0002863","1.898E-06","0.09632","0.001729","0.09833","0.09833","",""
"1500","8.54E-10","0.0001999","1.265E-06","0.09762","0.00177","0.09959","0.09959","",""
"2000","4.802E-10","0.0001548","9.482E-07","0.09835","0.001794","0.1003","0.1003","",""
"3000","2.135E-10","0.0001076","6.319E-07","0.09911","0.001819","0.101","0.101","",""
"4000","1.201E-10","8.307E-05","4.737E-07","0.09949","0.001834","0.1014","0.1014","",""
"5000","7.686E-11","6.79E-05","3.79E-07","0.09976","0.001844","0.1017","0.1017","",""
"6000","5.335E-11","5.76E-05","3.158E-07","0.09995","0.00185","0.1019","0.1019","",""
"8000","3.002E-11","4.439E-05","2.368E-07","0.1002","0.001859","0.1021","0.1021","",""
"10000","1.921E-11","3.623E-05","1.895E-07","0.1003","0.001864","0.1022","0.1022","",""
"15000","8.54E-12","2.503E-05","1.263E-07","0.1005","0.001872","0.1024","0.1024","",""
"20000","4.802E-12","1.925E-05","9.471E-08","0.1006","0.001876","0.1025","0.1025","",""
"30000","2.135E-12","1.327E-05","6.315E-08","0.1008","0.00188","0.1027","0.1027","",""
"40000","1.201E-12","1.019E-05","4.737E-08","0.1008","0.001883","0.1027","0.1027","",""
"50000","7.686E-13","8.299E-06","3.788E-08","0.1009","0.001885","0.1028","0.1028","",""
