"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","11.89","0.003932","4229","0","0","4241","4229","4230","C"
"0.0015","11.41","0.006999","1887","0","0","1898","1887","1886","C"
"0.002","10.87","0.009966","1021","0","0","1032","1021","1021","C"
"0.00204","10.82","0.0102","977.5","0","0","988.3","977.5","977.1","C"
"0.00204","10.82","0.0102","1052","0","0","1063","1052","1053","C"
"0.002078","10.78","0.01042","1601","0","0","1612","1601","1466","C"
"0.002116","10.73","0.01065","2434","0","0","2445","2434","2429","C"
"0.002116","10.73","0.01065","2566","0","0","2577","2566","2556","C"
"0.002323","10.51","0.01184","2488","0","0","2499","2488","2566","C"
"0.002551","10.25","0.01312","2413","0","0","2424","2413","2376","C"
"0.002551","10.25","0.01312","2789","0","0","2799","2789","2744","C"
"0.002724","10.05","0.01409","2380","0","0","2390","2380","2345","C"
"0.002909","9.844","0.01513","2031","0","0","2041","2031","2002","C"
"0.002909","9.844","0.01513","2156","0","0","2166","2156","2125","C"
"0.003","9.743","0.01563","2002","0","0","2011","2002","1973","C"
"0.003174","9.555","0.01659","1758","0","0","1767","1758","1734","C"
"0.003174","9.555","0.01659","1833","0","0","1843","1833","1809","C"
"0.004","8.697","0.02103","1054","0","0","1063","1054","1043","C"
"0.005","7.77","0.02613","610","0","0","617.8","610","604.7","C"
"0.006","6.961","0.03098","386.6","0","0","393.6","386.6","383.7","C"
"0.008","5.658","0.03969","185.7","0","0","191.4","185.8","184.6","C"
"0.01","4.668","0.04699","104.3","0","0","109","104.3","103.8","C"
"0.01122","4.182","0.05091","77.32","0","0","81.55","77.37","76.95","C"
"0.01122","4.182","0.05091","199.6","0","0","203.8","199.6","168.1","C"
"0.01199","3.901","0.05313","166.5","0","0","170.5","166.6","141.8","C"
"0.01282","3.631","0.05539","138.9","0","0","142.6","139","119.9","C"
"0.01282","3.631","0.05539","192.3","0","0","196","192.3","155.9","C"
"0.01312","3.544","0.05619","181.9","0","0","185.5","181.9","148.6","C"
"0.01342","3.459","0.05699","172.1","0","0","175.6","172.1","140.9","C"
"0.01342","3.459","0.05699","198.9","0","0","202.5","199","161.3","C"
"0.015","3.053","0.06087","149.9","0","0","153","150","124.4","C"
"0.02","2.151","0.07109","70.96","0","0","73.18","71.03","61.79","C"
"0.03","1.271","0.0849","24.1","0","0","25.46","24.19","21.98","C"
"0.04","0.8428","0.09283","11.05","0","0","11.99","11.15","10.3","C"
"0.05","0.5968","0.09728","6","0","0","6.694","6.097","5.667","C"
"0.06","0.4468","0.09975","3.628","0","0","4.174","3.728","3.46","C"
"0.07611","0.3048","0.1013","1.878","0","0","2.284","1.979","1.81","C"
"0.07611","0.3048","0.1013","9.32","0","0","9.727","9.422","2.758","C"
"0.08","0.2809","0.1014","8.202","0","0","8.584","8.303","2.694","C"
"0.1","0.1934","0.101","4.562","0","0","4.856","4.663","2.093","C"
"0.15","0.09483","0.09656","1.549","0","0","1.74","1.645","0.9903","C"
"0.2","0.05652","0.09117","0.7149","0","0","0.8626","0.8061","0.529","C"
"0.3","0.0269","0.08158","0.2441","0","0","0.3525","0.3256","0.2155","C"
"0.4","0.01567","0.07413","0.117","0","0","0.2068","0.1911","0.1199","C"
"0.5","0.01024","0.06827","0.06777","0","0","0.1463","0.136","0.08054","C"
"0.6","0.007209","0.0635","0.04417","0","0","0.1149","0.1077","0.06088","C"
"0.8","0.004126","0.05611","0.02334","0","0","0.08357","0.07945","0.0425","C"
"1","0.002667","0.0506","0.01468","0","0","0.06794","0.06528","0.03412","C"
"1.022","0.002555","0.05006","0.01405","0","0","0.06667","0.06412","0.03352","I"
"1.25","0.00172","0.04533","0.009477","0.000344","0","0.05687","0.05515","0.02843","C"
"1.5","0.0012","0.04126","0.006755","0.00162","0","0.05084","0.04964","0.02541","C"
"2","0.0006783","0.03528","0.004088","0.004972","0","0.04502","0.04434","0.02295","C"
"2.044","0.0006495","0.03484","0.003941","0.00527","0","0.0447","0.04405","0.02294","I"
"3","0.0003026","0.02778","0.002141","0.01116","9.706E-06","0.04139","0.04108","0.02269","C"
"4","0.0001705","0.02318","0.001404","0.01624","3.957E-05","0.04104","0.04087","0.02398","C"
"5","0.0001092","0.02003","0.00103","0.0205","7.87E-05","0.04174","0.04163","0.02546","C"
"6","7.585E-05","0.0177","0.0008083","0.02416","0.0001206","0.04286","0.04279","0.02687","C"
"7","5.574E-05","0.01591","0.0006626","0.02739","0.0001623","0.04418","0.04412","0.02813","I"
"8","4.27E-05","0.01448","0.0005602","0.03029","0.0002027","0.04558","0.04554","0.02927","C"
"9","3.374E-05","0.01331","0.0004844","0.03293","0.0002412","0.047","0.04697","0.03025","I"
"10","2.733E-05","0.01234","0.0004261","0.03537","0.0002777","0.04844","0.04841","0.03115","C"
