"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","3.347","0.01216","4054","0","0","4057","4054","4053","C"
"0.0015","3.079","0.01958","1415","0","0","1418","1415","1415","C"
"0.002","2.817","0.02703","656.5","0","0","659.3","656.5","656.3","C"
"0.003","2.327","0.04162","217.5","0","0","219.9","217.5","217.4","C"
"0.003607","2.065","0.04977","130.6","0","0","132.7","130.7","130.6","C"
"0.003607","2.065","0.04977","1199","0","0","1201","1199","1065","C"
"0.004","1.916","0.05463","923.5","0","0","925.5","923.6","830.4","C"
"0.005","1.599","0.06577","517.2","0","0","518.9","517.3","475.2","C"
"0.006","1.36","0.07507","319","0","0","320.4","319.1","297.4","C"
"0.008","1.042","0.08932","145.8","0","0","146.9","145.8","138.3","C"
"0.01","0.8362","0.09984","78.14","0","0","79.07","78.24","74.9","C"
"0.015","0.5226","0.1182","24.38","0","0","25.02","24.5","23.7","C"
"0.02","0.349","0.1297","10.45","0","0","10.93","10.58","10.23","C"
"0.03","0.1873","0.141","3.084","0","0","3.412","3.225","3.045","C"
"0.04","0.1185","0.1449","1.277","0","0","1.541","1.422","1.272","C"
"0.05","0.08214","0.1458","0.6398","0","0","0.8678","0.7857","0.6454","C"
"0.06","0.0603","0.1453","0.3623","0","0","0.5678","0.5075","0.373","C"
"0.08","0.03629","0.1421","0.1468","0","0","0.3251","0.2889","0.1628","C"
"0.1","0.02414","0.1377","0.07264","0","0","0.2345","0.2104","0.09161","C"
"0.15","0.01129","0.1266","0.02025","0","0","0.1582","0.1469","0.04346","C"
"0.2","0.006511","0.1171","0.008256","0","0","0.1319","0.1253","0.03378","C"
"0.3","0.002959","0.1026","0.002415","0","0","0.108","0.105","0.03015","C"
"0.4","0.001679","0.09222","0.001054","0","0","0.09495","0.09327","0.02959","C"
"0.5","0.001079","0.08434","0.0005747","0","0","0.086","0.08492","0.02929","C"
"0.6","0.0007515","0.07811","0.0003601","0","0","0.07922","0.07847","0.02895","C"
"0.8","0.0004237","0.06868","0.0001828","0","0","0.06929","0.06886","0.02807","C"
"1","0.0002715","0.06178","0.0001137","0","0","0.06216","0.06189","0.02707","C"
"1.022","0.00026","0.06113","0.0001076","0","0","0.0615","0.06124","0.02694","I"
"1.25","0.0001739","0.05526","7.287E-05","4.906E-05","0","0.05556","0.05539","0.02581","C"
"1.5","0.0001208","0.05024","5.266E-05","0.0002601","0","0.05068","0.05056","0.02467","C"
"2","6.799E-05","0.04288","3.267E-05","0.001013","0","0.04399","0.04393","0.0229","C"
"2.044","6.509E-05","0.04236","3.158E-05","0.001091","0","0.04355","0.04348","0.02278","I"
"3","3.022E-05","0.03375","1.79E-05","0.002849","1.181E-05","0.03666","0.03663","0.02084","C"
"4","1.7E-05","0.02816","1.213E-05","0.004585","4.821E-05","0.03282","0.0328","0.01985","C"
"5","1.088E-05","0.02431","9.123E-06","0.006124","9.605E-05","0.03055","0.03053","0.01935","C"
"6","7.558E-06","0.02149","7.288E-06","0.0075","0.0001475","0.02915","0.02914","0.01914","C"
"7","5.553E-06","0.01931","6.061E-06","0.008722","0.0001988","0.02825","0.02824","0.01912","I"
"8","4.251E-06","0.01757","5.181E-06","0.009824","0.0002486","0.02766","0.02765","0.0191","C"
"9","3.359E-06","0.01616","4.524E-06","0.01082","0.0002963","0.02728","0.02728","0.01919","I"
"10","2.722E-06","0.01497","4.012E-06","0.01172","0.0003418","0.02704","0.02704","0.01928","C"
"11","2.249E-06","0.01396","3.604E-06","0.01255","0.0003849","0.0269","0.0269","0.01941","I"
"12","1.89E-06","0.0131","3.27E-06","0.0133","0.0004256","0.02682","0.02682","0.01953","I"
"13","1.61E-06","0.01234","2.993E-06","0.01399","0.0004639","0.0268","0.0268","0.01963","I"
"14","1.388E-06","0.01167","2.759E-06","0.01464","0.0005006","0.02682","0.02682","0.01974","I"
"15","1.209E-06","0.01108","2.558E-06","0.01525","0.0005352","0.02687","0.02687","0.01983","C"
"16","1.063E-06","0.01055","2.384E-06","0.01582","0.0005684","0.02694","0.02694","0.01993","I"
"18","8.397E-07","0.009644","2.099E-06","0.01685","0.0006298","0.02713","0.02713","0.02012","I"
"20","6.802E-07","0.008893","1.876E-06","0.01779","0.0006859","0.02737","0.02737","0.02029","C"
"22","5.622E-07","0.00826","1.694E-06","0.01862","0.0007375","0.02762","0.02762","",""
"24","4.724E-07","0.007718","1.545E-06","0.01939","0.0007851","0.0279","0.0279","",""
"26","4.025E-07","0.007248","1.42E-06","0.02008","0.0008291","0.02816","0.02816","",""
"28","3.47E-07","0.006837","1.314E-06","0.02073","0.0008701","0.02844","0.02844","",""
"30","3.024E-07","0.006474","1.222E-06","0.02132","0.0009083","0.0287","0.0287","",""
"40","1.7E-07","0.005144","9.06E-07","0.02377","0.001068","0.02998","0.02998","",""
"50","1.088E-07","0.004294","7.198E-07","0.0256","0.001191","0.03109","0.03109","",""
"60","7.558E-08","0.0037","5.97E-07","0.02702","0.00129","0.03201","0.03201","",""
"80","4.251E-08","0.002919","4.451E-07","0.02913","0.001441","0.03349","0.03349","",""
"100","2.72E-08","0.002423","3.547E-07","0.03065","0.001554","0.03463","0.03463","",""
"150","1.209E-08","0.001725","2.354E-07","0.03312","0.001744","0.03658","0.03658","",""
"200","6.802E-09","0.001352","1.761E-07","0.03462","0.001865","0.03784","0.03784","",""
"300","3.024E-09","0.0009585","1.171E-07","0.03641","0.002019","0.03939","0.03939","",""
"400","1.7E-09","0.0007507","8.775E-08","0.03746","0.002112","0.04032","0.04032","",""
"500","1.088E-09","0.0006215","7.014E-08","0.03814","0.002178","0.04094","0.04094","",""
"600","7.558E-10","0.000532","5.842E-08","0.03865","0.002226","0.0414","0.0414","",""
"800","4.251E-10","0.0004156","4.379E-08","0.03931","0.002293","0.04202","0.04202","",""
"1000","2.72E-10","0.0003419","3.503E-08","0.03974","0.002338","0.04242","0.04242","",""
"1500","1.209E-10","0.0002387","2.333E-08","0.04037","0.002407","0.04302","0.04302","",""
"2000","6.802E-11","0.0001848","1.75E-08","0.04072","0.002447","0.04336","0.04336","",""
"3000","3.024E-11","0.0001285","1.166E-08","0.04109","0.002491","0.04371","0.04371","",""
"4000","1.7E-11","9.918E-05","8.747E-09","0.04129","0.002517","0.04391","0.04391","",""
"5000","1.088E-11","8.109E-05","6.996E-09","0.04142","0.002532","0.04403","0.04403","",""
"6000","7.558E-12","6.876E-05","5.83E-09","0.04151","0.002543","0.04412","0.04412","",""
"8000","4.251E-12","5.298E-05","4.373E-09","0.04163","0.002558","0.04424","0.04424","",""
"10000","2.72E-12","4.325E-05","3.498E-09","0.04171","0.002568","0.04432","0.04432","",""
"15000","1.209E-12","2.99E-05","2.332E-09","0.0418","0.002581","0.04441","0.04441","",""
"20000","6.802E-13","2.298E-05","1.748E-09","0.04186","0.002589","0.04448","0.04448","",""
"30000","3.024E-13","1.585E-05","1.166E-09","0.04193","0.002597","0.04454","0.04454","",""
"40000","1.7E-13","1.217E-05","8.744E-10","0.04196","0.002601","0.04457","0.04457","",""
"50000","1.088E-13","9.908E-06","6.994E-10","0.04197","0.002605","0.04459","0.04459","",""
"60000","7.558E-14","8.376E-06","5.828E-10","0.04199","0.002606","0.0446","0.0446","",""
"80000","4.251E-14","6.423E-06","4.371E-10","0.042","0.002608","0.04462","0.04462","",""
"100000","2.72E-14","5.225E-06","3.498E-10","0.042","0.002609","0.04462","0.04462","",""
