"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","11.03","0.004743","3176","0","0","3187","3176","3175","C"
"0.0015","10.56","0.007954","1414","0","0","1424","1414","1413","C"
"0.001588","10.47","0.008515","1254","0","0","1264","1254","1253","C"
"0.001588","10.47","0.008515","1559","0","0","1570","1559","1581","C"
"0.001614","10.45","0.008673","2304","0","0","2314","2304","2273","C"
"0.001639","10.42","0.008832","3395","0","0","3406","3395","3396","C"
"0.001639","10.42","0.008832","3893","0","0","3903","3893","3881","C"
"0.002","10.06","0.01104","3442","0","0","3452","3442","3406","C"
"0.002024","10.04","0.01119","3342","0","0","3352","3342","3307","C"
"0.002024","10.04","0.01119","3879","0","0","3889","3879","3838","C"
"0.00214","9.909","0.01191","3388","0","0","3398","3388","3352","C"
"0.002263","9.789","0.01267","2960","0","0","2969","2960","2931","C"
"0.002263","9.789","0.01267","3146","0","0","3155","3146","3115","C"
"0.002375","9.687","0.01335","2816","0","0","2825","2816","2790","C"
"0.002491","9.579","0.01407","2522","0","0","2531","2522","2499","C"
"0.002491","9.579","0.01407","2631","0","0","2641","2631","2607","C"
"0.003","9.059","0.01714","1701","0","0","1710","1701","1688","C"
"0.004","8.099","0.02291","847.7","0","0","855.9","847.8","843","C"
"0.005","7.218","0.02829","486.3","0","0","493.6","486.4","483.9","C"
"0.006","6.44","0.03323","306.4","0","0","312.9","306.4","305.1","C"
"0.008","5.177","0.04182","146.1","0","0","151.4","146.2","145.6","C"
"0.009244","4.557","0.04647","100.3","0","0","104.9","100.3","99.94","C"
"0.009244","4.557","0.04647","265.7","0","0","270.3","265.8","232.4","C"
"0.01","4.23","0.04908","216.8","0","0","221.1","216.9","191.6","C"
"0.01035","4.089","0.05025","197.8","0","0","201.9","197.8","175.6","C"
"0.01035","4.089","0.05025","271.6","0","0","275.8","271.7","231","C"
"0.01061","3.99","0.05109","255.8","0","0","259.9","255.9","219","C"
"0.01087","3.893","0.05194","241","0","0","244.9","241.1","206.5","C"
"0.01087","3.893","0.05194","278.6","0","0","282.6","278.7","236.9","C"
"0.015","2.728","0.0635","121.9","0","0","124.7","121.9","108.4","C"
"0.02","1.928","0.07431","56.83","0","0","58.83","56.9","52.06","C"
"0.03","1.139","0.08842","19.01","0","0","20.23","19.09","17.91","C"
"0.04","0.7479","0.09613","8.629","0","0","9.473","8.725","8.242","C"
"0.05","0.5287","0.1004","4.65","0","0","5.279","4.75","4.48","C"
"0.06","0.3962","0.1027","2.798","0","0","3.296","2.9","2.712","C"
"0.06331","0.3635","0.1031","2.407","0","0","2.874","2.51","2.339","C"
"0.06331","0.3635","0.1031","12.59","0","0","13.05","12.69","3.77","C"
"0.08","0.2487","0.1041","6.808","0","0","7.161","6.912","3","C"
"0.1","0.1704","0.1034","3.759","0","0","4.032","3.862","2.067","C"
"0.15","0.08319","0.09854","1.252","0","0","1.434","1.35","0.8805","C"
"0.2","0.04956","0.09283","0.5707","0","0","0.7131","0.6635","0.4534","C"
"0.3","0.02348","0.08295","0.1916","0","0","0.2981","0.2746","0.1803","C"
"0.4","0.01363","0.07531","0.09093","0","0","0.1799","0.1662","0.1009","C"
"0.5","0.008887","0.06928","0.05228","0","0","0.1305","0.1216","0.06886","C"
"0.6","0.00625","0.06443","0.03393","0","0","0.1046","0.09836","0.05306","C"
"0.8","0.003569","0.05689","0.01783","0","0","0.07829","0.07472","0.03836","C"
"1","0.002304","0.05128","0.01119","0","0","0.06478","0.06247","0.03161","C"
"1.022","0.002208","0.05077","0.01071","0","0","0.06368","0.06148","0.03112","I"
"1.25","0.001484","0.04595","0.007221","0.000303","0","0.05496","0.05347","0.02695","C"
"1.5","0.001035","0.04182","0.005149","0.00141","0","0.04941","0.04838","0.02441","C"
"2","0.0005844","0.03573","0.00312","0.004419","0","0.04385","0.04327","0.02228","C"
"2.044","0.0005596","0.03528","0.003009","0.004695","0","0.04354","0.04298","0.02227","I"
"3","0.0002606","0.02814","0.001639","0.01023","9.837E-06","0.04028","0.04002","0.02212","C"
