"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","2.146","0.01543","920.2","0","0","922.4","920.2","920.3","C"
"0.001142","2.091","0.0184","644.2","0","0","646.3","644.2","645.2","C"
"0.001305","2.03","0.02172","450.9","0","0","453","451","450.9","C"
"0.001305","2.03","0.02172","5441","0","0","5443","5441","5310","C"
"0.0015","1.956","0.02535","4002","0","0","4004","4002","3918","C"
"0.002","1.781","0.0331","1930","0","0","1932","1930","1899","C"
"0.003","1.499","0.04562","656.8","0","0","658.4","656.9","649.9","C"
"0.004","1.279","0.05726","296.1","0","0","297.4","296.1","293.7","C"
"0.005","1.091","0.06844","157.1","0","0","158.3","157.2","156.1","C"
"0.006","0.9296","0.07887","92.79","0","0","93.8","92.87","92.27","C"
"0.008","0.6804","0.09681","39.82","0","0","40.59","39.91","39.65","C"
"0.01","0.5117","0.1107","20.43","0","0","21.06","20.54","20.36","C"
"0.015","0.2884","0.1318","5.937","0","0","6.357","6.068","5.925","C"
"0.02","0.188","0.1422","2.433","0","0","2.763","2.575","2.432","C"
"0.03","0.1005","0.1515","0.6784","0","0","0.9304","0.8299","0.6855","C"
"0.04","0.06261","0.1544","0.2711","0","0","0.488","0.4254","0.2815","C"
"0.05","0.04254","0.1543","0.1324","0","0","0.3292","0.2867","0.1451","C"
"0.06","0.03072","0.1528","0.07346","0","0","0.257","0.2263","0.0882","C"
"0.08","0.01815","0.148","0.02894","0","0","0.1951","0.177","0.04671","C"
"0.1","0.01197","0.1426","0.01403","0","0","0.1686","0.1566","0.0341","C"
"0.15","0.005523","0.1301","0.003786","0","0","0.1394","0.1338","0.02766","C"
"0.2","0.003157","0.1198","0.001514","0","0","0.1245","0.1213","0.02761","C"
"0.3","0.001421","0.1046","0.0004329","0","0","0.1065","0.1051","0.02871","C"
"0.4","0.000803","0.09393","0.0001867","0","0","0.09492","0.09412","0.02928","C"
"0.5","0.0005151","0.08585","0.0001011","0","0","0.08647","0.08595","0.02938","C"
"0.6","0.000358","0.07946","6.316E-05","0","0","0.07988","0.07952","0.02921","C"
"0.8","0.0002017","0.06985","3.191E-05","0","0","0.07008","0.06988","0.02848","C"
"1","0.0001291","0.06281","1.985E-05","0","0","0.06296","0.06283","0.02753","C"
