"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","9.283","0.006535","10570","0","0","10580","10570","10540","C"
"0.001115","9.159","0.007502","8141","0","0","8151","8141","8091","C"
"0.001242","9.035","0.008531","6270","0","0","6279","6270","6254","C"
"0.001242","9.035","0.008531","7214","0","0","7223","7214","7196","C"
"0.001289","8.991","0.008882","6652","0","0","6661","6652","6635","C"
"0.001337","8.945","0.009249","6133","0","0","6142","6133","6118","C"
"0.001337","8.945","0.009249","6505","0","0","6514","6505","6487","C"
"0.0015","8.77","0.01055","5082","0","0","5090","5082","5069","C"
"0.001511","8.757","0.01064","5000","0","0","5009","5000","4986","C"
"0.001511","8.757","0.01064","5227","0","0","5236","5227","5214","C"
"0.002","8.248","0.01447","2760","0","0","2768","2760","2755","C"
"0.003","7.244","0.02203","1039","0","0","1047","1039","1038","C"
"0.004","6.338","0.029","506.9","0","0","513.2","506.9","506.1","C"
"0.005","5.569","0.03529","286.9","0","0","292.5","286.9","286.5","C"
"0.005964","4.949","0.04064","181.8","0","0","186.8","181.8","181.6","C"
"0.005964","4.949","0.04064","512","0","0","517","512","480.2","C"
"0.006","4.928","0.04083","509.4","0","0","514.4","509.5","473.9","C"
"0.00644","4.68","0.04308","426.3","0","0","431","426.3","398.4","C"
"0.00644","4.68","0.04308","580.8","0","0","585.5","580.9","533.3","C"
"0.006635","4.575","0.04404","539.8","0","0","544.5","539.9","497.6","C"
"0.006835","4.47","0.045","501.3","0","0","505.8","501.4","462.5","C"
"0.006835","4.47","0.045","579.1","0","0","583.6","579.1","531.7","C"
"0.008","3.931","0.05017","391","0","0","395","391.1","363.4","C"
"0.01","3.202","0.05804","217.6","0","0","220.9","217.7","205.2","C"
"0.015","2.094","0.0736","73.81","0","0","75.98","73.88","70.94","C"
"0.02","1.504","0.08449","33.67","0","0","35.26","33.76","32.67","C"
"0.03","0.874","0.09736","10.95","0","0","11.92","11.05","10.72","C"
"0.04","0.5688","0.1041","4.885","0","0","5.558","4.989","4.803","C"
"0.04199","0.5282","0.105","4.258","0","0","4.892","4.363","4.192","C"
"0.04199","0.5282","0.105","24.54","0","0","25.18","24.65","7.833","C"
"0.05","0.4041","0.1077","15.48","0","0","15.99","15.58","6.567","C"
"0.06","0.3034","0.1096","9.565","0","0","9.978","9.674","4.942","C"
"0.08","0.1883","0.1104","4.364","0","0","4.662","4.474","2.773","C"
"0.1","0.1279","0.1091","2.351","0","0","2.588","2.46","1.667","C"
"0.15","0.06227","0.1031","0.7526","0","0","0.918","0.8557","0.6172","C"
"0.2","0.03696","0.0968","0.3349","0","0","0.4687","0.4317","0.3025","C"
