"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","7.275","0.005792","5711","0","0","5718","5711","5709","C"
"0.0015","6.876","0.0104","2234","0","0","2241","2234","2233","C"
"0.002","6.441","0.01497","1113","0","0","1119","1113","1113","C"
"0.002838","5.711","0.02225","464.8","0","0","470.5","464.8","464.6","C"
"0.002838","5.711","0.02225","1638","0","0","1644","1638","1591","C"
"0.002902","5.656","0.02279","1540","0","0","1545","1540","1492","C"
"0.002967","5.601","0.02333","1447","0","0","1452","1447","1407","C"
"0.002967","5.601","0.02333","1969","0","0","1975","1969","2233","C"
"0.003","5.574","0.0236","1957","0","0","1963","1957","1894","C"
"0.003224","5.392","0.02542","1632","0","0","1637","1632","1584","C"
"0.003224","5.392","0.02542","1869","0","0","1874","1869","1811","C"
"0.004","4.808","0.03143","1090","0","0","1095","1090","1063","C"
"0.005","4.173","0.03859","612.5","0","0","616.7","612.6","600","C"
"0.006","3.657","0.04519","379.4","0","0","383.1","379.5","373.1","C"
"0.008","2.898","0.0567","175.5","0","0","178.5","175.6","173.3","C"
"0.01","2.371","0.06596","95.57","0","0","98.01","95.64","94.56","C"
"0.015","1.533","0.08246","31.08","0","0","32.7","31.17","30.85","C"
"0.02","1.053","0.09361","13.85","0","0","14.99","13.94","13.76","C"
"0.02212","0.9176","0.09724","10.42","0","0","11.43","10.51","10.35","C"
"0.02212","0.9176","0.09724","67.75","0","0","68.76","67.84","27","C"
"0.03","0.5928","0.1071","30.7","0","0","31.4","30.8","16.89","C"
"0.04","0.3868","0.114","14.01","0","0","14.51","14.13","9.251","C"
"0.05","0.2716","0.1174","7.531","0","0","7.92","7.649","5.477","C"
"0.06","0.2004","0.1189","4.503","0","0","4.822","4.622","3.476","C"
"0.08","0.1223","0.1187","1.974","0","0","2.215","2.093","1.641","C"
"0.1","0.08276","0.1166","1.033","0","0","1.232","1.149","0.9012","C"
"0.15","0.04009","0.1093","0.3153","0","0","0.4647","0.4246","0.3037","C"
"0.2","0.02355","0.1021","0.1361","0","0","0.2618","0.2383","0.1475","C"
"0.3","0.0109","0.09045","0.0427","0","0","0.144","0.1331","0.06445","C"
"0.4","0.006262","0.08175","0.01941","0","0","0.1074","0.1012","0.04355","C"
"0.5","0.004053","0.07502","0.01085","0","0","0.08992","0.08587","0.03567","C"
"0.6","0.002835","0.06959","0.006906","0","0","0.07933","0.0765","0.03182","C"
"0.8","0.001608","0.06131","0.003556","0","0","0.06648","0.06487","0.02796","C"
"1","0.001033","0.05521","0.002218","0","0","0.05846","0.05743","0.02581","C"
"1.022","0.0009897","0.05463","0.00211","0","0","0.05773","0.05674","0.02562","I"
"1.25","0.0006632","0.04942","0.001423","0.0001437","0","0.05165","0.05099","0.02393","C"
"1.5","0.0004612","0.04494","0.001021","0.0006781","0","0.0471","0.04664","0.02262","C"
"2","0.0002598","0.03838","0.0006232","0.002385","0","0.04165","0.04139","0.02115","C"
"2.044","0.0002488","0.03791","0.0006018","0.002553","0","0.04131","0.04106","0.02112","I"
"3","0.0001156","0.03021","0.0003327","0.00625","1.057E-05","0.03692","0.03681","0.02052","C"
"4","6.507E-05","0.02521","0.0002214","0.00973","4.313E-05","0.03527","0.0352","0.02098","C"
"5","4.165E-05","0.02177","0.0001643","0.01276","8.586E-05","0.03482","0.03478","0.02176","C"
"6","2.893E-05","0.01925","0.00013","0.01538","0.0001317","0.03491","0.03489","0.02259","C"
"7","2.125E-05","0.0173","0.0001073","0.01773","0.0001774","0.03533","0.03531","0.02343","I"
"8","1.627E-05","0.01574","9.116E-05","0.01984","0.0002217","0.03591","0.03589","0.02419","C"
"9","1.286E-05","0.01447","7.919E-05","0.02175","0.0002641","0.03658","0.03656","0.0249","I"
"10","1.042E-05","0.01341","6.995E-05","0.02351","0.0003044","0.0373","0.03729","0.02556","C"
"11","8.61E-06","0.01251","6.262E-05","0.02511","0.0003424","0.03803","0.03803","0.02608","I"
"12","7.233E-06","0.01173","5.666E-05","0.0266","0.0003784","0.03877","0.03877","0.02656","I"
"13","6.161E-06","0.01105","5.172E-05","0.02796","0.0004122","0.03949","0.03948","0.02701","I"
"14","5.314E-06","0.01046","4.757E-05","0.02922","0.0004444","0.04017","0.04017","0.02743","I"
"15","4.629E-06","0.009927","4.403E-05","0.03039","0.0004749","0.04084","0.04083","0.02783","C"
"16","4.068E-06","0.00945","4.098E-05","0.03148","0.0005039","0.04148","0.04147","0.02807","I"
"18","3.215E-06","0.00864","3.598E-05","0.03348","0.0005576","0.04272","0.04271","0.02852","I"
"20","2.604E-06","0.007966","3.206E-05","0.03527","0.0006066","0.04388","0.04387","0.02893","C"
"22","2.152E-06","0.0074","2.89E-05","0.03689","0.0006513","0.04498","0.04497","",""
"24","1.808E-06","0.006918","2.631E-05","0.03837","0.0006924","0.04601","0.04601","",""
"26","1.541E-06","0.006495","2.415E-05","0.03972","0.0007305","0.04698","0.04697","",""
"28","1.329E-06","0.006125","2.231E-05","0.04096","0.0007657","0.04787","0.04787","",""
"30","1.157E-06","0.0058","2.074E-05","0.0421","0.0007984","0.04872","0.04872","",""
"40","6.513E-07","0.004609","1.531E-05","0.04671","0.0009343","0.05227","0.05227","",""
"50","4.166E-07","0.003847","1.214E-05","0.05013","0.001037","0.05503","0.05503","",""
"60","2.893E-07","0.003315","1.005E-05","0.0528","0.001119","0.05725","0.05725","",""
"80","1.627E-07","0.002614","7.478E-06","0.05674","0.001242","0.0606","0.0606","",""
"100","1.042E-07","0.00217","5.953E-06","0.05954","0.001332","0.06304","0.06304","",""
"150","4.629E-08","0.001545","3.943E-06","0.06399","0.001482","0.06702","0.06702","",""
"200","2.604E-08","0.001211","2.948E-06","0.06667","0.001575","0.06946","0.06946","",""
"300","1.157E-08","0.0008586","1.959E-06","0.06977","0.00169","0.07232","0.07232","",""
"400","6.507E-09","0.0006727","1.467E-06","0.07156","0.00176","0.07399","0.07399","",""
"500","4.166E-09","0.0005567","1.173E-06","0.07269","0.001807","0.07506","0.07506","",""
"600","2.893E-09","0.0004767","9.766E-07","0.07359","0.001842","0.07591","0.07591","",""
"800","1.627E-09","0.0003723","7.317E-07","0.07466","0.001889","0.07692","0.07692","",""
"1000","1.042E-09","0.0003063","5.851E-07","0.07543","0.001922","0.07766","0.07766","",""
"1500","4.629E-10","0.0002139","3.898E-07","0.07645","0.001969","0.07863","0.07863","",""
"2000","2.604E-10","0.0001655","2.923E-07","0.07704","0.001996","0.0792","0.0792","",""
"3000","1.157E-10","0.0001151","1.948E-07","0.07764","0.002025","0.07978","0.07978","",""
"4000","6.507E-11","8.884E-05","1.46E-07","0.078","0.002043","0.08013","0.08013","",""
"5000","4.166E-11","7.263E-05","1.168E-07","0.07817","0.002053","0.0803","0.0803","",""
"6000","2.893E-11","6.161E-05","9.736E-08","0.07835","0.00206","0.08047","0.08047","",""
"8000","1.627E-11","4.746E-05","7.299E-08","0.07853","0.002071","0.08065","0.08065","",""
"10000","1.042E-11","3.875E-05","5.84E-08","0.07865","0.002077","0.08077","0.08077","",""
