"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","9.668","0.005936","2097","0","0","2107","2097","2097","C"
"0.001039","9.628","0.006239","1952","0","0","1962","1952","1953","C"
"0.00108","9.588","0.006556","1818","0","0","1828","1818","1817","C"
"0.00108","9.588","0.006556","2514","0","0","2524","2514","2620","C"
"0.001093","9.576","0.006656","3743","0","0","3752","3743","3816","C"
"0.001106","9.564","0.006757","5551","0","0","5561","5551","5582","C"
"0.001106","9.564","0.006757","6785","0","0","6794","6785","6814","C"
"0.001253","9.425","0.007858","5970","0","0","5980","5970","6605","C"
"0.00142","9.256","0.009076","5255","0","0","5264","5255","5234","C"
"0.00142","9.256","0.009076","6064","0","0","6073","6064","6039","C"
"0.0015","9.172","0.009672","5347","0","0","5356","5347","5329","C"
"0.001541","9.132","0.009977","5038","0","0","5048","5038","5018","C"
"0.001541","9.132","0.009977","5347","0","0","5356","5347","5325","C"
"0.001629","9.041","0.01063","4727","0","0","4736","4727","4714","C"
"0.001723","8.943","0.01132","4181","0","0","4190","4181","4165","C"
"0.001723","8.943","0.01132","4370","0","0","4379","4370","4352","C"
"0.002","8.663","0.01333","3112","0","0","3120","3112","3102","C"
"0.003","7.662","0.02045","1186","0","0","1194","1186","1183","C"
"0.004","6.737","0.02703","580.3","0","0","587.1","580.4","579.5","C"
"0.005","5.932","0.03302","329.7","0","0","335.6","329.7","329.1","C"
"0.006","5.251","0.03837","206.2","0","0","211.5","206.3","205.9","C"
"0.006716","4.83","0.04185","153.9","0","0","158.7","153.9","153.6","C"
"0.006716","4.83","0.04185","428.6","0","0","433.4","428.6","393.3","C"
"0.007008","4.674","0.04318","384.5","0","0","389.2","384.6","354.7","C"
"0.007312","4.518","0.04454","345","0","0","349.6","345.1","318.9","C"
"0.007312","4.518","0.04454","471","0","0","475.6","471","425.5","C"
"0.007521","4.413","0.04546","439.4","0","0","443.8","439.4","398.8","C"
"0.007737","4.31","0.04638","409.7","0","0","414.1","409.8","372.1","C"
"0.007737","4.31","0.04638","473.4","0","0","477.8","473.5","427.6","C"
"0.008","4.189","0.04746","435.8","0","0","440","435.8","395.1","C"
"0.01","3.41","0.05511","246.5","0","0","249.9","246.5","227.8","C"
"0.015","2.216","0.07033","84.03","0","0","86.31","84.1","79.72","C"
"0.02","1.588","0.0813","38.58","0","0","40.25","38.66","37.06","C"
"0.03","0.9304","0.09448","12.63","0","0","13.65","12.72","12.27","C"
"0.04","0.6052","0.1014","5.655","0","0","6.362","5.757","5.532","C"
"0.04683","0.4754","0.1042","3.629","0","0","4.209","3.734","3.562","C"
"0.04683","0.4754","0.1042","20.42","0","0","21","20.52","6.378","C"
"0.05","0.4294","0.1051","17.21","0","0","17.74","17.32","6.094","C"
"0.06","0.3227","0.1071","10.64","0","0","11.07","10.75","4.872","C"
"0.08","0.2011","0.108","4.902","0","0","5.211","5.01","2.893","C"
"0.1","0.1368","0.1069","2.658","0","0","2.902","2.765","1.786","C"
"0.15","0.06665","0.1012","0.8591","0","0","1.027","0.9603","0.6806","C"
"0.2","0.03961","0.09508","0.3845","0","0","0.5192","0.4796","0.3366","C"
"0.3","0.01864","0.08475","0.1262","0","0","0.2296","0.211","0.1326","C"
"0.4","0.01077","0.07682","0.05904","0","0","0.1466","0.1359","0.0762","C"
"0.5","0.007005","0.07061","0.0336","0","0","0.1112","0.1042","0.05411","C"
"0.6","0.004918","0.0656","0.02166","0","0","0.09218","0.08726","0.04334","C"
"0.8","0.002802","0.05791","0.01129","0","0","0.07201","0.06921","0.03333","C"
"1","0.001806","0.05219","0.007069","0","0","0.06106","0.05926","0.02862","C"
"1.022","0.00173","0.05163","0.006765","0","0","0.06012","0.05839","0.02827","I"
"1.25","0.001162","0.04674","0.004562","0.0002432","0","0.05271","0.05155","0.02522","C"
"1.5","0.000809","0.04253","0.003259","0.001124","0","0.04773","0.04692","0.02325","C"
"2","0.0004566","0.03632","0.001978","0.003645","0","0.0424","0.04195","0.0215","C"
"2.044","0.000437","0.03588","0.001908","0.003883","0","0.04211","0.04167","0.02149","I"
"3","0.0002033","0.0286","0.001043","0.008819","1E-05","0.03868","0.03848","0.02133","C"
"4","0.0001145","0.02387","0.0006885","0.01326","4.077E-05","0.03797","0.03786","0.02241","C"
"5","7.329E-05","0.02062","0.0005075","0.01705","8.114E-05","0.03833","0.03826","0.02372","C"
"6","5.091E-05","0.01822","0.0003994","0.02032","0.0001244","0.03912","0.03907","0.02498","C"
"7","3.741E-05","0.01638","0.0003283","0.02321","0.0001675","0.04013","0.04009","0.02614","I"
"8","2.864E-05","0.01491","0.0002781","0.02581","0.0002092","0.04124","0.04121","0.02719","C"
"9","2.263E-05","0.01371","0.0002409","0.02817","0.0002491","0.04239","0.04236","0.02811","I"
"10","1.834E-05","0.0127","0.0002124","0.03033","0.0002869","0.04355","0.04353","0.02896","C"
"11","1.515E-05","0.01185","0.0001897","0.03233","0.0003227","0.0447","0.04469","0.0296","I"
"12","1.273E-05","0.01111","0.0001714","0.03418","0.0003563","0.04583","0.04582","0.0302","I"
"13","1.085E-05","0.01047","0.0001562","0.03591","0.000388","0.04693","0.04692","0.03077","I"
"14","9.356E-06","0.009901","0.0001435","0.03752","0.0004181","0.04799","0.04798","0.0313","I"
"15","8.15E-06","0.0094","0.0001327","0.03901","0.0004466","0.04899","0.04899","0.0318","C"
"16","7.161E-06","0.008951","0.0001234","0.04037","0.0004738","0.04993","0.04992","0.03207","I"
"18","5.659E-06","0.008183","0.0001081","0.0429","0.0005239","0.05172","0.05171","0.03257","I"
"20","4.586E-06","0.007546","9.624E-05","0.04514","0.0005691","0.05335","0.05335","0.03302","C"
"22","3.789E-06","0.007009","8.667E-05","0.04714","0.0006108","0.05485","0.05485","",""
"24","3.184E-06","0.006548","7.882E-05","0.04898","0.0006492","0.05626","0.05626","",""
"26","2.713E-06","0.006152","7.229E-05","0.05067","0.0006841","0.05758","0.05757","",""
"28","2.339E-06","0.005803","6.673E-05","0.05223","0.0007169","0.05882","0.05881","",""
"30","2.037E-06","0.005495","6.2E-05","0.05363","0.0007474","0.05994","0.05993","",""
"40","1.146E-06","0.004366","4.566E-05","0.05944","0.0008723","0.06472","0.06472","",""
"50","7.333E-07","0.003644","3.615E-05","0.06372","0.0009668","0.06837","0.06837","",""
"60","5.095E-07","0.00314","2.991E-05","0.06705","0.001042","0.07126","0.07126","",""
"80","2.865E-07","0.002476","2.223E-05","0.07197","0.001154","0.07562","0.07562","",""
"100","1.834E-07","0.002055","1.769E-05","0.0755","0.001235","0.07881","0.0788","",""
"150","8.15E-08","0.001463","1.17E-05","0.08102","0.001369","0.08387","0.08387","",""
