"Photon Energy","Scattering - Coherent","Scattering - Incoherent","Photo-Electric Absorption","Pair Production in Nuclear Field","Pair Production in Electron Field","Total Attenuation with Coherent Scattering","Total Attenuation without Coherent Scattering","Mass Energy-Absorption","Mass E-Abs Type"
"0.001","6.547","0.0081","4203","0","0","4210","4203","4203","C"
"0.0015","6.126","0.01338","1625","0","0","1631","1625","1625","C"
"0.002","5.705","0.01814","806","0","0","811.8","806.1","805.7","C"
"0.002222","5.523","0.02017","620.3","0","0","625.8","620.3","620.1","C"
"0.002222","5.523","0.02017","2386","0","0","2391","2386","2335","C"
"0.002264","5.49","0.02055","2246","0","0","2251","2246","2186","C"
"0.002307","5.456","0.02094","2114","0","0","2120","2114","2071","C"
"0.002307","5.456","0.02094","2948","0","0","2953","2948","2878","C"
"0.002417","5.374","0.02191","2633","0","0","2639","2633","2575","C"
"0.002532","5.29","0.02291","2353","0","0","2359","2353","2303","C"
"0.002532","5.29","0.02291","2685","0","0","2691","2686","2627","C"
"0.003","4.944","0.02691","1767","0","0","1772","1767","1734","C"
"0.004","4.297","0.03484","846.3","0","0","850.6","846.3","834.4","C"
"0.005","3.758","0.04206","471.8","0","0","475.6","471.9","466.4","C"
"0.006","3.314","0.04861","290.1","0","0","293.5","290.2","287.3","C"
"0.008","2.641","0.05962","133","0","0","135.7","133","132","C"
"0.01","2.15","0.06846","71.96","0","0","74.17","72.02","71.5","C"
"0.015","1.353","0.08496","23.18","0","0","24.62","23.27","23.08","C"
"0.018","1.063","0.09235","13.86","0","0","15.01","13.95","13.8","C"
"0.018","1.063","0.09235","93.54","0","0","94.7","93.64","41.64","C"
"0.02","0.9222","0.09645","71.36","0","0","72.38","71.46","35.55","C"
"0.03","0.5215","0.11","24.22","0","0","24.85","24.33","16","C"
"0.04","0.3384","0.1168","10.93","0","0","11.39","11.05","8.129","C"
"0.05","0.2358","0.1201","5.818","0","0","6.174","5.938","4.621","C"
"0.06","0.1735","0.1214","3.449","0","0","3.744","3.57","2.859","C"
"0.08","0.1058","0.1207","1.495","0","0","1.721","1.615","1.31","C"
"0.1","0.07163","0.1184","0.7757","0","0","0.9657","0.894","0.708","C"
"0.15","0.03457","0.1106","0.2338","0","0","0.379","0.3445","0.2361","C"
"0.2","0.02023","0.1033","0.1001","0","0","0.2237","0.2035","0.1164","C"
"0.3","0.009341","0.09136","0.03107","0","0","0.1318","0.1224","0.0542","C"
"0.4","0.005354","0.08245","0.01403","0","0","0.1018","0.09649","0.03885","C"
"0.5","0.003464","0.07565","0.007816","0","0","0.08693","0.08347","0.03311","C"
"0.6","0.002421","0.07017","0.004962","0","0","0.07756","0.07514","0.03025","C"
"0.8","0.001372","0.06179","0.002549","0","0","0.06571","0.06434","0.02726","C"
"1","0.0008806","0.05563","0.001588","0","0","0.0581","0.05722","0.02547","C"
"1.022","0.0008437","0.05505","0.00151","0","0","0.0574","0.05656","0.0253","I"
"1.25","0.0005652","0.04979","0.001019","0.0001241","0","0.0515","0.05093","0.0238","C"
"1.5","0.000393","0.04528","0.0007321","0.0005953","0","0.047","0.04661","0.02257","C"
"2","0.0002213","0.03866","0.0004479","0.00213","0","0.04146","0.04124","0.02112","C"
"2.044","0.000212","0.03819","0.0004323","0.002283","0","0.04112","0.0409","0.02108","I"
"3","9.849E-05","0.03043","0.0002398","0.00566","1.065E-05","0.03644","0.03634","0.02033","C"
"4","5.541E-05","0.02539","0.00016","0.008866","4.345E-05","0.03451","0.03446","0.02061","C"
"5","3.547E-05","0.02193","0.0001189","0.01166","8.655E-05","0.03384","0.0338","0.02123","C"
"6","2.464E-05","0.01938","9.42E-05","0.01411","0.0001328","0.03374","0.03372","0.02193","C"
"7","1.81E-05","0.01742","7.777E-05","0.01629","0.0001788","0.03399","0.03397","0.02268","I"
"8","1.386E-05","0.01586","6.615E-05","0.01825","0.0002235","0.03441","0.0344","0.02335","C"
"9","1.095E-05","0.01458","5.752E-05","0.02004","0.0002662","0.03495","0.03494","0.024","I"
"10","8.872E-06","0.01351","5.084E-05","0.02167","0.0003068","0.03554","0.03553","0.0246","C"
"11","7.328E-06","0.0126","4.553E-05","0.02316","0.0003453","0.03615","0.03614","0.02508","I"
"12","6.16E-06","0.01182","4.121E-05","0.02453","0.0003816","0.03678","0.03677","0.02552","I"
"13","5.248E-06","0.01113","3.764E-05","0.02579","0.0004158","0.03738","0.03738","0.02594","I"
"14","4.525E-06","0.01053","3.462E-05","0.02695","0.0004483","0.03797","0.03797","0.02633","I"
"15","3.942E-06","0.009995","3.206E-05","0.02804","0.0004791","0.03855","0.03854","0.0267","C"
"16","3.465E-06","0.009519","2.984E-05","0.02905","0.0005084","0.03911","0.03911","0.02694","I"
"18","2.738E-06","0.008701","2.621E-05","0.0309","0.0005627","0.04019","0.04019","0.02738","I"
"20","2.217E-06","0.008021","2.336E-05","0.03256","0.0006122","0.04122","0.04121","0.02778","C"
