"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","22.44","22.23","44.68","3.257E-05"
"0.0015","29.03","23.16","52.19","4.29E-05"
"0.002","34.84","23.5","58.34","5.194E-05"
"0.0025","40.14","23.56","63.7","6.013E-05"
"0.003","45.06","23.45","68.52","6.769E-05"
"0.004","54.09","23.02","77.1","8.143E-05"
"0.005","62.31","22.44","84.76","9.378E-05"
"0.006","69.96","21.82","91.78","0.0001051"
"0.007","77.14","21.21","98.35","0.0001156"
"0.008","83.96","20.6","104.6","0.0001255"
"0.009","90.47","20.03","110.5","0.0001348"
"0.01","96.72","19.48","116.2","0.0001436"
"0.0125","111.4","18.23","129.6","0.000164"
"0.015","125.1","17.15","142.2","0.0001824"
"0.0175","137.9","16.2","154.1","0.0001992"
"0.02","150","15.36","165.4","0.0002149"
"0.0225","161.6","14.62","176.2","0.0002295"
"0.025","172.7","13.96","186.7","0.0002433"
"0.0275","183.4","13.37","196.8","0.0002564"
"0.03","193.7","12.83","206.6","0.0002687"
"0.035","213.4","11.89","225.3","0.0002919"
"0.04","232","11.1","243.1","0.0003133"
"0.045","249.7","10.43","260.1","0.0003331"
"0.05","266.5","9.844","276.4","0.0003518"
"0.055","282.7","9.33","292","0.0003694"
"0.06","298.1","8.875","307","0.0003861"
"0.065","313","8.469","321.5","0.000402"
"0.07","327.3","8.104","335.4","0.0004172"
"0.075","341.2","7.773","348.9","0.0004318"
"0.08","354.5","7.473","362","0.0004459"
"0.085","367.4","7.198","374.6","0.0004595"
"0.09","379.8","6.945","386.7","0.0004726"
"0.095","391.8","6.712","398.5","0.0004853"
"0.1","403.4","6.497","409.9","0.0004977"
"0.125","455.9","5.619","461.5","0.0005551"
"0.15","500.2","4.972","505.1","0.0006068"
"0.175","537.2","4.474","541.7","0.0006545"
"0.2","568.1","4.076","572.1","0.0006994"
"0.225","593.6","3.716","597.3","0.0007421"
"0.25","614.5","3.447","618","0.0007832"
"0.275","631.7","3.218","634.9","0.0008231"
"0.3","645.7","3.02","648.7","0.0008621"
"0.35","666.4","2.696","669.1","0.0009379"
"0.4","680","2.441","682.4","0.001012"
"0.45","688.8","2.233","691","0.001085"
"0.5","694.3","2.061","696.4","0.001157"
"0.55","697.5","1.916","699.4","0.001228"
"0.6","699","1.792","700.8","0.0013"
"0.65","699.3","1.684","700.9","0.001371"
"0.7","698.5","1.589","700.1","0.001442"
"0.75","697","1.506","698.5","0.001514"
"0.8","694.9","1.431","696.3","0.001586"
"0.85","692.3","1.365","693.7","0.001658"
"0.9","689.3","1.304","690.6","0.00173"
"0.95","685.9","1.25","687.2","0.001802"
"1","682.3","1.2","683.5","0.001875"
"1.25","661.3","1.003","662.3","0.002247"
"1.5","638.1","0.8656","639","0.002631"
"1.75","614.5","0.7634","615.3","0.00303"
"2","591.4","0.6842","592.1","0.003444"
"2.25","569.4","0.621","570","0.003874"
"2.5","548.5","0.5691","549","0.004321"
"2.75","528.8","0.5258","529.3","0.004785"
"3","510.4","0.4891","510.9","0.005266"
"3.5","477","0.4299","477.4","0.006279"
"4","447.7","0.3843","448.1","0.00736"
"4.5","421.9","0.348","422.2","0.00851"
"5","399","0.3183","399.4","0.009729"
"5.5","378.7","0.2936","379","0.01101"
"6","360.5","0.2727","360.8","0.01237"
"6.5","344.1","0.2547","344.3","0.01379"
"7","329.2","0.2391","329.4","0.01527"
"7.5","315.7","0.2254","315.9","0.01682"
"8","303.3","0.2133","303.6","0.01844"
"8.5","292","0.2025","292.2","0.02012"
"9","281.6","0.1928","281.8","0.02186"
"9.5","271.9","0.184","272.1","0.02366"
"10","263","0.1761","263.2","0.02553"
