"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","11.5","5.784","17.28","9.597E-05"
"0.0015","14.55","6.326","20.88","0.000122"
"0.002","17.2","6.665","23.86","0.0001444"
"0.0025","19.57","6.889","26.46","0.0001643"
"0.003","21.76","7.044","28.8","0.0001823"
"0.004","25.72","7.223","32.94","0.0002147"
"0.005","29.27","7.302","36.58","0.0002435"
"0.006","32.54","7.323","39.87","0.0002697"
"0.007","35.59","7.31","42.9","0.0002938"
"0.008","38.46","7.275","45.73","0.0003164"
"0.009","41.18","7.225","48.4","0.0003376"
"0.01","43.78","7.167","50.94","0.0003578"
"0.0125","49.83","6.999","56.83","0.0004042"
"0.015","55.39","6.82","62.21","0.0004462"
"0.0175","60.56","6.641","67.2","0.0004848"
"0.02","65.44","6.468","71.9","0.0005208"
"0.0225","70.06","6.302","76.36","0.0005545"
"0.025","74.46","6.144","80.61","0.0005863"
"0.0275","78.68","5.994","84.68","0.0006166"
"0.03","82.74","5.852","88.59","0.0006455"
"0.035","90.45","5.59","96.04","0.0006996"
"0.04","97.69","5.354","103","0.0007499"
"0.045","104.5","5.141","109.7","0.0007969"
"0.05","111.1","4.947","116","0.0008412"
"0.055","117.3","4.77","122.1","0.0008832"
"0.06","123.3","4.607","127.9","0.0009232"
"0.065","129.1","4.457","133.5","0.0009614"
"0.07","134.6","4.318","139","0.0009981"
"0.075","140","4.19","144.2","0.001033"
"0.08","145.2","4.07","149.3","0.001068"
"0.085","150.3","3.958","154.3","0.0011"
"0.09","155.2","3.853","159.1","0.001132"
"0.095","160","3.754","163.8","0.001163"
"0.1","164.7","3.662","168.3","0.001193"
"0.125","186.4","3.268","189.7","0.001333"
"0.15","205.8","2.962","208.8","0.001459"
"0.175","223.5","2.715","226.2","0.001574"
"0.2","239.5","2.511","242","0.00168"
"0.225","254.2","2.339","256.6","0.001781"
"0.25","267.7","2.192","269.9","0.001876"
"0.275","280.1","2.065","282.2","0.001966"
"0.3","291.5","1.953","293.4","0.002053"
"0.35","311.6","1.767","313.3","0.002218"
"0.4","328.5","1.616","330.1","0.002373"
"0.45","342.6","1.491","344.1","0.002521"
"0.5","354.3","1.387","355.7","0.002664"
"0.55","363.8","1.297","365.1","0.002803"
"0.6","371.5","1.22","372.7","0.002938"
"0.65","377.6","1.152","378.7","0.003071"
"0.7","382.1","1.092","383.2","0.003203"
"0.75","385.5","1.039","386.5","0.003332"
"0.8","387.8","0.9906","388.8","0.003461"
"0.85","389.1","0.9474","390","0.00359"
"0.9","389.6","0.9081","390.5","0.003718"
"0.95","389.4","0.8723","390.3","0.003846"
"1","388.7","0.8394","389.5","0.003974"
"1.25","384.4","0.709","385.1","0.004619"
"1.5","375.6","0.6162","376.3","0.005275"
"1.75","362.6","0.5465","363.1","0.005951"
"2","346.8","0.4921","347.3","0.006655"
"2.25","330.5","0.4483","331","0.007392"
"2.5","316.4","0.4122","316.8","0.008165"
"2.75","304","0.3819","304.4","0.00897"
"3","293","0.3561","293.4","0.009807"
"3.5","274.1","0.3143","274.4","0.01157"
"4","258.4","0.2819","258.7","0.01345"
"4.5","245","0.2559","245.3","0.01543"
"5","233.4","0.2347","233.6","0.01752"
"5.5","223.1","0.2169","223.4","0.01971"
"6","214","0.2018","214.2","0.022"
"6.5","205.8","0.1888","206","0.02438"
"7","198.4","0.1775","198.6","0.02685"
"7.5","191.7","0.1675","191.8","0.02942"
"8","185.5","0.1587","185.6","0.03207"
"8.5","179.7","0.1508","179.9","0.0348"
"9","174.5","0.1437","174.6","0.03762"
"9.5","169.6","0.1373","169.7","0.04053"
"10","165","0.1315","165.1","0.04352"
