"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","205.6","156.1","361.7","1.64E-06"
"0.0015","243.1","142.1","385.2","2.978E-06"
"0.002","273.7","130.3","404","4.245E-06"
"0.0025","300.1","120.5","420.6","5.457E-06"
"0.003","323.6","112.2","435.8","6.625E-06"
"0.004","364.3","99.09","463.4","8.848E-06"
"0.005","399.5","89.1","488.6","1.095E-05"
"0.006","430.7","81.22","511.9","1.295E-05"
"0.007","458.9","74.8","533.7","1.486E-05"
"0.008","484.9","69.47","554.4","1.67E-05"
"0.009","509","64.95","573.9","1.847E-05"
"0.01","531.6","61.06","592.6","2.019E-05"
"0.0125","582.7","53.35","636.1","2.425E-05"
"0.015","628.1","47.57","675.7","2.807E-05"
"0.0175","669.2","43.06","712.2","3.167E-05"
"0.02","706.9","39.43","746.3","3.51E-05"
"0.0225","741.8","36.43","778.2","3.838E-05"
"0.025","774.5","33.9","808.4","4.153E-05"
"0.0275","805.3","31.74","837","4.457E-05"
"0.03","834.4","29.87","864.2","4.75E-05"
"0.035","888.4","26.53","914.9","5.312E-05"
"0.04","937.9","24.11","962","5.845E-05"
"0.045","983.6","22.14","1006","6.353E-05"
"0.05","1026","20.49","1047","6.841E-05"
"0.055","1066","19.09","1085","7.31E-05"
"0.06","1104","17.89","1122","7.763E-05"
"0.065","1139","16.85","1156","8.202E-05"
"0.07","1173","15.93","1189","8.628E-05"
"0.075","1205","15.11","1221","9.043E-05"
"0.08","1236","14.39","1251","9.448E-05"
"0.085","1266","13.73","1279","9.843E-05"
"0.09","1294","13.14","1307","0.0001023"
"0.095","1321","12.6","1334","0.0001061"
"0.1","1347","12.11","1359","0.0001098"
"0.125","1464","10.17","1474","0.0001274"
"0.15","1563","8.798","1572","0.0001438"
"0.175","1648","7.778","1656","0.0001593"
"0.2","1721","6.985","1728","0.0001741"
"0.225","1785","6.35","1791","0.0001883"
"0.25","1840","5.828","1846","0.000202"
"0.275","1888","5.391","1893","0.0002154"
"0.3","1929","5.02","1934","0.0002285"
"0.35","1995","4.421","2000","0.0002539"
"0.4","2042","3.958","2046","0.0002786"
"0.45","2074","3.589","2077","0.0003028"
"0.5","2092","3.286","2096","0.0003268"
"0.55","2101","3.034","2104","0.0003506"
"0.6","2100","2.82","2103","0.0003743"
"0.65","2093","2.636","2096","0.0003981"
"0.7","2080","2.477","2083","0.0004221"
"0.75","2062","2.336","2065","0.0004462"
"0.8","2041","2.212","2043","0.0004705"
"0.85","2017","2.101","2019","0.0004951"
"0.9","1990","2.001","1992","0.0005201"
"0.95","1962","1.911","1964","0.0005453"
"1","1932","1.829","1934","0.000571"
"1.25","1778","1.512","1780","0.0007057"
"1.5","1630","1.292","1632","0.0008524"
"1.75","1498","1.131","1499","0.001012"
"2","1383","1.008","1384","0.001186"
"2.25","1283","0.9099","1284","0.001374"
"2.5","1198","0.8303","1198","0.001575"
"2.75","1123","0.7641","1124","0.001791"
"3","1059","0.7082","1059","0.00202"
"3.5","951.8","0.6189","952.4","0.002519"
"4","867","0.5505","867.5","0.00307"
"4.5","797.9","0.4963","798.4","0.003671"
"5","740.5","0.4524","741","0.004322"
"5.5","691.8","0.4159","692.3","0.00502"
"6","650","0.3851","650.4","0.005766"
"6.5","613.6","0.3588","613.9","0.006557"
"7","581.5","0.336","581.8","0.007394"
"7.5","553","0.3161","553.3","0.008276"
"8","527.5","0.2985","527.7","0.009202"
"8.5","504.4","0.2829","504.7","0.01017"
"9","483.6","0.2689","483.8","0.01118"
"9.5","464.5","0.2562","464.8","0.01224"
"10","447.1","0.2448","447.4","0.01333"
