"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","48.19","9.622","57.82","2.958E-05"
"0.0015","58.07","10.33","68.4","3.751E-05"
"0.002","66.29","10.73","77.02","4.438E-05"
"0.0025","73.45","10.97","84.42","5.057E-05"
"0.003","79.87","11.11","90.99","5.627E-05"
"0.004","91.17","11.22","102.4","6.661E-05"
"0.005","101","11.21","112.2","7.593E-05"
"0.006","109.8","11.12","121","8.45E-05"
"0.007","117.9","11","128.9","9.25E-05"
"0.008","125.4","10.85","136.2","0.0001"
"0.009","132.3","10.69","143","0.0001072"
"0.01","138.9","10.53","149.4","0.000114"
"0.0125","153.9","10.12","164","0.00013"
"0.015","167.3","9.725","177.1","0.0001447"
"0.0175","179.6","9.353","188.9","0.0001583"
"0.02","190.9","9.007","199.9","0.0001712"
"0.0225","201.5","8.687","210.2","0.0001834"
"0.025","211.4","8.391","219.8","0.000195"
"0.0275","220.9","8.116","229","0.0002061"
"0.03","229.8","7.861","237.7","0.0002168"
"0.035","246.5","7.403","253.9","0.0002372"
"0.04","261.9","7.003","269","0.0002563"
"0.045","276.3","6.651","283","0.0002744"
"0.05","289.8","6.338","296.1","0.0002917"
"0.055","302.5","6.058","308.6","0.0003082"
"0.06","314.5","5.806","320.4","0.0003241"
"0.065","326","5.577","331.6","0.0003395"
"0.07","336.9","5.368","342.3","0.0003543"
"0.075","347.4","5.177","352.6","0.0003687"
"0.08","357.5","5.002","362.5","0.0003827"
"0.085","367.1","4.839","371.9","0.0003963"
"0.09","376.4","4.689","381.1","0.0004096"
"0.095","385.4","4.549","389.9","0.0004225"
"0.1","394","4.419","398.4","0.0004352"
"0.125","433.2","3.879","437.1","0.0004951"
"0.15","467","3.471","470.4","0.0005501"
"0.175","496.3","3.151","499.4","0.0006017"
"0.2","521.9","2.891","524.8","0.0006505"
"0.225","544.4","2.676","547.1","0.0006971"
"0.25","564.2","2.495","566.7","0.000742"
"0.275","581.5","2.339","583.8","0.0007854"
"0.3","596.5","2.204","598.7","0.0008277"
"0.35","620.9","1.98","622.9","0.0009095"
"0.4","638.7","1.785","640.5","0.0009886"
"0.45","651.2","1.642","652.8","0.001066"
"0.5","659.2","1.522","660.8","0.001142"
"0.55","663.7","1.419","665.1","0.001217"
"0.6","665.3","1.331","666.6","0.001292"
"0.65","664.5","1.255","665.7","0.001367"
"0.7","661.9","1.187","663.1","0.001443"
"0.75","657.9","1.127","659.1","0.001518"
"0.8","652.9","1.074","653.9","0.001594"
"0.85","647","1.025","648","0.001671"
"0.9","640.5","0.9817","641.5","0.001749"
"0.95","633.6","0.9419","634.6","0.001827"
"1","626.5","0.9056","627.4","0.001906"
"1.25","589.7","0.7617","590.5","0.002317"
"1.5","555.1","0.6602","555.8","0.002754"
"1.75","524.4","0.5843","524.9","0.003217"
"2","497.2","0.5252","497.8","0.003706"
"2.25","473.3","0.4778","473.8","0.004221"
"2.5","452","0.4388","452.4","0.004761"
"2.75","432.8","0.4061","433.2","0.005326"
"3","415.5","0.3783","415.9","0.005915"
"3.5","385.4","0.3335","385.7","0.007165"
"4","359.9","0.2988","360.2","0.008507"
"4.5","338","0.2711","338.2","0.00994"
"5","318.8","0.2483","319.1","0.01146"
"5.5","302","0.2294","302.2","0.01307"
"6","287","0.2133","287.2","0.01477"
"6.5","273.6","0.1995","273.8","0.01655"
"7","261.5","0.1874","261.7","0.01842"
"7.5","250.6","0.1769","250.8","0.02038"
"8","240.6","0.1675","240.8","0.02241"
"8.5","231.4","0.1591","231.6","0.02453"
"9","223","0.1516","223.2","0.02673"
"9.5","215.3","0.1448","215.4","0.02901"
"10","208.1","0.1387","208.2","0.03137"
