"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","146.3","166.9","313.2","3.66E-06"
"0.0015","177.1","150.3","327.4","5.214E-06"
"0.002","202.9","137","339.9","6.713E-06"
"0.0025","225.4","126.3","351.7","8.159E-06"
"0.003","245.7","117.4","363","9.558E-06"
"0.004","281.3","103.3","384.7","1.223E-05"
"0.005","312.5","92.75","405.3","1.477E-05"
"0.006","340.6","84.41","425","1.717E-05"
"0.007","366.2","77.64","443.9","1.948E-05"
"0.008","390","72.02","462","2.168E-05"
"0.009","412.2","67.26","479.5","2.381E-05"
"0.01","433.2","63.17","496.4","2.586E-05"
"0.0125","481.1","55.05","536.1","3.07E-05"
"0.015","524.1","48.98","573.1","3.521E-05"
"0.0175","563.3","44.25","607.6","3.944E-05"
"0.02","599.7","40.44","640.1","4.345E-05"
"0.0225","633.6","37.3","670.9","4.726E-05"
"0.025","665.4","34.66","700.1","5.091E-05"
"0.0275","695.6","32.4","728","5.441E-05"
"0.03","724.2","30.45","754.7","5.778E-05"
"0.035","777.7","27.24","805","6.42E-05"
"0.04","827","24.69","851.7","7.023E-05"
"0.045","872.7","22.62","895.3","7.596E-05"
"0.05","915.5","20.9","936.4","8.141E-05"
"0.055","955.7","19.45","975.2","8.665E-05"
"0.06","993.7","18.2","1012","9.168E-05"
"0.065","1030","17.11","1047","9.653E-05"
"0.07","1064","16.16","1080","0.0001012"
"0.075","1096","15.32","1112","0.0001058"
"0.08","1128","14.57","1142","0.0001102"
"0.085","1157","13.89","1171","0.0001146"
"0.09","1186","13.28","1199","0.0001188"
"0.095","1213","12.73","1226","0.0001229"
"0.1","1239","12.22","1252","0.0001269"
"0.125","1356","10.23","1366","0.000146"
"0.15","1453","8.834","1462","0.0001637"
"0.175","1534","7.794","1542","0.0001803"
"0.2","1602","6.988","1609","0.0001962"
"0.225","1659","6.343","1665","0.0002114"
"0.25","1706","5.815","1712","0.0002262"
"0.275","1745","5.373","1750","0.0002407"
"0.3","1776","4.998","1781","0.0002548"
"0.35","1821","4.394","1825","0.0002825"
"0.4","1846","3.928","1850","0.0003097"
"0.45","1856","3.557","1860","0.0003367"
"0.5","1855","3.254","1858","0.0003636"
"0.55","1845","3.002","1848","0.0003905"
"0.6","1829","2.788","1832","0.0004177"
"0.65","1809","2.604","1812","0.0004451"
"0.7","1785","2.444","1788","0.0004729"
"0.75","1759","2.304","1762","0.0005011"
"0.8","1732","2.18","1734","0.0005297"
"0.85","1703","2.07","1705","0.0005588"
"0.9","1674","1.97","1676","0.0005883"
"0.95","1645","1.881","1647","0.0006184"
"1","1617","1.799","1618","0.000649"
"1.25","1499","1.484","1500","0.0008098"
"1.5","1406","1.266","1407","0.0009819"
"1.75","1326","1.107","1327","0.001165"
"2","1254","0.9853","1255","0.001359"
"2.25","1189","0.8887","1190","0.001563"
"2.5","1129","0.8102","1130","0.001779"
"2.75","1075","0.745","1075","0.002006"
"3","1024","0.69","1025","0.002244"
"3.5","935.3","0.6021","935.9","0.002755"
"4","858.7","0.535","859.2","0.003313"
"4.5","792.9","0.4818","793.4","0.003919"
"5","737.6","0.4387","738","0.004573"
"5.5","690","0.403","690.4","0.005274"
"6","648.7","0.3729","649.1","0.006021"
"6.5","612.5","0.3471","612.8","0.006814"
"7","580.4","0.3248","580.8","0.007653"
"7.5","552","0.3053","552.3","0.008536"
"8","526.4","0.2881","526.7","0.009463"
"8.5","503.3","0.2728","503.6","0.01043"
"9","482.4","0.2591","482.6","0.01145"
"9.5","463.3","0.2468","463.6","0.01251"
"10","445.8","0.2357","446.1","0.01361"
