"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","18.39","20.44","38.83","3.834E-05"
"0.0015","23.79","21.37","45.15","5.026E-05"
"0.002","28.55","21.74","50.29","6.073E-05"
"0.0025","32.89","21.84","54.74","7.025E-05"
"0.003","36.93","21.79","58.72","7.906E-05"
"0.004","44.32","21.46","65.78","9.512E-05"
"0.005","51.06","20.98","72.04","0.0001096"
"0.006","57.33","20.45","77.78","0.000123"
"0.007","63.22","19.91","83.13","0.0001354"
"0.008","68.8","19.38","88.18","0.0001471"
"0.009","74.14","18.87","93.01","0.0001581"
"0.01","79.26","18.38","97.64","0.0001686"
"0.0125","91.31","17.25","108.6","0.0001929"
"0.015","102.5","16.26","118.8","0.0002149"
"0.0175","113","15.39","128.4","0.0002351"
"0.02","123","14.62","137.6","0.0002539"
"0.0225","132.5","13.93","146.4","0.0002715"
"0.025","141.6","13.32","154.9","0.0002881"
"0.0275","150.4","12.77","163.2","0.0003038"
"0.03","158.9","12.26","171.2","0.0003188"
"0.035","175.1","11.39","186.5","0.0003467"
"0.04","190.5","10.65","201.1","0.0003725"
"0.045","205.1","10.01","215.1","0.0003966"
"0.05","219.1","9.457","228.6","0.0004191"
"0.055","232.5","8.971","241.5","0.0004404"
"0.06","245.5","8.54","254","0.0004606"
"0.065","258","8.155","266.1","0.0004798"
"0.07","270","7.808","277.8","0.0004982"
"0.075","281.7","7.493","289.2","0.0005158"
"0.08","293.1","7.207","300.3","0.0005328"
"0.085","304.1","6.945","311.1","0.0005491"
"0.09","314.8","6.704","321.5","0.000565"
"0.095","325.2","6.482","331.7","0.0005803"
"0.1","335.4","6.276","341.7","0.0005951"
"0.125","382.4","5.435","387.8","0.0006637"
"0.15","423.8","4.816","428.6","0.0007249"
"0.175","460.4","4.337","464.8","0.0007809"
"0.2","492.8","3.954","496.7","0.0008329"
"0.225","521.2","3.64","524.8","0.0008818"
"0.25","546.1","3.347","549.4","0.0009283"
"0.275","567.8","3.126","570.9","0.0009729"
"0.3","586.6","2.935","589.6","0.001016"
"0.35","616.9","2.622","619.5","0.001099"
"0.4","638.9","2.375","641.3","0.001178"
"0.45","654.6","2.174","656.8","0.001255"
"0.5","665.6","2.007","667.6","0.00133"
"0.55","672.8","1.867","674.7","0.001405"
"0.6","677.3","1.746","679.1","0.001479"
"0.65","679.8","1.641","681.4","0.001552"
"0.7","680.6","1.55","682.2","0.001625"
"0.75","680.2","1.469","681.7","0.001699"
"0.8","678.9","1.396","680.3","0.001772"
"0.85","676.9","1.331","678.2","0.001846"
"0.9","674.3","1.273","675.6","0.00192"
"0.95","671.3","1.219","672.5","0.001994"
"1","667.9","1.171","669","0.002068"
"1.25","647.7","0.9796","648.6","0.002448"
"1.5","625.1","0.8456","625.9","0.00284"
"1.75","602.1","0.7461","602.9","0.003247"
"2","579.7","0.6689","580.4","0.00367"
"2.25","558.3","0.6072","558.9","0.004109"
"2.5","538","0.5566","538.5","0.004564"
"2.75","518.8","0.5144","519.3","0.005037"
"3","500.8","0.4785","501.3","0.005527"
"3.5","468.1","0.4208","468.6","0.006559"
"4","439.4","0.3762","439.8","0.007661"
"4.5","414","0.3407","414.4","0.008833"
"5","391.6","0.3117","391.9","0.01007"
"5.5","371.5","0.2876","371.8","0.01138"
"6","353.5","0.2671","353.8","0.01276"
"6.5","337.3","0.2495","337.6","0.01421"
"7","322.6","0.2342","322.9","0.01573"
"7.5","309.3","0.2208","309.5","0.01731"
"8","297.1","0.209","297.3","0.01896"
"8.5","285.9","0.1984","286.1","0.02067"
"9","275.6","0.1889","275.8","0.02245"
"9.5","266.1","0.1803","266.2","0.0243"
"10","257.2","0.1726","257.4","0.02621"
