"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","19.02","12.94","31.96","5.033E-05"
"0.0015","24.32","13.78","38.11","6.462E-05"
"0.002","28.96","14.23","43.19","7.692E-05"
"0.0025","33.16","14.46","47.63","8.793E-05"
"0.003","37.04","14.58","51.62","9.8E-05"
"0.004","44.1","14.61","58.71","0.0001161"
"0.005","50.5","14.49","64.99","0.0001323"
"0.006","56.4","14.3","70.7","0.000147"
"0.007","61.93","14.07","76","0.0001607"
"0.008","67.16","13.82","80.98","0.0001734"
"0.009","72.13","13.57","85.7","0.0001854"
"0.01","76.89","13.31","90.2","0.0001968"
"0.0125","88.03","12.7","100.7","0.000223"
"0.015","98.31","12.12","110.4","0.0002467"
"0.0175","107.9","11.6","119.5","0.0002684"
"0.02","117","11.12","128.1","0.0002886"
"0.0225","125.7","10.68","136.3","0.0003075"
"0.025","133.9","10.28","144.2","0.0003253"
"0.0275","141.9","9.909","151.8","0.0003422"
"0.03","149.5","9.571","159.1","0.0003583"
"0.035","164.1","8.97","173","0.0003884"
"0.04","177.8","8.451","186.2","0.0004163"
"0.045","190.8","7.998","198.8","0.0004422"
"0.05","203.2","7.599","210.8","0.0004667"
"0.055","215.1","7.244","222.4","0.0004897"
"0.06","226.6","6.926","233.5","0.0005117"
"0.065","237.6","6.639","244.2","0.0005326"
"0.07","248.2","6.379","254.6","0.0005527"
"0.075","258.5","6.142","264.6","0.0005719"
"0.08","268.4","5.924","274.3","0.0005905"
"0.085","278.1","5.724","283.8","0.0006084"
"0.09","287.4","5.538","293","0.0006257"
"0.095","296.5","5.367","301.9","0.0006425"
"0.1","305.4","5.207","310.6","0.0006589"
"0.125","346.2","4.549","350.8","0.0007345"
"0.15","382.1","4.056","386.2","0.0008023"
"0.175","413.9","3.672","417.5","0.0008645"
"0.2","441.9","3.362","445.2","0.0009225"
"0.225","466.5","3.106","469.6","0.0009771"
"0.25","488.1","2.891","491","0.001029"
"0.275","507","2.706","509.7","0.001079"
"0.3","523.5","2.547","526","0.001127"
"0.35","549.8","2.263","552.1","0.00122"
"0.4","569.1","2.056","571.1","0.001309"
"0.45","582.7","1.888","584.6","0.001395"
"0.5","592","1.747","593.8","0.00148"
"0.55","598","1.628","599.7","0.001564"
"0.6","601.5","1.526","603.1","0.001647"
"0.65","603.1","1.436","604.5","0.00173"
"0.7","603.2","1.358","604.6","0.001813"
"0.75","602.3","1.289","603.6","0.001895"
"0.8","600.5","1.227","601.7","0.001978"
"0.85","598","1.171","599.2","0.002062"
"0.9","595.1","1.12","596.3","0.002145"
"0.95","591.9","1.074","592.9","0.002229"
"1","588.3","1.032","589.3","0.002314"
"1.25","568.2","0.8667","569","0.002745"
"1.5","546.7","0.7501","547.4","0.003193"
"1.75","525.4","0.6631","526.1","0.003659"
"2","505","0.5955","505.6","0.004144"
"2.25","485.7","0.5414","486.2","0.004648"
"2.5","467.5","0.4969","468","0.005172"
"2.75","450.5","0.4596","451","0.005717"
"3","434.6","0.428","435.1","0.006281"
"3.5","405.9","0.3769","406.2","0.007471"
"4","380.7","0.3375","381","0.008743"
"4.5","358.5","0.306","358.8","0.0101"
"5","338.8","0.2802","339.1","0.01153"
"5.5","321.4","0.2587","321.6","0.01304"
"6","305.7","0.2404","305.9","0.01464"
"6.5","291.6","0.2248","291.8","0.01631"
"7","278.8","0.2111","279","0.01807"
"7.5","267.2","0.1992","267.4","0.0199"
"8","256.6","0.1886","256.8","0.0218"
"8.5","246.9","0.1791","247.1","0.02379"
"9","238","0.1706","238.1","0.02585"
"9.5","229.7","0.1629","229.8","0.02799"
"10","222","0.156","222.2","0.0302"
