"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","18.97","56.43","75.41","1.558E-05"
"0.0015","25.25","56.27","81.52","2.195E-05"
"0.002","30.92","55.18","86.1","2.791E-05"
"0.0025","36.18","53.78","89.96","3.359E-05"
"0.003","41.14","52.27","93.41","3.904E-05"
"0.004","50.38","49.32","99.69","4.94E-05"
"0.005","58.95","46.6","105.5","5.914E-05"
"0.006","67.03","44.16","111.2","6.837E-05"
"0.007","74.72","41.98","116.7","7.715E-05"
"0.008","82.08","40.03","122.1","8.553E-05"
"0.009","89.18","38.27","127.5","9.354E-05"
"0.01","96.05","36.69","132.7","0.0001012"
"0.0125","112.4","33.32","145.7","0.0001192"
"0.015","127.8","30.61","158.4","0.0001356"
"0.0175","142.4","28.37","170.8","0.0001508"
"0.02","156.5","26.48","182.9","0.000165"
"0.0225","170","24.86","194.8","0.0001782"
"0.025","183","23.46","206.5","0.0001907"
"0.0275","195.7","22.24","217.9","0.0002025"
"0.03","208","21.15","229.2","0.0002136"
"0.035","231.8","19.31","251.1","0.0002345"
"0.04","254.6","17.8","272.4","0.0002536"
"0.045","276.5","16.54","293","0.0002713"
"0.05","297.6","15.47","313.1","0.0002878"
"0.055","318.1","14.55","332.6","0.0003033"
"0.06","338","13.74","351.7","0.0003179"
"0.065","357.3","13.03","370.4","0.0003317"
"0.07","376.2","12.4","388.6","0.0003449"
"0.075","394.6","11.83","406.4","0.0003575"
"0.08","412.6","11.32","423.9","0.0003695"
"0.085","430.2","10.86","441.1","0.0003811"
"0.09","447.5","10.44","457.9","0.0003922"
"0.095","464.4","10.05","474.4","0.0004029"
"0.1","480.9","9.699","490.6","0.0004133"
"0.125","559.3","8.199","567.5","0.0004606"
"0.15","631.2","7.184","638.4","0.0005021"
"0.175","697.5","6.412","703.9","0.0005394"
"0.2","758.6","5.803","764.4","0.0005734"
"0.225","814.9","5.31","820.2","0.000605"
"0.25","866.7","4.9","871.6","0.0006345"
"0.275","914.1","4.555","918.7","0.0006624"
"0.3","957.5","4.259","961.8","0.000689"
"0.35","1033","3.778","1036","0.000739"
"0.4","1093","3.402","1097","0.0007859"
"0.45","1141","3.1","1144","0.0008305"
"0.5","1177","2.851","1180","0.0008735"
"0.55","1203","2.642","1206","0.0009154"
"0.6","1221","2.463","1223","0.0009565"
"0.65","1231","2.309","1233","0.0009972"
"0.7","1235","2.175","1237","0.001038"
"0.75","1234","2.057","1236","0.001078"
"0.8","1229","1.951","1231","0.001119"
"0.85","1221","1.857","1222","0.001159"
"0.9","1210","1.772","1212","0.0012"
"0.95","1198","1.695","1199","0.001242"
"1","1184","1.626","1185","0.001284"
"1.25","1106","1.352","1108","0.001502"
"1.5","1030","1.162","1031","0.001736"
"1.75","961.8","1.021","962.8","0.001987"
"2","903.2","0.9128","904.1","0.002255"
"2.25","852.6","0.8265","853.5","0.00254"
"2.5","808.7","0.7561","809.5","0.002841"
"2.75","770.2","0.6973","770.9","0.003157"
"3","736.1","0.6476","736.7","0.003489"
"3.5","678","0.5678","678.5","0.004197"
"4","630.1","0.5065","630.6","0.004962"
"4.5","589.7","0.4578","590.1","0.005783"
"5","555","0.4181","555.4","0.006656"
"5.5","524.7","0.3851","525.1","0.007583"
"6","498.1","0.3572","498.4","0.00856"
"6.5","474.4","0.3332","474.7","0.009589"
"7","453.1","0.3125","453.4","0.01067"
"7.5","433.9","0.2943","434.2","0.01179"
"8","416.5","0.2783","416.8","0.01297"
"8.5","400.6","0.264","400.8","0.01419"
"9","386","0.2511","386.2","0.01546"
"9.5","372.5","0.2395","372.8","0.01678"
"10","360.1","0.2291","360.3","0.01815"
