"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","65.25","10.15","75.4","2.273E-05"
"0.0015","76.5","10.89","87.38","2.887E-05"
"0.002","85.64","11.3","96.94","3.429E-05"
"0.0025","93.47","11.55","105","3.924E-05"
"0.003","100.4","11.69","112.1","4.384E-05"
"0.004","112.4","11.79","124.2","5.231E-05"
"0.005","122.7","11.77","134.4","6.004E-05"
"0.006","131.8","11.67","143.4","6.723E-05"
"0.007","140","11.53","151.5","7.401E-05"
"0.008","147.5","11.37","158.9","8.046E-05"
"0.009","154.5","11.2","165.7","8.662E-05"
"0.01","161","11.03","172","9.254E-05"
"0.0125","175.7","10.59","186.3","0.0001065"
"0.015","188.7","10.17","198.8","0.0001195"
"0.0175","200.4","9.773","210.2","0.0001317"
"0.02","211.1","9.407","220.5","0.0001433"
"0.0225","221.1","9.068","230.1","0.0001544"
"0.025","230.3","8.755","239.1","0.0001651"
"0.0275","239.1","8.466","247.5","0.0001753"
"0.03","247.3","8.197","255.5","0.0001853"
"0.035","262.6","7.715","270.3","0.0002043"
"0.04","276.5","7.295","283.8","0.0002223"
"0.045","289.4","6.925","296.4","0.0002396"
"0.05","301.5","6.597","308.1","0.0002561"
"0.055","312.7","6.303","319","0.0002721"
"0.06","323.3","6.039","329.4","0.0002875"
"0.065","333.4","5.8","339.2","0.0003024"
"0.07","343","5.581","348.5","0.000317"
"0.075","352.1","5.382","357.5","0.0003311"
"0.08","360.8","5.198","366","0.000345"
"0.085","369.1","5.029","374.2","0.0003585"
"0.09","377.1","4.872","382","0.0003717"
"0.095","384.8","4.726","389.6","0.0003847"
"0.1","392.3","4.59","396.9","0.0003974"
"0.125","425.8","4.026","429.8","0.0004578"
"0.15","454.5","3.602","458.1","0.0005141"
"0.175","479.5","3.268","482.7","0.0005673"
"0.2","501.4","2.998","504.4","0.0006179"
"0.225","520.8","2.775","523.6","0.0006665"
"0.25","538.1","2.586","540.7","0.0007135"
"0.275","553.4","2.424","555.8","0.0007591"
"0.3","567","2.284","569.3","0.0008035"
"0.35","589.8","2.052","591.9","0.0008896"
"0.4","607.6","1.849","609.5","0.0009728"
"0.45","621.2","1.7","622.9","0.001054"
"0.5","631.2","1.576","632.8","0.001133"
"0.55","638.2","1.47","639.7","0.001212"
"0.6","642.7","1.378","644.1","0.00129"
"0.65","645","1.299","646.3","0.001367"
"0.7","645.4","1.229","646.6","0.001445"
"0.75","644.3","1.167","645.5","0.001522"
"0.8","642","1.111","643.1","0.0016"
"0.85","638.6","1.061","639.6","0.001678"
"0.9","634.3","1.016","635.3","0.001756"
"0.95","629.3","0.9746","630.3","0.001835"
"1","623.8","0.9369","624.7","0.001915"
"1.25","591.4","0.7879","592.2","0.002326"
"1.5","557.3","0.6827","558","0.00276"
"1.75","525.2","0.6041","525.8","0.003222"
"2","496.4","0.543","497","0.003711"
"2.25","470.9","0.4939","471.4","0.004228"
"2.5","448.4","0.4536","448.8","0.004772"
"2.75","428.4","0.4198","428.8","0.005342"
"3","410.6","0.3911","411","0.005938"
"3.5","380.1","0.3447","380.5","0.007203"
"4","354.9","0.3088","355.2","0.008565"
"4.5","333.6","0.2801","333.8","0.01002"
"5","315.2","0.2566","315.4","0.01156"
"5.5","299.1","0.237","299.3","0.01319"
"6","284.9","0.2204","285.1","0.0149"
"6.5","272.1","0.2061","272.3","0.01669"
"7","260.7","0.1936","260.9","0.01857"
"7.5","250.3","0.1827","250.5","0.02053"
"8","240.8","0.173","241","0.02256"
"8.5","232.1","0.1644","232.3","0.02468"
"9","224.1","0.1566","224.3","0.02687"
"9.5","216.7","0.1496","216.9","0.02914"
"10","209.8","0.1432","210","0.03148"
