"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","29.51","27.91","57.42","2.56E-05"
"0.0015","36.49","28.78","65.27","3.37E-05"
"0.002","42.42","28.96","71.38","4.102E-05"
"0.0025","47.68","28.83","76.51","4.778E-05"
"0.003","52.45","28.54","80.99","5.412E-05"
"0.004","60.98","27.76","88.74","6.59E-05"
"0.005","68.54","26.89","95.43","7.676E-05"
"0.006","75.4","26.04","101.4","8.691E-05"
"0.007","81.74","25.21","106.9","9.651E-05"
"0.008","87.65","24.44","112.1","0.0001056"
"0.009","93.23","23.71","116.9","0.0001144"
"0.01","98.51","23.03","121.5","0.0001228"
"0.0125","110.7","21.5","132.2","0.0001425"
"0.015","121.8","20.2","142","0.0001607"
"0.0175","132","19.07","151.1","0.0001778"
"0.02","141.6","18.09","159.6","0.0001938"
"0.0225","150.5","17.21","167.7","0.0002091"
"0.025","159","16.44","175.5","0.0002237"
"0.0275","167.2","15.74","182.9","0.0002376"
"0.03","174.9","15.11","190","0.000251"
"0.035","189.5","14.01","203.6","0.0002765"
"0.04","203.2","13.08","216.3","0.0003003"
"0.045","216","12.29","228.3","0.0003228"
"0.05","228.1","11.6","239.7","0.0003441"
"0.055","239.7","10.99","250.7","0.0003645"
"0.06","250.7","10.45","261.2","0.0003841"
"0.065","261.3","9.973","271.2","0.0004029"
"0.07","271.4","9.541","281","0.000421"
"0.075","281.2","9.15","290.4","0.0004385"
"0.08","290.7","8.793","299.5","0.0004554"
"0.085","299.8","8.468","308.3","0.0004719"
"0.09","308.7","8.168","316.8","0.0004879"
"0.095","317.2","7.892","325.1","0.0005034"
"0.1","325.6","7.636","333.2","0.0005186"
"0.125","364.2","6.593","370.8","0.0005897"
"0.15","398.4","5.826","404.2","0.0006542"
"0.175","429.1","5.234","434.3","0.0007138"
"0.2","456.8","4.762","461.6","0.0007696"
"0.225","482.1","4.376","486.5","0.0008223"
"0.25","505.1","4.053","509.2","0.0008725"
"0.275","526.2","3.779","530","0.0009206"
"0.3","545.4","3.543","548.9","0.000967"
"0.35","579","3.157","582.2","0.001055"
"0.4","607","2.853","609.8","0.001139"
"0.45","630.1","2.607","632.7","0.00122"
"0.5","649.1","2.403","651.5","0.001297"
"0.55","664.4","2.231","666.6","0.001373"
"0.6","676.6","2.085","678.7","0.001448"
"0.65","686.2","1.957","688.1","0.001521"
"0.7","693.4","1.846","695.3","0.001593"
"0.75","698.8","1.748","700.5","0.001665"
"0.8","702.4","1.66","704.1","0.001736"
"0.85","704.6","1.582","706.2","0.001807"
"0.9","705.7","1.511","707.2","0.001877"
"0.95","705.7","1.446","707.2","0.001948"
"1","704.9","1.388","706.3","0.002019"
"1.25","692.5","1.158","693.6","0.002376"
"1.5","672.6","0.9973","673.6","0.002741"
"1.75","650.3","0.8782","651.2","0.003118"
"2","627.6","0.7861","628.3","0.003509"
"2.25","606","0.7127","606.7","0.003914"
"2.5","585.6","0.6525","586.3","0.004334"
"2.75","566.3","0.6024","566.9","0.004767"
"3","548","0.5598","548.5","0.005216"
"3.5","514","0.4915","514.5","0.006157"
"4","483.4","0.4388","483.8","0.00716"
"4.5","455.8","0.397","456.2","0.008224"
"5","431","0.3628","431.3","0.009352"
"5.5","408.4","0.3344","408.8","0.01054"
"6","388","0.3103","388.3","0.0118"
"6.5","369.6","0.2897","369.9","0.01312"
"7","353.7","0.2718","353.9","0.0145"
"7.5","339.1","0.2561","339.4","0.01594"
"8","325.7","0.2422","326","0.01745"
"8.5","313.4","0.2298","313.6","0.01901"
"9","302","0.2187","302.2","0.02064"
"9.5","291.7","0.2087","291.9","0.02232"
"10","282.3","0.1996","282.5","0.02406"
