"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","48.59","102.6","151.2","5.627E-06"
"0.0015","60.27","97.63","157.9","8.859E-06"
"0.002","70.21","92.39","162.6","1.198E-05"
"0.0025","79.04","87.51","166.6","1.502E-05"
"0.003","87.08","83.08","170.2","1.798E-05"
"0.004","101.5","75.53","177","2.375E-05"
"0.005","114.2","69.39","183.6","2.929E-05"
"0.006","125.8","64.3","190.1","3.464E-05"
"0.007","136.5","60.01","196.6","3.982E-05"
"0.008","146.6","56.35","202.9","4.482E-05"
"0.009","156","53.17","209.2","4.968E-05"
"0.01","165","50.39","215.4","5.439E-05"
"0.0125","185.7","44.73","230.5","6.56E-05"
"0.015","204.6","40.37","245","7.612E-05"
"0.0175","222","36.89","258.9","8.604E-05"
"0.02","238.3","34.04","272.4","9.546E-05"
"0.0225","253.7","31.65","285.3","0.0001044"
"0.025","268.2","29.62","297.9","0.000113"
"0.0275","282.1","27.87","310","0.0001212"
"0.03","295.4","26.34","321.8","0.0001291"
"0.035","320.5","23.78","344.3","0.0001442"
"0.04","344","21.74","365.7","0.0001582"
"0.045","366","20.05","386.1","0.0001715"
"0.05","386.9","18.63","405.6","0.0001842"
"0.055","406.8","17.43","424.2","0.0001962"
"0.06","425.9","16.23","442.1","0.0002078"
"0.065","444.1","15.33","459.4","0.0002189"
"0.07","461.7","14.53","476.2","0.0002295"
"0.075","478.7","13.82","492.5","0.0002399"
"0.08","495","13.19","508.2","0.0002499"
"0.085","510.9","12.61","523.5","0.0002596"
"0.09","526.3","12.09","538.4","0.000269"
"0.095","541.3","11.61","552.9","0.0002781"
"0.1","555.8","11.18","567","0.0002871"
"0.125","623.3","9.446","632.8","0.0003288"
"0.15","683.6","8.214","691.8","0.0003665"
"0.175","738.2","7.289","745.5","0.0004013"
"0.2","787.9","6.566","794.5","0.0004337"
"0.225","833.6","5.984","839.6","0.0004643"
"0.25","875.7","5.504","881.2","0.0004934"
"0.275","914.6","5.102","919.7","0.0005211"
"0.3","950.6","4.758","955.3","0.0005478"
"0.35","1015","4.203","1019","0.0005984"
"0.4","1069","3.772","1073","0.0006462"
"0.45","1116","3.426","1120","0.0006918"
"0.5","1156","3.143","1159","0.0007357"
"0.55","1189","2.906","1191","0.0007782"
"0.6","1216","2.705","1218","0.0008197"
"0.65","1238","2.531","1240","0.0008604"
"0.7","1255","2.381","1258","0.0009004"
"0.75","1268","2.248","1271","0.0009399"
"0.8","1278","2.13","1280","0.0009791"
"0.85","1284","2.025","1286","0.001018"
"0.9","1287","1.93","1289","0.001057"
"0.95","1288","1.845","1290","0.001096"
"1","1287","1.767","1288","0.001134"
"1.25","1255","1.464","1256","0.001331"
"1.5","1200","1.254","1201","0.001534"
"1.75","1137","1.1","1138","0.001748"
"2","1074","0.9811","1075","0.001974"
"2.25","1015","0.8869","1016","0.002213"
"2.5","961.2","0.8101","962.1","0.002466"
"2.75","912.5","0.7462","913.2","0.002733"
"3","868.6","0.6922","869.3","0.003013"
"3.5","793.7","0.6057","794.3","0.003616"
"4","732.4","0.5394","733","0.004272"
"4.5","681.5","0.4869","682","0.00498"
"5","638.6","0.4441","639","0.005737"
"5.5","601.7","0.4086","602.1","0.006544"
"6","569.6","0.3787","570","0.007398"
"6.5","541.4","0.353","541.7","0.008298"
"7","516.3","0.3308","516.6","0.009244"
"7.5","493.8","0.3113","494.1","0.01023"
"8","473.5","0.2941","473.8","0.01127"
"8.5","455.1","0.2788","455.4","0.01234"
"9","438.2","0.2651","438.5","0.01346"
"9.5","422.8","0.2528","423","0.01462"
"10","408.5","0.2416","408.8","0.01583"
