"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","27.84","4.77","32.61","5.746E-05"
"0.0015","33.57","5.239","38.8","7.148E-05"
"0.002","38.33","5.539","43.87","8.357E-05"
"0.0025","42.48","5.745","48.23","9.442E-05"
"0.003","46.21","5.891","52.1","0.0001044"
"0.004","52.77","6.076","58.84","0.0001224"
"0.005","58.49","6.173","64.66","0.0001386"
"0.006","63.62","6.22","69.84","0.0001535"
"0.007","68.31","6.233","74.54","0.0001673"
"0.008","72.64","6.225","78.87","0.0001803"
"0.009","76.7","6.202","82.9","0.0001927"
"0.01","80.52","6.169","86.69","0.0002045"
"0.0125","89.24","6.058","95.3","0.000232"
"0.015","97.06","5.928","103","0.0002572"
"0.0175","104.2","5.79","110","0.0002807"
"0.02","110.8","5.652","116.5","0.0003027"
"0.0225","117","5.516","122.5","0.0003237"
"0.025","122.8","5.385","128.2","0.0003436"
"0.0275","128.3","5.258","133.6","0.0003627"
"0.03","133.5","5.137","138.7","0.0003811"
"0.035","143.3","4.911","148.2","0.0004159"
"0.04","152.4","4.705","157.1","0.0004487"
"0.045","160.8","4.517","165.3","0.0004797"
"0.05","168.8","4.346","173.1","0.0005092"
"0.055","176.3","4.189","180.5","0.0005375"
"0.06","183.4","4.045","187.4","0.0005647"
"0.065","190.2","3.912","194.1","0.0005909"
"0.07","196.7","3.788","200.5","0.0006163"
"0.075","202.9","3.674","206.6","0.0006408"
"0.08","209","3.568","212.5","0.0006647"
"0.085","214.7","3.468","218.2","0.0006879"
"0.09","220.3","3.375","223.7","0.0007105"
"0.095","225.7","3.288","229","0.0007326"
"0.1","231","3.205","234.2","0.0007542"
"0.125","255","2.857","257.9","0.0008558"
"0.15","276.1","2.587","278.7","0.000949"
"0.175","295","2.37","297.3","0.001036"
"0.2","311.9","2.192","314.1","0.001118"
"0.225","327.2","2.042","329.3","0.001195"
"0.25","341.2","1.914","343.1","0.00127"
"0.275","353.9","1.803","355.7","0.001341"
"0.3","365.5","1.706","367.2","0.00141"
"0.35","385.8","1.544","387.3","0.001543"
"0.4","402.5","1.413","404","0.001669"
"0.45","416.3","1.305","417.6","0.001791"
"0.5","427.5","1.214","428.7","0.001909"
"0.55","436.4","1.137","437.5","0.002024"
"0.6","443.2","1.07","444.3","0.002138"
"0.65","448.2","1.001","449.2","0.002249"
"0.7","451.6","0.95","452.6","0.00236"
"0.75","453.7","0.9042","454.6","0.002471"
"0.8","454.5","0.8631","455.4","0.00258"
"0.85","454.3","0.826","455.2","0.00269"
"0.9","453.2","0.7922","454","0.0028"
"0.95","451.4","0.7614","452.1","0.00291"
"1","448.9","0.7332","449.6","0.003021"
"1.25","430","0.6207","430.7","0.003589"
"1.5","406.5","0.5404","407.1","0.004186"
"1.75","383","0.4801","383.4","0.004818"
"2","361.2","0.4328","361.6","0.00549"
"2.25","341.7","0.3947","342.1","0.006201"
"2.5","324.5","0.3633","324.9","0.006951"
"2.75","309.5","0.3369","309.8","0.00774"
"3","296.2","0.3144","296.5","0.008565"
"3.5","273.9","0.2779","274.2","0.01032"
"4","256","0.2495","256.2","0.01221"
"4.5","241.1","0.2268","241.3","0.01422"
"5","228.5","0.2082","228.7","0.01635"
"5.5","217.5","0.1926","217.7","0.01859"
"6","207.9","0.1793","208.1","0.02094"
"6.5","199.4","0.1678","199.6","0.0234"
"7","191.7","0.1579","191.9","0.02595"
"7.5","184.8","0.1491","184.9","0.02861"
"8","178.4","0.1413","178.6","0.03136"
"8.5","172.6","0.1344","172.7","0.03421"
"9","167.2","0.1281","167.4","0.03715"
"9.5","162.3","0.1225","162.4","0.04018"
"10","157.6","0.1173","157.7","0.04331"
