"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","14.8","10.86","25.66","6.334E-05"
"0.0015","19.27","11.63","30.9","8.105E-05"
"0.002","23.25","12.05","35.3","9.615E-05"
"0.0025","26.89","12.3","39.19","0.0001096"
"0.003","30.28","12.43","42.72","0.0001218"
"0.004","36.53","12.52","49.05","0.0001436"
"0.005","42.25","12.47","54.72","0.0001629"
"0.006","47.58","12.35","59.93","0.0001803"
"0.007","52.61","12.19","64.8","0.0001963"
"0.008","57.39","12.01","69.4","0.0002113"
"0.009","61.97","11.82","73.79","0.0002252"
"0.01","66.37","11.63","78","0.0002384"
"0.0125","76.76","11.15","87.9","0.0002686"
"0.015","86.43","10.69","97.12","0.0002956"
"0.0175","95.56","10.26","105.8","0.0003202"
"0.02","104.2","9.861","114.1","0.000343"
"0.0225","112.5","9.497","122","0.0003642"
"0.025","120.5","9.161","129.7","0.000384"
"0.0275","128.2","8.852","137.1","0.0004028"
"0.03","135.7","8.565","144.2","0.0004205"
"0.035","149.9","8.052","158","0.0004536"
"0.04","163.5","7.606","171.1","0.000484"
"0.045","176.4","7.214","183.6","0.0005122"
"0.05","188.8","6.867","195.7","0.0005386"
"0.055","200.8","6.557","207.3","0.0005634"
"0.06","212.3","6.279","218.6","0.0005869"
"0.065","223.5","6.027","229.5","0.0006092"
"0.07","234.3","5.798","240.1","0.0006305"
"0.075","244.9","5.588","250.4","0.0006509"
"0.08","255.1","5.395","260.5","0.0006705"
"0.085","265.1","5.217","270.3","0.0006893"
"0.09","274.8","5.053","279.8","0.0007075"
"0.095","284.2","4.9","289.1","0.0007251"
"0.1","293.5","4.758","298.2","0.0007421"
"0.125","336.7","4.169","340.8","0.0008204"
"0.15","375.4","3.726","379.1","0.0008898"
"0.175","410.2","3.379","413.6","0.0009529"
"0.2","441.5","3.098","444.6","0.001011"
"0.225","469.5","2.865","472.3","0.001066"
"0.25","494.4","2.67","497.1","0.001117"
"0.275","516.5","2.502","519","0.001166"
"0.3","535.9","2.356","538.3","0.001214"
"0.35","567.4","2.115","569.5","0.001304"
"0.4","590.3","1.906","592.3","0.00139"
"0.45","606.1","1.752","607.9","0.001473"
"0.5","616","1.623","617.6","0.001555"
"0.55","621.2","1.513","622.8","0.001635"
"0.6","622.9","1.419","624.3","0.001715"
"0.65","621.7","1.337","623","0.001796"
"0.7","618.5","1.264","619.8","0.001876"
"0.75","613.9","1.2","615.1","0.001957"
"0.8","608.2","1.143","609.4","0.002039"
"0.85","601.9","1.091","603","0.002121"
"0.9","595.1","1.045","596.1","0.002205"
"0.95","588","1.002","589","0.002289"
"1","580.9","0.9633","581.8","0.002374"
"1.25","546.1","0.8097","546.9","0.002818"
"1.5","515.4","0.7014","516.1","0.003288"
"1.75","489","0.6205","489.6","0.003786"
"2","466.1","0.5576","466.7","0.004309"
"2.25","445.9","0.5071","446.4","0.004857"
"2.5","428","0.4656","428.4","0.005429"
"2.75","411.7","0.4309","412.2","0.006024"
"3","397","0.4013","397.4","0.006642"
"3.5","371","0.3536","371.4","0.007944"
"4","348.8","0.3168","349.1","0.009334"
"4.5","329.4","0.2873","329.7","0.01081"
"5","312.4","0.2632","312.6","0.01237"
"5.5","297.2","0.2431","297.4","0.01401"
"6","283.6","0.226","283.8","0.01573"
"6.5","271.4","0.2113","271.6","0.01753"
"7","260.3","0.1985","260.5","0.01941"
"7.5","250.1","0.1873","250.3","0.02137"
"8","240.9","0.1774","241.1","0.0234"
"8.5","232.3","0.1685","232.5","0.02552"
"9","224.5","0.1605","224.6","0.0277"
"9.5","217.2","0.1533","217.3","0.02997"
"10","210.4","0.1468","210.5","0.03231"
