"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","131.8","51.31","183.1","6.012E-06"
"0.0015","153.8","51.57","205.4","8.585E-06"
"0.002","171.7","50.88","222.5","1.092E-05"
"0.0025","186.9","49.83","236.7","1.31E-05"
"0.003","200.4","48.65","249","1.515E-05"
"0.004","223.6","46.21","269.8","1.901E-05"
"0.005","243.5","43.89","287.4","2.259E-05"
"0.006","261","41.77","302.8","2.598E-05"
"0.007","276.9","39.85","316.7","2.921E-05"
"0.008","291.3","38.12","329.4","3.23E-05"
"0.009","304.7","36.54","341.2","3.529E-05"
"0.01","317.2","35.11","352.3","3.817E-05"
"0.0125","345.3","32.04","377.4","4.502E-05"
"0.015","370.2","29.54","399.7","5.145E-05"
"0.0175","392.5","27.46","420","5.755E-05"
"0.02","413","25.69","438.7","6.337E-05"
"0.0225","431.9","24.18","456.1","6.896E-05"
"0.025","449.5","22.85","472.4","7.435E-05"
"0.0275","466.1","21.69","487.8","7.955E-05"
"0.03","481.7","20.66","502.3","8.46E-05"
"0.035","510.6","18.9","529.5","9.429E-05"
"0.04","537","17.46","554.5","0.0001035"
"0.045","561.4","16.25","577.6","0.0001123"
"0.05","584.1","15.22","599.3","0.0001208"
"0.055","605.3","14.33","619.6","0.000129"
"0.06","625.3","13.55","638.8","0.000137"
"0.065","644.2","12.86","657.1","0.0001447"
"0.07","662.2","12.25","674.4","0.0001522"
"0.075","679.3","11.7","691","0.0001595"
"0.08","695.7","11.2","706.9","0.0001667"
"0.085","711.3","10.75","722.1","0.0001737"
"0.09","726.4","10.34","736.7","0.0001806"
"0.095","740.8","9.962","750.8","0.0001873"
"0.1","754.8","9.614","764.4","0.0001939"
"0.125","817.6","8.142","825.7","0.0002253"
"0.15","871.4","7.145","878.5","0.0002546"
"0.175","918.2","6.386","924.6","0.0002824"
"0.2","959.4","5.786","965.2","0.0003088"
"0.225","995.9","5.298","1001","0.0003342"
"0.25","1028","4.893","1033","0.0003588"
"0.275","1057","4.551","1062","0.0003827"
"0.3","1083","4.258","1087","0.0004059"
"0.35","1127","3.78","1131","0.000451"
"0.4","1161","3.407","1165","0.0004945"
"0.45","1188","3.106","1191","0.0005369"
"0.5","1208","2.858","1211","0.0005786"
"0.55","1223","2.65","1225","0.0006196"
"0.6","1232","2.472","1235","0.0006602"
"0.65","1238","2.318","1240","0.0007006"
"0.7","1240","2.184","1242","0.0007409"
"0.75","1239","2.066","1241","0.0007812"
"0.8","1235","1.96","1237","0.0008215"
"0.85","1229","1.866","1231","0.000862"
"0.9","1221","1.781","1223","0.0009028"
"0.95","1212","1.705","1214","0.0009438"
"1","1202","1.635","1203","0.0009852"
"1.25","1137","1.361","1138","0.001199"
"1.5","1065","1.17","1066","0.001425"
"1.75","995.4","1.029","996.4","0.001668"
"2","931.9","0.9201","932.8","0.001927"
"2.25","875.4","0.8334","876.2","0.002204"
"2.5","825.6","0.7625","826.4","0.002498"
"2.75","781.9","0.7035","782.6","0.002809"
"3","743.4","0.6535","744.1","0.003137"
"3.5","679.1","0.5732","679.6","0.003841"
"4","627.5","0.5114","628","0.004607"
"4.5","585.1","0.4624","585.6","0.005432"
"5","549.6","0.4224","550","0.006314"
"5.5","519.2","0.3891","519.6","0.00725"
"6","492.8","0.361","493.2","0.008238"
"6.5","469.6","0.3369","470","0.009277"
"7","449","0.316","449.3","0.01037"
"7.5","430.5","0.2976","430.8","0.0115"
"8","413.7","0.2814","414","0.01269"
"8.5","398.5","0.267","398.8","0.01392"
"9","384.6","0.254","384.8","0.01519"
"9.5","371.7","0.2424","372","0.01652"
"10","359.9","0.2318","360.1","0.01788"
