"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","10.15","19.01","29.17","4.89E-05"
"0.0015","13.69","19.88","33.57","6.476E-05"
"0.002","16.93","20.22","37.15","7.89E-05"
"0.0025","19.96","20.3","40.26","9.181E-05"
"0.003","22.84","20.25","43.08","0.0001038"
"0.004","28.23","19.93","48.16","0.0001257"
"0.005","33.29","19.49","52.77","0.0001455"
"0.006","38.08","19.01","57.09","0.0001638"
"0.007","42.66","18.53","61.19","0.0001807"
"0.008","47.08","18.06","65.14","0.0001965"
"0.009","51.35","17.61","68.96","0.0002114"
"0.01","55.5","17.18","72.68","0.0002255"
"0.0125","65.43","16.19","81.62","0.000258"
"0.015","74.84","15.33","90.17","0.0002871"
"0.0175","83.85","14.57","98.41","0.0003136"
"0.02","92.52","13.89","106.4","0.000338"
"0.0225","100.9","13.28","114.2","0.0003607"
"0.025","109.1","12.74","121.8","0.0003819"
"0.0275","117","12.24","129.2","0.0004018"
"0.03","124.7","11.79","136.5","0.0004206"
"0.035","139.7","11","150.7","0.0004555"
"0.04","154.1","10.32","164.4","0.0004872"
"0.045","168","9.736","177.7","0.0005165"
"0.05","181.5","9.223","190.7","0.0005436"
"0.055","194.6","8.77","203.4","0.000569"
"0.06","207.4","8.366","215.8","0.0005928"
"0.065","219.9","8.003","227.9","0.0006154"
"0.07","232.1","7.674","239.7","0.0006368"
"0.075","244","7.375","251.4","0.0006571"
"0.08","255.7","7.102","262.8","0.0006766"
"0.085","267.2","6.851","274","0.0006952"
"0.09","278.4","6.62","285","0.0007131"
"0.095","289.5","6.406","295.9","0.0007303"
"0.1","300.3","6.207","306.5","0.0007469"
"0.125","351.9","5.391","357.3","0.0008223"
"0.15","399.6","4.785","404.3","0.000888"
"0.175","443.7","4.314","448","0.0009467"
"0.2","484.4","3.936","488.4","0.001"
"0.225","522.1","3.626","525.7","0.001049"
"0.25","556.7","3.365","560.1","0.001095"
"0.275","588.4","3.143","591.5","0.001139"
"0.3","617.2","2.951","620.1","0.00118"
"0.35","666.6","2.636","669.2","0.001258"
"0.4","705.7","2.387","708.1","0.00133"
"0.45","735.5","2.185","737.7","0.001399"
"0.5","757","2.017","759","0.001466"
"0.55","771.4","1.875","773.3","0.001531"
"0.6","779.9","1.754","781.6","0.001595"
"0.65","783.4","1.648","785","0.001659"
"0.7","783","1.556","784.5","0.001723"
"0.75","779.4","1.474","780.9","0.001787"
"0.8","773.6","1.401","775","0.001851"
"0.85","765.9","1.336","767.2","0.001916"
"0.9","757","1.277","758.3","0.001981"
"0.95","747.2","1.223","748.4","0.002048"
"1","736.9","1.174","738.1","0.002115"
"1.25","683.7","0.9817","684.6","0.002467"
"1.5","635.6","0.8468","636.5","0.002846"
"1.75","595.2","0.7467","596","0.003252"
"2","561.5","0.6691","562.2","0.003684"
"2.25","533","0.607","533.6","0.004141"
"2.5","508.6","0.5562","509.2","0.004621"
"2.75","487.3","0.5138","487.8","0.005123"
"3","468.5","0.4778","468.9","0.005646"
"3.5","439.9","0.4199","440.3","0.006748"
"4","417.9","0.3752","418.2","0.007914"
"4.5","398.8","0.3396","399.2","0.009138"
"5","381.4","0.3106","381.7","0.01042"
"5.5","364.9","0.2864","365.2","0.01176"
"6","349.2","0.2659","349.5","0.01316"
"6.5","334.2","0.2483","334.4","0.01462"
"7","319.8","0.233","320.1","0.01615"
"7.5","306.2","0.2196","306.4","0.01775"
"8","293.7","0.2078","293.9","0.01941"
"8.5","282.8","0.1972","283","0.02115"
"9","272.8","0.1877","273","0.02295"
"9.5","263.6","0.1792","263.8","0.02481"
"10","255.2","0.1714","255.3","0.02674"
