"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","22.6","6.875","29.48","5.958E-05"
"0.0015","27.52","7.475","35","7.51E-05"
"0.002","31.65","7.841","39.49","8.852E-05"
"0.0025","35.28","8.081","43.36","0.0001006"
"0.003","38.54","8.241","46.78","0.0001117"
"0.004","44.32","8.42","52.74","0.0001318"
"0.005","49.4","8.489","57.89","0.0001498"
"0.006","53.97","8.495","62.46","0.0001665"
"0.007","58.17","8.463","66.63","0.0001819"
"0.008","62.06","8.406","70.47","0.0001965"
"0.009","65.72","8.335","74.05","0.0002104"
"0.01","69.16","8.253","77.42","0.0002236"
"0.0125","77.08","8.026","85.1","0.0002543"
"0.015","84.21","7.788","91.99","0.0002826"
"0.0175","90.75","7.553","98.3","0.0003088"
"0.02","96.82","7.327","104.1","0.0003335"
"0.0225","102.5","7.112","109.6","0.0003569"
"0.025","107.9","6.908","114.8","0.0003792"
"0.0275","113","6.716","119.7","0.0004005"
"0.03","117.8","6.535","124.4","0.000421"
"0.035","126.9","6.203","133.1","0.0004599"
"0.04","135.4","5.908","141.3","0.0004963"
"0.045","143.3","5.643","148.9","0.0005307"
"0.05","150.8","5.404","156.2","0.0005635"
"0.055","157.8","5.188","163","0.0005949"
"0.06","164.5","4.991","169.5","0.0006249"
"0.065","171","4.811","175.8","0.0006539"
"0.07","177.1","4.646","181.8","0.0006818"
"0.075","183","4.494","187.5","0.0007089"
"0.08","188.7","4.353","193.1","0.0007352"
"0.085","194.2","4.222","198.5","0.0007607"
"0.09","199.6","4.1","203.7","0.0007856"
"0.095","204.7","3.986","208.7","0.0008099"
"0.1","209.7","3.879","213.6","0.0008335"
"0.125","232.6","3.432","236.1","0.0009447"
"0.15","252.8","3.09","255.9","0.001046"
"0.175","270.8","2.818","273.6","0.001141"
"0.2","286.9","2.596","289.5","0.00123"
"0.225","301.5","2.411","303.9","0.001314"
"0.25","314.7","2.254","316.9","0.001394"
"0.275","326.6","2.118","328.8","0.001472"
"0.3","337.5","2","339.5","0.001547"
"0.35","356.1","1.804","357.9","0.00169"
"0.4","371.3","1.647","372.9","0.001827"
"0.45","383.5","1.517","385","0.001958"
"0.5","393","1.409","394.4","0.002087"
"0.55","400.4","1.304","401.7","0.002212"
"0.6","405.8","1.226","407.1","0.002336"
"0.65","409.7","1.157","410.8","0.002458"
"0.7","412.2","1.096","413.3","0.002579"
"0.75","413.5","1.042","414.5","0.0027"
"0.8","413.9","0.9937","414.9","0.002821"
"0.85","413.5","0.95","414.5","0.002941"
"0.9","412.5","0.9104","413.4","0.003062"
"0.95","411","0.8742","411.8","0.003183"
"1","409","0.8411","409.9","0.003305"
"1.25","395.8","0.7098","396.5","0.003925"
"1.5","380.5","0.6167","381.1","0.004568"
"1.75","365.7","0.5468","366.2","0.005237"
"2","351.9","0.4922","352.4","0.005933"
"2.25","339.4","0.4484","339.8","0.006656"
"2.5","327.9","0.4123","328.3","0.007404"
"2.75","317.4","0.382","317.8","0.008178"
"3","307.7","0.3561","308.1","0.008977"
"3.5","290.4","0.3144","290.7","0.01065"
"4","275.3","0.282","275.6","0.01242"
"4.5","262","0.2561","262.2","0.01428"
"5","250","0.2348","250.3","0.01623"
"5.5","239.3","0.217","239.5","0.01827"
"6","229.5","0.202","229.7","0.0204"
"6.5","220.6","0.189","220.8","0.02263"
"7","212.4","0.1777","212.6","0.02493"
"7.5","204.9","0.1677","205","0.02733"
"8","197.9","0.1589","198.1","0.02981"
"8.5","191.5","0.151","191.6","0.03238"
"9","185.5","0.144","185.6","0.03503"
"9.5","179.9","0.1376","180","0.03777"
"10","174.6","0.1317","174.8","0.04058"
