"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","106.5","84.98","191.5","4.792E-06"
"0.0015","128.9","82.64","211.5","7.272E-06"
"0.002","147.6","79.5","227.1","9.55E-06"
"0.0025","163.9","76.28","240.2","1.169E-05"
"0.003","178.5","73.2","251.7","1.372E-05"
"0.004","204.4","67.66","272","1.754E-05"
"0.005","227","62.93","289.9","2.11E-05"
"0.006","247.2","58.89","306.1","2.445E-05"
"0.007","265.8","55.4","321.2","2.764E-05"
"0.008","283","52.37","335.4","3.069E-05"
"0.009","299.1","49.7","348.8","3.361E-05"
"0.01","314.2","47.33","361.6","3.642E-05"
"0.0125","348.9","42.42","391.3","4.307E-05"
"0.015","380","38.57","418.5","4.924E-05"
"0.0175","408.4","35.46","443.8","5.504E-05"
"0.02","434.6","32.88","467.5","6.052E-05"
"0.0225","459.2","30.7","489.9","6.575E-05"
"0.025","482.3","28.83","511.1","7.074E-05"
"0.0275","504.1","27.21","531.3","7.554E-05"
"0.03","524.9","25.78","550.7","8.016E-05"
"0.035","563.7","23.39","587.1","8.895E-05"
"0.04","599.4","21.45","620.9","9.723E-05"
"0.045","632.6","19.85","652.5","0.0001051"
"0.05","663.7","18.5","682.2","0.0001126"
"0.055","693","17.34","710.4","0.0001198"
"0.06","720.7","16.33","737","0.0001267"
"0.065","746.9","15.45","762.4","0.0001333"
"0.07","771.9","14.67","786.6","0.0001398"
"0.075","795.7","13.97","809.7","0.000146"
"0.08","818.5","13.22","831.7","0.0001521"
"0.085","840.2","12.66","852.9","0.0001581"
"0.09","861.1","12.15","873.3","0.0001639"
"0.095","881.1","11.69","892.8","0.0001695"
"0.1","900.4","11.26","911.6","0.0001751"
"0.125","986.2","9.554","995.7","0.0002013"
"0.15","1058","8.334","1066","0.0002255"
"0.175","1117","7.413","1125","0.0002483"
"0.2","1168","6.691","1174","0.0002701"
"0.225","1209","6.108","1216","0.000291"
"0.25","1244","5.626","1250","0.0003113"
"0.275","1273","5.221","1279","0.000331"
"0.3","1297","4.875","1302","0.0003504"
"0.35","1332","4.313","1337","0.0003883"
"0.4","1354","3.876","1358","0.0004253"
"0.45","1367","3.526","1370","0.000462"
"0.5","1372","3.238","1375","0.0004984"
"0.55","1372","2.996","1375","0.0005347"
"0.6","1368","2.791","1371","0.0005711"
"0.65","1362","2.614","1365","0.0006077"
"0.7","1354","2.46","1356","0.0006444"
"0.75","1344","2.324","1346","0.0006814"
"0.8","1332","2.203","1335","0.0007187"
"0.85","1321","2.096","1323","0.0007564"
"0.9","1308","1.999","1310","0.0007944"
"0.95","1295","1.911","1297","0.0008327"
"1","1282","1.831","1284","0.0008715"
"1.25","1214","1.519","1216","0.001072"
"1.5","1149","1.303","1150","0.001283"
"1.75","1088","1.144","1089","0.001506"
"2","1032","1.022","1033","0.001742"
"2.25","980.9","0.9241","981.8","0.00199"
"2.5","934.2","0.8446","935.1","0.002251"
"2.75","891.6","0.7785","892.4","0.002525"
"3","852.7","0.7225","853.4","0.002812"
"3.5","784.3","0.6327","784.9","0.003423"
"4","726.2","0.5639","726.8","0.004086"
"4.5","676.4","0.5092","677","0.004799"
"5","633.4","0.4648","633.8","0.005563"
"5.5","595.7","0.4278","596.1","0.006377"
"6","562.5","0.3966","562.9","0.00724"
"6.5","533","0.3699","533.4","0.008153"
"7","506.6","0.3467","507","0.009115"
"7.5","482.9","0.3264","483.2","0.01013"
"8","461.5","0.3085","461.8","0.01118"
"8.5","442","0.2925","442.2","0.01229"
"9","424.1","0.2782","424.4","0.01345"
"9.5","407.8","0.2653","408.1","0.01465"
"10","392.8","0.2536","393","0.0159"
