"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","62.9","33.12","96.02","1.32E-05"
"0.0015","75.46","33.9","109.4","1.806E-05"
"0.002","85.87","33.93","119.8","2.242E-05"
"0.0025","94.92","33.62","128.5","2.645E-05"
"0.003","103","33.15","136.2","3.022E-05"
"0.004","117.2","32","149.2","3.723E-05"
"0.005","129.6","30.8","160.4","4.369E-05"
"0.006","140.6","29.62","170.3","4.973E-05"
"0.007","150.7","28.51","179.2","5.545E-05"
"0.008","160","27.48","187.5","6.091E-05"
"0.009","168.7","26.52","195.2","6.613E-05"
"0.01","176.9","25.63","202.5","7.116E-05"
"0.0125","195.5","23.68","219.2","8.301E-05"
"0.015","212.2","22.03","234.2","9.404E-05"
"0.0175","227.4","20.64","248","0.0001044"
"0.02","241.4","19.43","260.8","0.0001142"
"0.0225","254.5","18.38","272.8","0.0001236"
"0.025","266.7","17.46","284.2","0.0001326"
"0.0275","278.4","16.64","295","0.0001412"
"0.03","289.4","15.9","305.3","0.0001495"
"0.035","310","14.64","324.7","0.0001654"
"0.04","329","13.59","342.6","0.0001804"
"0.045","346.7","12.7","359.4","0.0001946"
"0.05","363.3","11.94","375.3","0.0002083"
"0.055","379","11.27","390.3","0.0002213"
"0.06","393.9","10.69","404.6","0.0002339"
"0.065","408","10.17","418.2","0.000246"
"0.07","421.6","9.707","431.3","0.0002578"
"0.075","434.5","9.289","443.8","0.0002692"
"0.08","447","8.911","455.9","0.0002804"
"0.085","458.9","8.567","467.5","0.0002912"
"0.09","470.5","8.251","478.7","0.0003018"
"0.095","481.7","7.961","489.6","0.0003121"
"0.1","492.5","7.694","500.1","0.0003222"
"0.125","541.8","6.612","548.4","0.0003699"
"0.15","584.8","5.824","590.7","0.0004138"
"0.175","623","5.173","628.2","0.0004548"
"0.2","657.1","4.7","661.8","0.0004935"
"0.225","687.9","4.314","692.2","0.0005304"
"0.25","715.6","3.992","719.6","0.0005658"
"0.275","740.8","3.719","744.5","0.0006"
"0.3","763.7","3.485","767.2","0.0006331"
"0.35","803.2","3.101","806.3","0.0006966"
"0.4","835.7","2.801","838.5","0.0007573"
"0.45","862.1","2.558","864.7","0.000816"
"0.5","883.3","2.357","885.7","0.0008731"
"0.55","900","2.187","902.1","0.000929"
"0.6","912.6","2.043","914.7","0.0009841"
"0.65","921.8","1.918","923.8","0.001038"
"0.7","928.1","1.808","929.9","0.001092"
"0.75","931.6","1.712","933.4","0.001146"
"0.8","933","1.626","934.6","0.0012"
"0.85","932.4","1.549","933.9","0.001253"
"0.9","930.1","1.479","931.6","0.001307"
"0.95","926.4","1.416","927.8","0.00136"
"1","921.5","1.359","922.9","0.001414"
"1.25","885.1","1.133","886.3","0.001691"
"1.5","839.7","0.976","840.6","0.00198"
"1.75","793.3","0.8595","794.2","0.002286"
"2","749.7","0.7694","750.4","0.00261"
"2.25","709.9","0.6976","710.6","0.002952"
"2.5","674.2","0.6388","674.8","0.003314"
"2.75","642.2","0.5897","642.8","0.003693"
"3","613.6","0.5481","614.2","0.004091"
"3.5","564.7","0.4813","565.1","0.004941"
"4","524.3","0.4298","524.8","0.00586"
"4.5","490.5","0.3888","490.9","0.006846"
"5","461.5","0.3554","461.9","0.007896"
"5.5","436.4","0.3276","436.7","0.00901"
"6","414.4","0.3041","414.7","0.01019"
"6.5","394.8","0.2839","395.1","0.01142"
"7","377.2","0.2664","377.5","0.01272"
"7.5","361.4","0.251","361.7","0.01407"
"8","347.1","0.2374","347.3","0.01548"
"8.5","334","0.2253","334.2","0.01695"
"9","321.9","0.2145","322.2","0.01847"
"9.5","310.9","0.2047","311.1","0.02005"
"10","300.6","0.1958","300.8","0.02169"
