"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","59.9","16.96","76.86","1.998E-05"
"0.0015","71.24","17.9","89.13","2.6E-05"
"0.002","80.56","18.34","98.9","3.132E-05"
"0.0025","88.62","18.54","107.2","3.617E-05"
"0.003","95.8","18.6","114.4","4.068E-05"
"0.004","108.3","18.48","126.8","4.897E-05"
"0.005","119.2","18.2","137.4","5.653E-05"
"0.006","128.8","17.85","146.7","6.357E-05"
"0.007","137.6","17.47","155.1","7.02E-05"
"0.008","145.7","17.09","162.8","7.649E-05"
"0.009","153.2","16.7","169.9","8.25E-05"
"0.01","160.3","16.33","176.6","8.827E-05"
"0.0125","176.3","15.45","191.7","0.0001018"
"0.015","190.6","14.66","205.2","0.0001144"
"0.0175","203.5","13.95","217.5","0.0001263"
"0.02","215.4","13.31","228.7","0.0001375"
"0.0225","226.5","12.73","239.3","0.0001482"
"0.025","236.9","12.21","249.1","0.0001584"
"0.0275","246.7","11.74","258.5","0.0001682"
"0.03","256.1","11.31","267.4","0.0001777"
"0.035","273.4","10.55","283.9","0.0001959"
"0.04","289.3","9.899","299.2","0.000213"
"0.045","304.1","9.337","313.5","0.0002294"
"0.05","318","8.845","326.9","0.000245"
"0.055","331.1","8.411","339.5","0.00026"
"0.06","343.4","8.024","351.5","0.0002744"
"0.065","355.2","7.676","362.9","0.0002884"
"0.07","366.4","7.362","373.8","0.000302"
"0.075","377.2","7.076","384.2","0.0003152"
"0.08","387.5","6.815","394.3","0.0003281"
"0.085","397.4","6.576","403.9","0.0003406"
"0.09","406.9","6.355","413.3","0.0003528"
"0.095","416.1","6.151","422.3","0.0003648"
"0.1","425","5.962","431","0.0003765"
"0.125","465.7","5.185","470.9","0.0004319"
"0.15","501.1","4.608","505.7","0.0004831"
"0.175","532.4","4.16","536.6","0.0005311"
"0.2","560.4","3.801","564.2","0.0005765"
"0.225","585.7","3.505","589.2","0.0006198"
"0.25","608.6","3.257","611.8","0.0006615"
"0.275","629.3","3.045","632.4","0.0007016"
"0.3","648.2","2.836","651","0.0007406"
"0.35","680.9","2.539","683.5","0.0008155"
"0.4","708","2.303","710.3","0.0008872"
"0.45","730.1","2.111","732.2","0.0009565"
"0.5","748","1.952","749.9","0.001024"
"0.55","762.1","1.817","763.9","0.00109"
"0.6","773","1.701","774.7","0.001155"
"0.65","780.9","1.6","782.5","0.001219"
"0.7","786.3","1.512","787.9","0.001283"
"0.75","789.5","1.433","790.9","0.001346"
"0.8","790.7","1.363","792.1","0.001409"
"0.85","790.2","1.301","791.5","0.001472"
"0.9","788.3","1.244","789.5","0.001536"
"0.95","785","1.192","786.2","0.001599"
"1","780.7","1.145","781.8","0.001663"
"1.25","747.8","0.96","748.8","0.001989"
"1.5","705.9","0.8297","706.7","0.002333"
"1.75","662.8","0.7327","663.5","0.002698"
"2","622.2","0.6575","622.8","0.003087"
"2.25","585.3","0.5972","585.9","0.003501"
"2.5","552.6","0.5478","553.1","0.00394"
"2.75","523.6","0.5065","524.2","0.004405"
"3","498.1","0.4714","498.6","0.004894"
"3.5","455.5","0.4148","455.9","0.005944"
"4","421.5","0.3711","421.9","0.007085"
"4.5","393.7","0.3363","394.1","0.008313"
"5","370.6","0.3078","370.9","0.009621"
"5.5","350.8","0.2841","351.1","0.01101"
"6","333.8","0.2639","334","0.01247"
"6.5","318.8","0.2467","319","0.014"
"7","305.5","0.2316","305.7","0.0156"
"7.5","293.5","0.2184","293.7","0.01727"
"8","282.7","0.2068","282.9","0.01901"
"8.5","272.9","0.1963","273.1","0.02081"
"9","263.9","0.187","264.1","0.02267"
"9.5","255.6","0.1785","255.8","0.02459"
"10","247.9","0.1709","248.1","0.02658"
