"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","42.38","9.11","51.49","3.394E-05"
"0.0015","50.8","9.818","60.62","4.287E-05"
"0.002","57.77","10.23","68","5.064E-05"
"0.0025","63.83","10.48","74.31","5.766E-05"
"0.003","69.25","10.64","79.89","6.414E-05"
"0.004","78.76","10.78","89.54","7.595E-05"
"0.005","87.02","10.8","97.81","8.662E-05"
"0.006","94.4","10.74","105.1","9.647E-05"
"0.007","101.1","10.64","111.8","0.0001057"
"0.008","107.4","10.52","117.9","0.0001144"
"0.009","113.2","10.39","123.5","0.0001227"
"0.01","118.6","10.25","128.9","0.0001306"
"0.0125","131","9.885","140.9","0.0001491"
"0.015","142.1","9.526","151.7","0.0001662"
"0.0175","152.3","9.184","161.4","0.0001822"
"0.02","161.6","8.863","170.5","0.0001972"
"0.0225","170.3","8.564","178.9","0.0002116"
"0.025","178.5","8.285","186.8","0.0002252"
"0.0275","186.2","8.026","194.3","0.0002384"
"0.03","193.6","7.784","201.4","0.000251"
"0.035","207.3","7.347","214.6","0.000275"
"0.04","219.9","6.964","226.9","0.0002977"
"0.045","231.7","6.624","238.3","0.0003192"
"0.05","242.7","6.321","249","0.0003397"
"0.055","253.1","6.05","259.2","0.0003594"
"0.06","263","5.804","268.8","0.0003783"
"0.065","272.4","5.581","278","0.0003966"
"0.07","281.3","5.377","286.7","0.0004143"
"0.075","289.9","5.19","295.1","0.0004315"
"0.08","298.2","5.017","303.2","0.0004482"
"0.085","306.1","4.858","310.9","0.0004645"
"0.09","313.7","4.71","318.4","0.0004804"
"0.095","321.1","4.572","325.7","0.0004959"
"0.1","328.2","4.444","332.7","0.0005111"
"0.125","360.7","3.909","364.6","0.0005828"
"0.15","388.9","3.504","392.4","0.0006488"
"0.175","413.7","3.185","416.9","0.0007106"
"0.2","435.8","2.926","438.7","0.000769"
"0.225","455.4","2.711","458.1","0.0008248"
"0.25","473.1","2.529","475.6","0.0008783"
"0.275","488.9","2.373","491.2","0.00093"
"0.3","503","2.237","505.3","0.0009802"
"0.35","527","2.012","529","0.001077"
"0.4","546","1.833","547.8","0.00117"
"0.45","560.7","1.67","562.4","0.00126"
"0.5","571.8","1.549","573.4","0.001348"
"0.55","579.9","1.446","581.3","0.001434"
"0.6","585.3","1.357","586.7","0.00152"
"0.65","588.5","1.279","589.8","0.001605"
"0.7","589.9","1.211","591.1","0.001689"
"0.75","589.7","1.15","590.8","0.001774"
"0.8","588.2","1.096","589.3","0.001859"
"0.85","585.6","1.047","586.7","0.001944"
"0.9","582.2","1.003","583.2","0.002029"
"0.95","578.1","0.9622","579.1","0.002115"
"1","573.5","0.9252","574.4","0.002202"
"1.25","545.9","0.779","546.7","0.002648"
"1.5","516.6","0.6756","517.3","0.003118"
"1.75","489.2","0.5982","489.8","0.003615"
"2","464.6","0.5379","465.2","0.004139"
"2.25","442.8","0.4896","443.3","0.004689"
"2.5","423.4","0.4498","423.8","0.005266"
"2.75","406","0.4164","406.5","0.005869"
"3","390.5","0.388","390.8","0.006496"
"3.5","363.5","0.3421","363.8","0.007823"
"4","340.8","0.3066","341.1","0.009244"
"4.5","321.3","0.2783","321.6","0.01075"
"5","304.4","0.255","304.6","0.01235"
"5.5","289.4","0.2356","289.6","0.01404"
"6","276.1","0.2191","276.3","0.0158"
"6.5","264.1","0.2049","264.3","0.01766"
"7","253.2","0.1926","253.4","0.01959"
"7.5","243.3","0.1818","243.5","0.0216"
"8","234.3","0.1721","234.5","0.02369"
"8.5","226","0.1636","226.2","0.02587"
"9","218.3","0.1559","218.5","0.02812"
"9.5","211.2","0.1489","211.4","0.03044"
"10","204.6","0.1426","204.7","0.03285"
