"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","68.73","100.8","169.5","7.354E-06"
"0.0015","83.7","96.53","180.2","1.02E-05"
"0.002","96.26","91.97","188.2","1.291E-05"
"0.0025","107.3","87.67","195","1.552E-05"
"0.003","117.2","83.75","201","1.805E-05"
"0.004","134.8","76.98","211.8","2.289E-05"
"0.005","150.3","71.37","221.6","2.751E-05"
"0.006","164.2","66.66","230.8","3.192E-05"
"0.007","177","62.63","239.6","3.618E-05"
"0.008","188.8","59.15","248","4.028E-05"
"0.009","199.9","56.09","256","4.425E-05"
"0.01","210.4","53.39","263.8","4.809E-05"
"0.0125","234.5","47.8","282.3","5.725E-05"
"0.015","256.2","43.42","299.7","6.584E-05"
"0.0175","276.1","39.88","316","7.396E-05"
"0.02","294.6","36.95","331.6","8.168E-05"
"0.0225","311.9","34.47","346.4","8.906E-05"
"0.025","328.3","32.34","360.6","9.613E-05"
"0.0275","343.8","30.5","374.3","0.0001029"
"0.03","358.6","28.87","387.4","0.0001095"
"0.035","386.3","26.15","412.5","0.000122"
"0.04","412","23.95","436","0.0001338"
"0.045","436.1","22.13","458.2","0.000145"
"0.05","458.8","20.6","479.4","0.0001556"
"0.055","480.3","19.28","499.6","0.0001658"
"0.06","500.8","18.14","518.9","0.0001757"
"0.065","520.3","17.14","537.5","0.0001851"
"0.07","539.1","16.26","555.4","0.0001943"
"0.075","557.1","15.47","572.6","0.0002031"
"0.08","574.5","14.76","589.2","0.0002118"
"0.085","591.2","14.12","605.4","0.0002201"
"0.09","607.5","13.54","621","0.0002283"
"0.095","623.2","13.01","636.2","0.0002362"
"0.1","638.4","12.53","650.9","0.000244"
"0.125","708.4","10.59","719","0.0002805"
"0.15","770.3","9.217","779.5","0.0003139"
"0.175","825.6","8.181","833.8","0.0003448"
"0.2","875.7","7.371","883.1","0.000374"
"0.225","921.2","6.718","927.9","0.0004016"
"0.25","962.8","6.18","969","0.0004279"
"0.275","1001","5.728","1007","0.0004532"
"0.3","1036","5.342","1041","0.0004776"
"0.35","1098","4.718","1102","0.0005243"
"0.4","1150","4.233","1154","0.0005685"
"0.45","1194","3.845","1197","0.0006111"
"0.5","1230","3.527","1234","0.0006522"
"0.55","1260","3.26","1264","0.0006922"
"0.6","1285","3.034","1288","0.0007314"
"0.65","1304","2.839","1307","0.0007699"
"0.7","1319","2.669","1322","0.0008079"
"0.75","1330","2.52","1333","0.0008456"
"0.8","1338","2.388","1340","0.000883"
"0.85","1343","2.27","1345","0.0009202"
"0.9","1344","2.163","1346","0.0009574"
"0.95","1344","2.067","1346","0.0009945"
"1","1341","1.98","1343","0.001032"
"1.25","1296","1.639","1297","0.001221"
"1.5","1229","1.404","1230","0.001418"
"1.75","1160","1.231","1161","0.001628"
"2","1095","1.097","1096","0.001849"
"2.25","1035","0.9917","1036","0.002084"
"2.5","981.4","0.9055","982.4","0.002332"
"2.75","932.6","0.8339","933.5","0.002593"
"3","888.5","0.7734","889.2","0.002868"
"3.5","812.1","0.6765","812.7","0.003456"
"4","748.3","0.6022","748.9","0.004098"
"4.5","695.6","0.5433","696.1","0.004791"
"5","650.4","0.4954","650.9","0.005534"
"5.5","611.3","0.4557","611.7","0.006327"
"6","577","0.4221","577.4","0.007169"
"6.5","546.8","0.3934","547.2","0.008059"
"7","520","0.3685","520.3","0.008996"
"7.5","496","0.3468","496.3","0.00998"
"8","474.4","0.3275","474.7","0.01101"
"8.5","454.8","0.3104","455.1","0.01209"
"9","437","0.2951","437.3","0.01321"
"9.5","420.7","0.2813","421","0.01437"
"10","405.7","0.2688","406","0.01558"
