"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","47.73","31.71","79.45","1.699E-05"
"0.0015","57.45","32.71","90.16","2.288E-05"
"0.002","65.53","32.93","98.45","2.818E-05"
"0.0025","72.56","32.79","105.4","3.308E-05"
"0.003","78.87","32.46","111.3","3.77E-05"
"0.004","89.95","31.56","121.5","4.628E-05"
"0.005","99.61","30.54","130.1","5.423E-05"
"0.006","108.3","29.51","137.8","6.169E-05"
"0.007","116.2","28.52","144.7","6.877E-05"
"0.008","123.5","27.58","151.1","7.553E-05"
"0.009","130.3","26.7","157","8.202E-05"
"0.01","136.7","25.87","162.6","8.828E-05"
"0.0125","151.4","24.03","175.4","0.0001031"
"0.015","164.5","22.46","187","0.0001169"
"0.0175","176.5","21.11","197.6","0.0001299"
"0.02","187.6","19.93","207.5","0.0001422"
"0.0225","198","18.9","216.9","0.000154"
"0.025","207.7","17.99","225.7","0.0001653"
"0.0275","216.9","17.18","234.1","0.0001762"
"0.03","225.7","16.45","242.1","0.0001867"
"0.035","242.1","15.18","257.2","0.0002067"
"0.04","257.2","14.13","271.3","0.0002256"
"0.045","271.3","13.23","284.5","0.0002436"
"0.05","284.6","12.46","297","0.0002608"
"0.055","297.1","11.78","308.9","0.0002773"
"0.06","309","11.18","320.2","0.0002932"
"0.065","320.4","10.65","331","0.0003085"
"0.07","331.2","10.18","341.4","0.0003234"
"0.075","341.6","9.751","351.4","0.0003378"
"0.08","351.6","9.362","361","0.0003519"
"0.085","361.3","9.007","370.3","0.0003656"
"0.09","370.6","8.682","379.3","0.0003789"
"0.095","379.6","8.382","388","0.0003919"
"0.1","388.4","8.106","396.5","0.0004047"
"0.125","428.4","6.984","435.4","0.0004648"
"0.15","463.6","6.163","469.8","0.00052"
"0.175","495","5.533","500.6","0.0005715"
"0.2","523.4","4.986","528.4","0.0006201"
"0.225","549.2","4.582","553.7","0.0006663"
"0.25","572.7","4.244","576.9","0.0007105"
"0.275","594.3","3.957","598.2","0.0007531"
"0.3","614.1","3.71","617.8","0.0007942"
"0.35","649","3.306","652.4","0.0008729"
"0.4","678.7","2.988","681.7","0.0009478"
"0.45","703.8","2.731","706.5","0.00102"
"0.5","724.9","2.518","727.4","0.00109"
"0.55","742.5","2.339","744.9","0.001157"
"0.6","757.1","2.185","759.3","0.001224"
"0.65","768.9","2.053","771","0.001289"
"0.7","778.3","1.936","780.3","0.001354"
"0.75","785.6","1.833","787.5","0.001417"
"0.8","791","1.742","792.8","0.001481"
"0.85","794.7","1.66","796.4","0.001544"
"0.9","797","1.586","798.6","0.001606"
"0.95","798","1.519","799.5","0.001669"
"1","797.8","1.457","799.2","0.001731"
"1.25","784.5","1.217","785.8","0.002046"
"1.5","759.3","1.049","760.3","0.002369"
"1.75","729.4","0.9242","730.3","0.002705"
"2","698.7","0.8278","699.5","0.003055"
"2.25","669","0.7507","669.7","0.00342"
"2.5","641.1","0.6877","641.8","0.003801"
"2.75","615.2","0.6351","615.8","0.004199"
"3","591.3","0.5905","591.9","0.004613"
"3.5","549","0.5187","549.5","0.005491"
"4","512.9","0.4634","513.4","0.006433"
"4.5","481.9","0.4194","482.3","0.007438"
"5","454.8","0.3835","455.2","0.008506"
"5.5","430.9","0.3536","431.3","0.009635"
"6","409.8","0.3283","410.1","0.01082"
"6.5","390.8","0.3065","391.1","0.01207"
"7","373.7","0.2877","374","0.01338"
"7.5","358.2","0.2711","358.5","0.01475"
"8","344.1","0.2565","344.3","0.01617"
"8.5","331.1","0.2434","331.4","0.01765"
"9","319.2","0.2317","319.4","0.01919"
"9.5","308.2","0.2212","308.4","0.02078"
"10","298","0.2116","298.2","0.02243"
