"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","33.62","65.58","99.2","1.092E-05"
"0.0015","43.86","64.81","108.7","1.573E-05"
"0.002","52.98","63.13","116.1","2.017E-05"
"0.0025","61.33","61.18","122.5","2.436E-05"
"0.003","69.12","59.19","128.3","2.835E-05"
"0.004","83.48","55.43","138.9","3.583E-05"
"0.005","96.65","52.07","148.7","4.279E-05"
"0.006","108.9","49.11","158","4.931E-05"
"0.007","120.5","46.51","167","5.546E-05"
"0.008","131.5","44.2","175.7","6.13E-05"
"0.009","142.1","42.14","184.3","6.685E-05"
"0.01","152.3","40.3","192.6","7.216E-05"
"0.0125","176.3","36.42","212.7","8.451E-05"
"0.015","198.6","33.33","232","9.575E-05"
"0.0175","219.7","30.79","250.5","0.0001061"
"0.02","239.8","28.67","268.5","0.0001158"
"0.0225","259","26.86","285.9","0.0001248"
"0.025","277.5","25.3","302.8","0.0001333"
"0.0275","295.3","23.94","319.3","0.0001413"
"0.03","312.6","22.74","335.3","0.0001489"
"0.035","345.6","20.71","366.3","0.0001632"
"0.04","377","19.05","396","0.0001763"
"0.045","406.9","17.68","424.6","0.0001885"
"0.05","435.6","16.51","452.1","0.0001999"
"0.055","463.2","15.51","478.7","0.0002107"
"0.06","489.8","14.63","504.5","0.0002208"
"0.065","515.6","13.86","529.5","0.0002305"
"0.07","540.6","13.18","553.8","0.0002397"
"0.075","564.8","12.57","577.4","0.0002486"
"0.08","588.3","12.02","600.3","0.0002571"
"0.085","611.2","11.52","622.7","0.0002653"
"0.09","633.5","11.07","644.5","0.0002732"
"0.095","655.1","10.55","665.7","0.0002808"
"0.1","676.3","10.17","686.4","0.0002882"
"0.125","774.4","8.666","783.1","0.0003222"
"0.15","861.5","7.58","869.1","0.0003525"
"0.175","938.8","6.756","945.5","0.00038"
"0.2","1007","6.108","1013","0.0004056"
"0.225","1068","5.584","1073","0.0004295"
"0.25","1120","5.15","1126","0.0004522"
"0.275","1166","4.784","1171","0.000474"
"0.3","1206","4.47","1210","0.000495"
"0.35","1268","3.962","1272","0.0005352"
"0.4","1311","3.565","1314","0.0005738"
"0.45","1338","3.246","1341","0.0006115"
"0.5","1353","2.983","1356","0.0006485"
"0.55","1358","2.763","1361","0.0006853"
"0.6","1356","2.576","1359","0.0007221"
"0.65","1349","2.414","1351","0.000759"
"0.7","1338","2.272","1340","0.0007961"
"0.75","1325","2.148","1327","0.0008336"
"0.8","1309","2.038","1311","0.0008715"
"0.85","1293","1.939","1295","0.0009099"
"0.9","1276","1.85","1278","0.0009488"
"0.95","1258","1.769","1260","0.0009882"
"1","1241","1.696","1243","0.001028"
"1.25","1156","1.409","1158","0.001237"
"1.5","1081","1.21","1082","0.00146"
"1.75","1016","1.063","1017","0.001699"
"2","958.5","0.95","959.4","0.001952"
"2.25","908.1","0.8599","908.9","0.00222"
"2.5","863.3","0.7863","864","0.002502"
"2.75","823.1","0.725","823.9","0.002798"
"3","787","0.6732","787.6","0.003109"
"3.5","724.2","0.59","724.8","0.003771"
"4","671.7","0.5261","672.2","0.004488"
"4.5","626.9","0.4753","627.3","0.005258"
"5","588.2","0.434","588.6","0.006082"
"5.5","554.5","0.3996","554.9","0.006957"
"6","524.7","0.3706","525.1","0.007884"
"6.5","498.3","0.3457","498.7","0.008861"
"7","474.7","0.3242","475","0.009889"
"7.5","453.4","0.3053","453.7","0.01097"
"8","434.1","0.2886","434.4","0.01209"
"8.5","416.6","0.2737","416.9","0.01327"
"9","400.5","0.2603","400.8","0.01449"
"9.5","385.8","0.2483","386.1","0.01576"
"10","372.2","0.2374","372.5","0.01708"
