"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","32.82","14.02","46.84","3.414E-05"
"0.0015","40.03","14.89","54.93","4.397E-05"
"0.002","46.1","15.35","61.44","5.256E-05"
"0.0025","51.42","15.58","67","6.034E-05"
"0.003","56.23","15.68","71.91","6.754E-05"
"0.004","64.74","15.68","80.41","8.067E-05"
"0.005","72.21","15.52","87.74","9.256E-05"
"0.006","78.96","15.29","94.25","0.0001035"
"0.007","85.15","15.02","100.2","0.0001138"
"0.008","90.91","14.74","105.7","0.0001235"
"0.009","96.31","14.46","110.8","0.0001328"
"0.01","101.4","14.17","115.6","0.0001416"
"0.0125","113.1","13.48","126.6","0.0001623"
"0.015","123.7","12.85","136.5","0.0001813"
"0.0175","133.4","12.28","145.6","0.000199"
"0.02","142.4","11.75","154.1","0.0002157"
"0.0225","150.8","11.28","162.1","0.0002315"
"0.025","158.8","10.85","169.6","0.0002466"
"0.0275","166.3","10.45","176.8","0.000261"
"0.03","173.6","10.08","183.6","0.0002749"
"0.035","187.1","9.439","196.6","0.0003012"
"0.04","199.7","8.883","208.6","0.0003258"
"0.045","211.5","8.399","219.9","0.0003492"
"0.05","222.6","7.974","230.5","0.0003714"
"0.055","233.1","7.596","240.7","0.0003926"
"0.06","243.1","7.258","250.4","0.000413"
"0.065","252.7","6.953","259.7","0.0004326"
"0.07","261.9","6.678","268.6","0.0004515"
"0.075","270.8","6.426","277.2","0.0004698"
"0.08","279.3","6.196","285.5","0.0004876"
"0.085","287.5","5.984","293.5","0.0005049"
"0.09","295.5","5.789","301.3","0.0005217"
"0.095","303.2","5.607","308.8","0.0005381"
"0.1","310.7","5.439","316.1","0.0005541"
"0.125","345.2","4.746","349.9","0.0006292"
"0.15","375.6","4.228","379.9","0.0006977"
"0.175","402.9","3.824","406.7","0.0007612"
"0.2","427.6","3.499","431.1","0.0008209"
"0.225","450","3.231","453.2","0.0008774"
"0.25","470.5","3.006","473.5","0.0009314"
"0.275","489.2","2.813","492","0.0009831"
"0.3","506.3","2.647","509","0.001033"
"0.35","536.3","2.35","538.7","0.001128"
"0.4","561.4","2.135","563.5","0.001219"
"0.45","582.2","1.959","584.1","0.001306"
"0.5","599.1","1.812","600.9","0.001391"
"0.55","612.7","1.688","614.3","0.001473"
"0.6","623.2","1.582","624.8","0.001554"
"0.65","631.2","1.489","632.6","0.001633"
"0.7","636.8","1.407","638.2","0.001712"
"0.75","640.3","1.335","641.6","0.00179"
"0.8","642","1.271","643.3","0.001868"
"0.85","642.2","1.213","643.5","0.001945"
"0.9","641.1","1.16","642.2","0.002023"
"0.95","638.8","1.113","639.9","0.002101"
"1","635.5","1.069","636.6","0.002179"
"1.25","609.2","0.897","610.1","0.00258"
"1.5","575.4","0.7761","576.1","0.003001"
"1.75","540.8","0.6859","541.5","0.003449"
"2","508.6","0.6158","509.2","0.003925"
"2.25","479.6","0.5597","480.1","0.004431"
"2.5","453.9","0.5136","454.4","0.004966"
"2.75","431.3","0.475","431.8","0.005531"
"3","411.3","0.4423","411.8","0.006124"
"3.5","377.9","0.3894","378.3","0.007393"
"4","351","0.3486","351.3","0.008766"
"4.5","328.8","0.316","329.1","0.01024"
"5","310","0.2893","310.3","0.0118"
"5.5","293.9","0.2671","294.2","0.01346"
"6","279.9","0.2482","280.1","0.0152"
"6.5","267.4","0.232","267.7","0.01703"
"7","256.3","0.2179","256.5","0.01894"
"7.5","246.3","0.2056","246.5","0.02093"
"8","237.2","0.1946","237.4","0.02299"
"8.5","228.9","0.1848","229.1","0.02514"
"9","221.3","0.1761","221.5","0.02736"
"9.5","214.3","0.1681","214.4","0.02965"
"10","207.7","0.1609","207.9","0.03202"
