"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","41.46","9.117","50.57","3.476E-05"
"0.0015","49.63","9.834","59.47","4.385E-05"
"0.002","56.39","10.25","66.65","5.178E-05"
"0.0025","62.26","10.51","72.78","5.895E-05"
"0.003","67.51","10.68","78.19","6.557E-05"
"0.004","76.71","10.83","87.53","7.763E-05"
"0.005","84.69","10.85","95.54","8.855E-05"
"0.006","91.83","10.8","102.6","9.864E-05"
"0.007","98.33","10.71","109","0.0001081"
"0.008","104.3","10.59","114.9","0.000117"
"0.009","109.9","10.46","120.4","0.0001255"
"0.01","115.2","10.33","125.5","0.0001337"
"0.0125","127.2","9.966","137.1","0.0001527"
"0.015","137.9","9.611","147.5","0.0001703"
"0.0175","147.6","9.271","156.9","0.0001867"
"0.02","156.6","8.952","165.5","0.0002022"
"0.0225","165","8.654","173.6","0.0002169"
"0.025","172.8","8.376","181.2","0.000231"
"0.0275","180.3","8.116","188.4","0.0002445"
"0.03","187.3","7.874","195.2","0.0002576"
"0.035","200.5","7.437","208","0.0002824"
"0.04","212.7","7.052","219.7","0.0003058"
"0.045","224","6.711","230.7","0.000328"
"0.05","234.5","6.406","241","0.0003492"
"0.055","244.5","6.133","250.7","0.0003695"
"0.06","254","5.885","259.9","0.0003891"
"0.065","263","5.66","268.7","0.000408"
"0.07","271.6","5.455","277.1","0.0004263"
"0.075","279.9","5.266","285.1","0.0004441"
"0.08","287.8","5.092","292.9","0.0004614"
"0.085","295.4","4.931","300.3","0.0004783"
"0.09","302.7","4.782","307.5","0.0004947"
"0.095","309.8","4.643","314.4","0.0005108"
"0.1","316.6","4.513","321.1","0.0005265"
"0.125","347.8","3.972","351.8","0.0006008"
"0.15","374.9","3.562","378.5","0.0006693"
"0.175","398.8","3.239","402.1","0.0007333"
"0.2","420.1","2.976","423.1","0.0007939"
"0.225","439.2","2.758","442","0.0008517"
"0.25","456.3","2.573","458.9","0.0009072"
"0.275","471.7","2.415","474.1","0.0009608"
"0.3","485.6","2.277","487.8","0.001013"
"0.35","509.2","2.049","511.2","0.001113"
"0.4","528.1","1.866","530","0.001209"
"0.45","543","1.701","544.7","0.001302"
"0.5","554.5","1.578","556.1","0.001393"
"0.55","563.1","1.473","564.6","0.001482"
"0.6","569.2","1.383","570.5","0.00157"
"0.65","573.1","1.304","574.4","0.001657"
"0.7","575.1","1.234","576.4","0.001744"
"0.75","575.7","1.172","576.8","0.001831"
"0.8","574.9","1.117","576","0.001917"
"0.85","573.1","1.067","574.1","0.002004"
"0.9","570.4","1.022","571.4","0.002092"
"0.95","566.9","0.9809","567.9","0.002179"
"1","562.9","0.9432","563.9","0.002268"
"1.25","537.9","0.7943","538.7","0.002721"
"1.5","510.3","0.689","511","0.003197"
"1.75","483.9","0.6102","484.5","0.0037"
"2","460","0.5488","460.5","0.004229"
"2.25","438.6","0.4994","439.1","0.004786"
"2.5","419.5","0.4589","420","0.005368"
"2.75","402.5","0.4249","402.9","0.005976"
"3","387.2","0.3959","387.6","0.006609"
"3.5","360.6","0.3492","360.9","0.007947"
"4","338.3","0.3129","338.6","0.009378"
"4.5","319.1","0.284","319.4","0.0109"
"5","302.4","0.2603","302.7","0.01251"
"5.5","287.7","0.2405","287.9","0.0142"
"6","274.5","0.2237","274.7","0.01598"
"6.5","262.7","0.2092","262.9","0.01784"
"7","252","0.1966","252.2","0.01978"
"7.5","242.3","0.1856","242.4","0.02181"
"8","233.3","0.1758","233.5","0.02391"
"8.5","225.1","0.167","225.3","0.02609"
"9","217.5","0.1591","217.7","0.02835"
"9.5","210.5","0.152","210.7","0.03068"
"10","204","0.1456","204.1","0.03309"
