"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","6.697","5.321","12.02","0.0001242"
"0.0015","8.894","5.835","14.73","0.0001617"
"0.002","10.88","6.16","17.04","0.0001931"
"0.0025","12.71","6.382","19.1","0.0002208"
"0.003","14.44","6.539","20.98","0.0002458"
"0.004","17.67","6.734","24.4","0.0002899"
"0.005","20.65","6.833","27.48","0.0003284"
"0.006","23.46","6.876","30.34","0.000363"
"0.007","26.13","6.884","33.02","0.0003946"
"0.008","28.69","6.869","35.56","0.0004238"
"0.009","31.15","6.838","37.99","0.000451"
"0.01","33.54","6.797","40.33","0.0004765"
"0.0125","39.2","6.664","45.87","0.0005346"
"0.015","44.53","6.511","51.04","0.0005862"
"0.0175","49.6","6.352","55.95","0.0006329"
"0.02","54.45","6.194","60.65","0.0006758"
"0.0225","59.13","6.039","65.17","0.0007156"
"0.025","63.64","5.89","69.53","0.0007527"
"0.0275","68.02","5.748","73.77","0.0007876"
"0.03","72.28","5.611","77.89","0.0008206"
"0.035","80.49","5.358","85.85","0.0008817"
"0.04","88.34","5.128","93.47","0.0009374"
"0.045","95.89","4.919","100.8","0.0009889"
"0.05","103.2","4.729","107.9","0.001037"
"0.055","110.2","4.555","114.8","0.001082"
"0.06","117.1","4.395","121.5","0.001124"
"0.065","123.8","4.248","128","0.001164"
"0.07","130.3","4.112","134.4","0.001202"
"0.075","136.6","3.986","140.6","0.001239"
"0.08","142.8","3.869","146.7","0.001273"
"0.085","148.9","3.759","152.7","0.001307"
"0.09","154.9","3.657","158.5","0.001339"
"0.095","160.7","3.561","164.3","0.00137"
"0.1","166.4","3.471","169.9","0.0014"
"0.125","193.5","3.09","196.6","0.001537"
"0.15","218.3","2.795","221.1","0.001656"
"0.175","241.3","2.559","243.9","0.001764"
"0.2","262.5","2.364","264.9","0.001862"
"0.225","282.1","2.201","284.3","0.001953"
"0.25","300.2","2.062","302.2","0.002038"
"0.275","316.8","1.942","318.7","0.002119"
"0.3","332","1.837","333.8","0.002196"
"0.35","358.5","1.661","360.1","0.00234"
"0.4","380","1.52","381.6","0.002474"
"0.45","397.2","1.403","398.6","0.002602"
"0.5","410.5","1.305","411.8","0.002726"
"0.55","420.4","1.221","421.6","0.002846"
"0.6","427.4","1.149","428.6","0.002963"
"0.65","432","1.075","433.1","0.003079"
"0.7","434.6","1.02","435.6","0.003194"
"0.75","435.6","0.9707","436.5","0.003309"
"0.8","435.3","0.9264","436.2","0.003423"
"0.85","433.9","0.8864","434.8","0.003538"
"0.9","431.8","0.85","432.7","0.003653"
"0.95","429.1","0.8168","429.9","0.003769"
"1","425.9","0.7864","426.7","0.003886"
"1.25","406.8","0.6654","407.5","0.004485"
"1.5","387","0.5791","387.5","0.005114"
"1.75","368.7","0.5143","369.2","0.005776"
"2","352.3","0.4635","352.8","0.006469"
"2.25","337.8","0.4227","338.2","0.007193"
"2.5","324.6","0.3889","325","0.007947"
"2.75","312.8","0.3606","313.1","0.008731"
"3","301.9","0.3365","302.3","0.009543"
"3.5","282.8","0.2973","283.1","0.01125"
"4","266.4","0.2669","266.6","0.01307"
"4.5","252","0.2426","252.3","0.015"
"5","239.3","0.2226","239.6","0.01704"
"5.5","228","0.2059","228.2","0.01918"
"6","217.9","0.1917","218.1","0.02142"
"6.5","208.7","0.1794","208.9","0.02376"
"7","200.4","0.1688","200.5","0.02621"
"7.5","192.7","0.1594","192.9","0.02875"
"8","185.7","0.1511","185.9","0.03139"
"8.5","179.3","0.1436","179.4","0.03413"
"9","173.3","0.1369","173.5","0.03696"
"9.5","167.8","0.1309","167.9","0.03989"
"10","162.6","0.1254","162.8","0.04292"
