"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","45","9.442","54.45","3.2E-05"
"0.0015","54.02","10.17","64.18","4.044E-05"
"0.002","61.48","10.59","72.07","4.777E-05"
"0.0025","67.98","10.84","78.82","5.44E-05"
"0.003","73.79","11","84.79","6.051E-05"
"0.004","84","11.14","95.13","7.162E-05"
"0.005","92.87","11.14","104","8.166E-05"
"0.006","100.8","11.08","111.9","9.092E-05"
"0.007","108.1","10.98","119","9.958E-05"
"0.008","114.7","10.85","125.6","0.0001078"
"0.009","121","10.7","131.7","0.0001155"
"0.01","126.9","10.55","137.4","0.000123"
"0.0125","140.2","10.17","150.4","0.0001403"
"0.015","152.2","9.794","162","0.0001563"
"0.0175","163.1","9.437","172.6","0.0001713"
"0.02","173.2","9.102","182.3","0.0001854"
"0.0225","182.6","8.791","191.4","0.0001987"
"0.025","191.4","8.502","199.9","0.0002115"
"0.0275","199.8","8.233","208","0.0002238"
"0.03","207.7","7.982","215.7","0.0002356"
"0.035","222.5","7.53","230.1","0.000258"
"0.04","236.2","7.134","243.3","0.0002791"
"0.045","248.9","6.783","255.7","0.0002992"
"0.05","260.8","6.471","267.3","0.0003183"
"0.055","272.1","6.191","278.3","0.0003366"
"0.06","282.7","5.938","288.7","0.0003543"
"0.065","292.9","5.708","298.6","0.0003713"
"0.07","302.6","5.498","308.1","0.0003878"
"0.075","311.8","5.306","317.1","0.0004038"
"0.08","320.7","5.129","325.9","0.0004193"
"0.085","329.3","4.965","334.3","0.0004345"
"0.09","337.5","4.813","342.4","0.0004492"
"0.095","345.5","4.672","350.2","0.0004637"
"0.1","353.2","4.54","357.7","0.0004778"
"0.125","388.2","3.992","392.2","0.0005445"
"0.15","418.6","3.577","422.1","0.0006058"
"0.175","445.2","3.25","448.5","0.0006633"
"0.2","468.8","2.985","471.8","0.0007176"
"0.225","489.8","2.765","492.5","0.0007694"
"0.25","508.5","2.579","511","0.0008192"
"0.275","525.1","2.419","527.6","0.0008674"
"0.3","540","2.28","542.3","0.0009141"
"0.35","564.9","2.051","566.9","0.001004"
"0.4","584.2","1.867","586.1","0.001091"
"0.45","598.9","1.702","600.6","0.001175"
"0.5","609.7","1.578","611.2","0.001258"
"0.55","617.1","1.473","618.5","0.001339"
"0.6","621.7","1.382","623","0.001419"
"0.65","623.9","1.303","625.2","0.001499"
"0.7","624.2","1.233","625.4","0.001579"
"0.75","622.8","1.171","624","0.001659"
"0.8","620.2","1.116","621.3","0.00174"
"0.85","616.5","1.066","617.6","0.00182"
"0.9","612","1.02","613","0.001902"
"0.95","606.9","0.9793","607.8","0.001984"
"1","601.2","0.9416","602.2","0.002066"
"1.25","569.3","0.7926","570.1","0.002493"
"1.5","537","0.6873","537.7","0.002944"
"1.75","507.3","0.6085","508","0.003423"
"2","481.1","0.5471","481.6","0.003928"
"2.25","457.9","0.4979","458.4","0.004461"
"2.5","437.4","0.4574","437.9","0.005019"
"2.75","419.2","0.4234","419.6","0.005602"
"3","402.8","0.3945","403.2","0.00621"
"3.5","374.5","0.3479","374.8","0.007498"
"4","350.7","0.3117","351","0.008877"
"4.5","330.3","0.2829","330.6","0.01035"
"5","312.6","0.2592","312.9","0.0119"
"5.5","297","0.2395","297.2","0.01354"
"6","283.1","0.2227","283.3","0.01527"
"6.5","270.6","0.2083","270.8","0.01707"
"7","259.3","0.1957","259.5","0.01896"
"7.5","249","0.1847","249.2","0.02092"
"8","239.7","0.1749","239.8","0.02297"
"8.5","231","0.1662","231.2","0.02509"
"9","223.1","0.1584","223.2","0.02729"
"9.5","215.7","0.1513","215.9","0.02957"
"10","208.9","0.1449","209","0.03193"
