"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","21.21","4.674","25.89","6.98E-05"
"0.0015","26.18","5.137","31.32","8.731E-05"
"0.002","30.4","5.433","35.83","0.0001022"
"0.0025","34.13","5.637","39.77","0.0001154"
"0.003","37.52","5.783","43.3","0.0001275"
"0.004","43.56","5.967","49.52","0.000149"
"0.005","48.91","6.065","54.97","0.0001681"
"0.006","53.76","6.113","59.87","0.0001856"
"0.007","58.23","6.128","64.36","0.0002017"
"0.008","62.41","6.122","68.53","0.0002167"
"0.009","66.34","6.101","72.44","0.0002309"
"0.01","70.07","6.07","76.14","0.0002443"
"0.0125","78.67","5.964","84.63","0.0002755"
"0.015","86.47","5.838","92.31","0.0003037"
"0.0175","93.66","5.705","99.36","0.0003298"
"0.02","100.4","5.571","105.9","0.0003542"
"0.0225","106.7","5.439","112.1","0.0003771"
"0.025","112.7","5.31","118","0.0003988"
"0.0275","118.4","5.187","123.5","0.0004195"
"0.03","123.8","5.069","128.9","0.0004393"
"0.035","134.1","4.848","138.9","0.0004767"
"0.04","143.6","4.646","148.3","0.0005115"
"0.045","152.6","4.462","157.1","0.0005442"
"0.05","161.1","4.294","165.4","0.0005753"
"0.055","169.2","4.14","173.3","0.0006048"
"0.06","176.9","3.998","180.9","0.000633"
"0.065","184.3","3.867","188.2","0.0006601"
"0.07","191.4","3.746","195.2","0.0006862"
"0.075","198.3","3.634","201.9","0.0007114"
"0.08","204.9","3.529","208.4","0.0007357"
"0.085","211.3","3.431","214.7","0.0007594"
"0.09","217.5","3.339","220.8","0.0007823"
"0.095","223.5","3.253","226.7","0.0008047"
"0.1","229.3","3.172","232.5","0.0008265"
"0.125","256.3","2.829","259.1","0.0009282"
"0.15","280.2","2.562","282.7","0.00102"
"0.175","301.6","2.348","303.9","0.001106"
"0.2","321","2.172","323.1","0.001185"
"0.225","338.6","2.024","340.6","0.001261"
"0.25","354.6","1.897","356.5","0.001332"
"0.275","369.2","1.787","370.9","0.001401"
"0.3","382.4","1.691","384.1","0.001467"
"0.35","405.5","1.531","407","0.001594"
"0.4","424.4","1.401","425.8","0.001714"
"0.45","439.6","1.295","440.9","0.001829"
"0.5","451.7","1.205","452.9","0.001941"
"0.55","460.9","1.128","462","0.00205"
"0.6","467.7","1.061","468.7","0.002158"
"0.65","472.3","1.003","473.3","0.002264"
"0.7","475","0.9427","476","0.002369"
"0.75","476.2","0.8974","477.1","0.002474"
"0.8","476","0.8567","476.9","0.002579"
"0.85","474.7","0.8198","475.5","0.002684"
"0.9","472.4","0.7864","473.2","0.002789"
"0.95","469.4","0.7558","470.2","0.002895"
"1","465.7","0.7278","466.5","0.003002"
"1.25","441.8","0.6162","442.5","0.003552"
"1.5","415.1","0.5367","415.6","0.004134"
"1.75","389.7","0.4768","390.2","0.004755"
"2","367.1","0.4299","367.5","0.005416"
"2.25","347.3","0.3921","347.7","0.006116"
"2.5","330","0.3609","330.4","0.006853"
"2.75","314.9","0.3347","315.3","0.007628"
"3","301.6","0.3123","301.9","0.008439"
"3.5","279.2","0.2761","279.5","0.01016"
"4","260.9","0.2479","261.2","0.01201"
"4.5","245.6","0.2254","245.8","0.01399"
"5","232.5","0.2069","232.7","0.01608"
"5.5","221.1","0.1913","221.3","0.01828"
"6","211","0.1782","211.2","0.0206"
"6.5","202","0.1668","202.1","0.02302"
"7","193.9","0.1569","194","0.02554"
"7.5","186.5","0.1482","186.6","0.02817"
"8","179.8","0.1405","179.9","0.0309"
"8.5","173.6","0.1336","173.7","0.03373"
"9","167.9","0.1274","168","0.03666"
"9.5","162.6","0.1217","162.7","0.03968"
"10","157.7","0.1166","157.8","0.0428"
