"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","82.58","18.63","101.2","1.448E-05"
"0.0015","96.44","19.54","116","1.908E-05"
"0.002","107.7","19.93","127.6","2.318E-05"
"0.0025","117.2","20.07","137.3","2.696E-05"
"0.003","125.7","20.06","145.8","3.049E-05"
"0.004","140.3","19.81","160.2","3.702E-05"
"0.005","152.8","19.42","172.3","4.303E-05"
"0.006","163.9","18.97","182.8","4.866E-05"
"0.007","173.8","18.5","192.3","5.399E-05"
"0.008","182.9","18.04","201","5.908E-05"
"0.009","191.3","17.59","208.9","6.396E-05"
"0.01","199.2","17.15","216.4","6.866E-05"
"0.0125","216.9","16.14","233.1","7.978E-05"
"0.015","232.6","15.25","247.8","9.018E-05"
"0.0175","246.6","14.46","261.1","0.0001"
"0.02","259.5","13.76","273.3","0.0001094"
"0.0225","271.4","13.13","284.5","0.0001183"
"0.025","282.5","12.57","295.1","0.0001269"
"0.0275","292.9","12.06","305","0.0001353"
"0.03","302.7","11.59","314.3","0.0001434"
"0.035","320.9","10.78","331.7","0.0001588"
"0.04","337.5","10.09","347.6","0.0001735"
"0.045","352.9","9.5","362.4","0.0001876"
"0.05","367.1","8.984","376.1","0.0002012"
"0.055","380.4","8.529","389","0.0002142"
"0.06","393","8.125","401.1","0.0002269"
"0.065","404.9","7.763","412.6","0.0002392"
"0.07","416.1","7.437","423.6","0.0002511"
"0.075","426.9","7.142","434","0.0002628"
"0.08","437.1","6.872","444","0.0002742"
"0.085","446.9","6.625","453.5","0.0002853"
"0.09","456.3","6.398","462.7","0.0002962"
"0.095","465.3","6.188","471.5","0.000307"
"0.1","474","5.993","480","0.0003175"
"0.125","513.1","5.198","518.3","0.0003675"
"0.15","546.3","4.61","550.9","0.0004143"
"0.175","575","4.155","579.2","0.0004585"
"0.2","600.1","3.791","603.9","0.0005008"
"0.225","622.2","3.492","625.7","0.0005414"
"0.25","641.6","3.212","644.8","0.0005808"
"0.275","658.7","3.001","661.7","0.000619"
"0.3","673.8","2.819","676.6","0.0006564"
"0.35","698.7","2.52","701.2","0.0007289"
"0.4","717.7","2.284","720","0.0007992"
"0.45","731.9","2.092","734","0.000868"
"0.5","742","1.932","743.9","0.0009356"
"0.55","748.6","1.797","750.4","0.001003"
"0.6","752.5","1.682","754.2","0.001069"
"0.65","754","1.581","755.6","0.001135"
"0.7","753.6","1.493","755.1","0.001201"
"0.75","751.6","1.415","753","0.001268"
"0.8","748.2","1.346","749.6","0.001334"
"0.85","743.9","1.283","745.2","0.001401"
"0.9","738.7","1.227","739.9","0.001468"
"0.95","732.8","1.176","734","0.001536"
"1","726.5","1.129","727.6","0.001605"
"1.25","690.7","0.9454","691.7","0.001957"
"1.5","654.1","0.8165","654.9","0.002328"
"1.75","620","0.7206","620.7","0.002721"
"2","589.2","0.6462","589.8","0.003134"
"2.25","561.6","0.5867","562.2","0.003568"
"2.5","536.9","0.538","537.4","0.004023"
"2.75","514.7","0.4972","515.2","0.004498"
"3","494.5","0.4626","495","0.004994"
"3.5","459.5","0.4069","459.9","0.006043"
"4","429.8","0.3639","430.1","0.007167"
"4.5","404.2","0.3296","404.6","0.008367"
"5","382","0.3016","382.3","0.009639"
"5.5","362.3","0.2783","362.6","0.01098"
"6","344.8","0.2585","345.1","0.0124"
"6.5","329.1","0.2415","329.4","0.01388"
"7","314.9","0.2268","315.2","0.01543"
"7.5","302.1","0.2138","302.3","0.01705"
"8","290.3","0.2023","290.5","0.01874"
"8.5","279.5","0.1921","279.7","0.02049"
"9","269.6","0.1829","269.8","0.02232"
"9.5","260.4","0.1747","260.6","0.0242"
"10","251.9","0.1671","252","0.02615"
