"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","13.95","6.274","20.23","8.297E-05"
"0.0015","17.48","6.84","24.32","0.0001055"
"0.002","20.51","7.191","27.7","0.0001247"
"0.0025","23.22","7.423","30.64","0.0001418"
"0.003","25.69","7.582","33.27","0.0001575"
"0.004","30.15","7.767","37.91","0.0001856"
"0.005","34.13","7.847","41.97","0.0002106"
"0.006","37.77","7.867","45.63","0.0002334"
"0.007","41.14","7.85","48.99","0.0002545"
"0.008","44.31","7.81","52.12","0.0002743"
"0.009","47.31","7.754","55.06","0.000293"
"0.01","50.16","7.687","57.85","0.0003107"
"0.0125","56.78","7.495","64.28","0.0003516"
"0.015","62.83","7.29","70.12","0.0003888"
"0.0175","68.45","7.084","75.53","0.0004232"
"0.02","73.71","6.883","80.6","0.0004552"
"0.0225","78.69","6.691","85.38","0.0004853"
"0.025","83.43","6.508","89.94","0.0005138"
"0.0275","87.96","6.334","94.29","0.000541"
"0.03","92.3","6.17","98.47","0.0005669"
"0.035","100.5","5.868","106.4","0.0006157"
"0.04","108.2","5.597","113.8","0.0006611"
"0.045","115.5","5.354","120.9","0.0007038"
"0.05","122.4","5.133","127.6","0.000744"
"0.055","129","4.933","134","0.0007822"
"0.06","135.4","4.751","140.1","0.0008187"
"0.065","141.5","4.584","146.1","0.0008537"
"0.07","147.3","4.43","151.8","0.0008872"
"0.075","153","4.287","157.3","0.0009196"
"0.08","158.5","4.155","162.7","0.0009508"
"0.085","163.8","4.033","167.9","0.0009811"
"0.09","169","3.919","172.9","0.00101"
"0.095","174","3.812","177.9","0.001039"
"0.1","178.9","3.711","182.7","0.001067"
"0.125","201.7","3.29","205","0.001196"
"0.15","222.2","2.966","225.1","0.001312"
"0.175","240.7","2.709","243.4","0.001419"
"0.2","257.5","2.498","260","0.001518"
"0.225","273","2.322","275.3","0.001611"
"0.25","287.1","2.172","289.3","0.0017"
"0.275","300.1","2.042","302.2","0.001784"
"0.3","312.1","1.93","314","0.001866"
"0.35","333","1.742","334.8","0.00202"
"0.4","350.5","1.591","352.1","0.002165"
"0.45","364.9","1.467","366.3","0.002304"
"0.5","376.5","1.363","377.9","0.002439"
"0.55","385.8","1.262","387.1","0.002569"
"0.6","392.9","1.187","394.1","0.002697"
"0.65","398.3","1.12","399.4","0.002823"
"0.7","402","1.062","403.1","0.002948"
"0.75","404.4","1.01","405.4","0.003071"
"0.8","405.7","0.9632","406.7","0.003195"
"0.85","406","0.921","406.9","0.003317"
"0.9","405.6","0.8828","406.4","0.00344"
"0.95","404.4","0.8479","405.3","0.003564"
"1","402.8","0.816","403.6","0.003687"
"1.25","389.9","0.6892","390.6","0.004316"
"1.5","374","0.5991","374.6","0.00497"
"1.75","358.3","0.5315","358.8","0.005651"
"2","343.8","0.4786","344.3","0.006363"
"2.25","330.8","0.4361","331.2","0.007103"
"2.5","318.9","0.4011","319.3","0.007872"
"2.75","308.2","0.3717","308.6","0.008669"
"3","298.4","0.3466","298.8","0.009492"
"3.5","281.2","0.3061","281.5","0.01122"
"4","266.3","0.2746","266.6","0.01304"
"4.5","253.3","0.2494","253.5","0.01497"
"5","241.7","0.2288","241.9","0.01699"
"5.5","231.3","0.2115","231.5","0.0191"
"6","221.9","0.1969","222.1","0.02131"
"6.5","213.4","0.1842","213.5","0.0236"
"7","205.5","0.1732","205.7","0.02599"
"7.5","198.3","0.1635","198.5","0.02846"
"8","191.7","0.155","191.8","0.03103"
"8.5","185.5","0.1473","185.6","0.03368"
"9","179.8","0.1404","179.9","0.03641"
"9.5","174.4","0.1342","174.5","0.03924"
"10","169.4","0.1285","169.5","0.04214"
