"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","21.16","14.76","35.92","4.431E-05"
"0.0015","27.2","15.66","42.86","5.702E-05"
"0.002","32.51","16.12","48.63","6.794E-05"
"0.0025","37.33","16.35","53.68","7.772E-05"
"0.003","41.79","16.45","58.24","8.665E-05"
"0.004","49.94","16.43","66.37","0.0001027"
"0.005","57.35","16.25","73.59","0.000117"
"0.006","64.2","15.99","80.2","0.00013"
"0.007","70.63","15.7","86.34","0.000142"
"0.008","76.72","15.4","92.12","0.0001532"
"0.009","82.53","15.09","97.62","0.0001638"
"0.01","88.09","14.78","102.9","0.0001737"
"0.0125","101.1","14.05","115.2","0.0001967"
"0.015","113.2","13.38","126.6","0.0002174"
"0.0175","124.5","12.77","137.3","0.0002363"
"0.02","135.2","12.22","147.4","0.0002539"
"0.0225","145.3","11.72","157.1","0.0002703"
"0.025","155.1","11.27","166.3","0.0002858"
"0.0275","164.4","10.85","175.2","0.0003004"
"0.03","173.4","10.47","183.9","0.0003143"
"0.035","190.5","9.791","200.3","0.0003404"
"0.04","206.6","9.209","215.8","0.0003644"
"0.045","221.8","8.703","230.5","0.0003868"
"0.05","236.3","8.259","244.5","0.0004079"
"0.055","250","7.865","257.9","0.0004278"
"0.06","263.2","7.513","270.7","0.0004467"
"0.065","275.9","7.196","283.1","0.0004648"
"0.07","288","6.908","294.9","0.0004821"
"0.075","299.6","6.647","306.3","0.0004987"
"0.08","310.8","6.407","317.2","0.0005147"
"0.085","321.6","6.187","327.8","0.0005302"
"0.09","332","5.984","337.9","0.0005453"
"0.095","342","5.796","347.8","0.0005598"
"0.1","351.6","5.621","357.2","0.000574"
"0.125","395.1","4.901","400","0.0006401"
"0.15","431.9","4.364","436.2","0.0006998"
"0.175","463.2","3.946","467.2","0.0007551"
"0.2","490.2","3.61","493.8","0.0008071"
"0.225","513.6","3.333","516.9","0.0008566"
"0.25","534","3.099","537.1","0.000904"
"0.275","551.8","2.9","554.7","0.0009498"
"0.3","567.5","2.728","570.3","0.0009942"
"0.35","593.7","2.422","596.1","0.00108"
"0.4","614.1","2.199","616.3","0.001162"
"0.45","630","2.018","632","0.001242"
"0.5","642.3","1.867","644.2","0.001321"
"0.55","651.6","1.739","653.3","0.001398"
"0.6","658.4","1.629","660","0.001474"
"0.65","663.1","1.533","664.7","0.001549"
"0.7","666.1","1.449","667.6","0.001624"
"0.75","667.7","1.374","669.1","0.001699"
"0.8","668.1","1.308","669.4","0.001774"
"0.85","667.4","1.248","668.7","0.001849"
"0.9","665.9","1.194","667.1","0.001924"
"0.95","663.6","1.145","664.8","0.001999"
"1","660.8","1.1","661.9","0.002074"
"1.25","640.3","0.9227","641.3","0.002457"
"1.5","614.7","0.7981","615.5","0.002855"
"1.75","587.7","0.7053","588.4","0.00327"
"2","561.1","0.6332","561.7","0.003705"
"2.25","535.7","0.5754","536.3","0.004161"
"2.5","512","0.528","512.5","0.004638"
"2.75","489.9","0.4883","490.3","0.005137"
"3","469.4","0.4546","469.8","0.005658"
"3.5","432.8","0.4002","433.2","0.006767"
"4","401.5","0.3582","401.8","0.007966"
"4.5","374.4","0.3247","374.7","0.009255"
"5","350.8","0.2973","351.1","0.01063"
"5.5","330.1","0.2744","330.4","0.0121"
"6","311.9","0.255","312.1","0.01366"
"6.5","295.6","0.2384","295.9","0.01531"
"7","281.1","0.2239","281.3","0.01704"
"7.5","268","0.2112","268.2","0.01886"
"8","256.2","0.1999","256.4","0.02077"
"8.5","245.4","0.1899","245.6","0.02276"
"9","235.6","0.1808","235.7","0.02484"
"9.5","226.5","0.1727","226.7","0.027"
"10","218.2","0.1653","218.4","0.02925"
