"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","25.66","15.07","40.73","3.878E-05"
"0.0015","32.27","15.97","48.24","5.003E-05"
"0.002","37.98","16.42","54.4","5.977E-05"
"0.0025","43.09","16.64","59.73","6.853E-05"
"0.003","47.77","16.73","64.5","7.658E-05"
"0.004","56.21","16.68","72.9","9.114E-05"
"0.005","63.77","16.48","80.26","0.0001042"
"0.006","70.7","16.21","86.91","0.0001162"
"0.007","77.14","15.91","93.05","0.0001273"
"0.008","83.19","15.59","98.78","0.0001377"
"0.009","88.92","15.27","104.2","0.0001475"
"0.01","94.38","14.95","109.3","0.0001569"
"0.0125","107.1","14.19","121.3","0.0001786"
"0.015","118.7","13.5","132.2","0.0001983"
"0.0175","129.5","12.88","142.4","0.0002165"
"0.02","139.6","12.32","151.9","0.0002335"
"0.0225","149.2","11.8","161","0.0002495"
"0.025","158.3","11.34","169.7","0.0002646"
"0.0275","167.1","10.92","178","0.000279"
"0.03","175.5","10.53","186","0.0002927"
"0.035","191.4","9.839","201.2","0.0003186"
"0.04","206.3","9.25","215.5","0.0003426"
"0.045","220.3","8.738","229.1","0.0003651"
"0.05","233.7","8.288","242","0.0003863"
"0.055","246.4","7.89","254.3","0.0004065"
"0.06","258.7","7.534","266.2","0.0004257"
"0.065","270.4","7.214","277.6","0.0004441"
"0.07","281.7","6.924","288.6","0.0004617"
"0.075","292.6","6.66","299.3","0.0004787"
"0.08","303.2","6.419","309.6","0.0004951"
"0.085","313.4","6.197","319.6","0.000511"
"0.09","323.3","5.992","329.3","0.0005265"
"0.095","333","5.803","338.8","0.0005414"
"0.1","342.3","5.627","348","0.000556"
"0.125","385.6","4.903","390.5","0.0006237"
"0.15","423.9","4.364","428.3","0.0006848"
"0.175","458.1","3.945","462.1","0.0007409"
"0.2","488.8","3.607","492.4","0.0007933"
"0.225","516.4","3.329","519.7","0.0008427"
"0.25","541.1","3.096","544.2","0.0008897"
"0.275","563.3","2.896","566.2","0.0009347"
"0.3","583.2","2.724","585.9","0.0009781"
"0.35","616.7","2.417","619.2","0.001061"
"0.4","643","2.195","645.2","0.00114"
"0.45","663.1","2.013","665.1","0.001216"
"0.5","678","1.862","679.8","0.001291"
"0.55","688.5","1.734","690.3","0.001364"
"0.6","695.5","1.624","697.1","0.001436"
"0.65","699.6","1.528","701.1","0.001507"
"0.7","701.2","1.444","702.7","0.001578"
"0.75","701","1.37","702.4","0.001649"
"0.8","699.2","1.304","700.5","0.001721"
"0.85","696.2","1.244","697.5","0.001792"
"0.9","692.3","1.19","693.5","0.001864"
"0.95","687.6","1.141","688.7","0.001937"
"1","682.3","1.096","683.4","0.002009"
"1.25","651.7","0.9193","652.6","0.002384"
"1.5","619.4","0.795","620.2","0.002776"
"1.75","588.6","0.7024","589.3","0.00319"
"2","560.1","0.6305","560.8","0.003625"
"2.25","534.1","0.5729","534.7","0.004082"
"2.5","510.4","0.5257","511","0.00456"
"2.75","488.8","0.4861","489.3","0.00506"
"3","468.9","0.4525","469.4","0.005582"
"3.5","433.9","0.3984","434.3","0.00669"
"4","404","0.3565","404.4","0.007884"
"4.5","378.2","0.3231","378.5","0.009163"
"5","355.7","0.2958","356","0.01053"
"5.5","335.9","0.2731","336.1","0.01197"
"6","318.3","0.2538","318.5","0.0135"
"6.5","302.6","0.2372","302.8","0.01511"
"7","288.5","0.2228","288.7","0.0168"
"7.5","275.7","0.2101","275.9","0.01857"
"8","264.1","0.1989","264.3","0.02043"
"8.5","253.6","0.1889","253.7","0.02236"
"9","243.9","0.1799","244","0.02437"
"9.5","234.9","0.1718","235.1","0.02646"
"10","226.7","0.1644","226.8","0.02862"
