"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","19.64","11.5","31.14","5.223E-05"
"0.0015","25.52","12.29","37.8","6.677E-05"
"0.002","30.73","12.72","43.44","7.908E-05"
"0.0025","35.49","12.96","48.45","8.996E-05"
"0.003","39.92","13.09","53.01","9.981E-05"
"0.004","48.07","13.15","61.23","0.0001173"
"0.005","55.52","13.08","68.6","0.0001327"
"0.006","62.46","12.93","75.4","0.0001466"
"0.007","69","12.75","81.75","0.0001594"
"0.008","75.21","12.55","87.76","0.0001712"
"0.009","81.15","12.34","93.49","0.0001822"
"0.01","86.85","12.13","98.98","0.0001926"
"0.0125","100.3","11.6","111.9","0.0002163"
"0.015","112.8","11.1","123.9","0.0002375"
"0.0175","124.6","10.64","135.2","0.0002568"
"0.02","135.7","10.22","146","0.0002746"
"0.0225","146.4","9.832","156.2","0.0002912"
"0.025","156.6","9.476","166.1","0.0003067"
"0.0275","166.5","9.149","175.6","0.0003213"
"0.03","176","8.846","184.8","0.0003352"
"0.035","194.1","8.306","202.5","0.000361"
"0.04","211.3","7.838","219.1","0.0003847"
"0.045","227.6","7.428","235","0.0004068"
"0.05","243.1","7.065","250.1","0.0004274"
"0.055","257.9","6.742","264.6","0.0004468"
"0.06","272.1","6.452","278.5","0.0004652"
"0.065","285.7","6.19","291.9","0.0004828"
"0.07","298.7","5.951","304.7","0.0004995"
"0.075","311.3","5.734","317","0.0005156"
"0.08","323.4","5.534","328.9","0.0005311"
"0.085","335","5.35","340.3","0.000546"
"0.09","346.1","5.179","351.3","0.0005605"
"0.095","356.9","5.021","361.9","0.0005745"
"0.1","367.2","4.874","372.1","0.0005881"
"0.125","413.2","4.266","417.5","0.0006514"
"0.15","450.9","3.809","454.7","0.0007087"
"0.175","481.4","3.451","484.9","0.0007619"
"0.2","506.2","3.163","509.3","0.0008122"
"0.225","526.1","2.924","529","0.0008603"
"0.25","542.1","2.723","544.8","0.0009068"
"0.275","555","2.551","557.6","0.0009522"
"0.3","565.4","2.402","567.8","0.0009966"
"0.35","580.7","2.155","582.9","0.001083"
"0.4","590.8","1.942","592.8","0.001168"
"0.45","597.4","1.784","599.2","0.001252"
"0.5","601.5","1.652","603.1","0.001335"
"0.55","603.8","1.54","605.3","0.001418"
"0.6","604.7","1.443","606.1","0.001501"
"0.65","604.5","1.359","605.9","0.001583"
"0.7","603.5","1.286","604.8","0.001666"
"0.75","601.8","1.22","603","0.001749"
"0.8","599.5","1.162","600.6","0.001832"
"0.85","596.7","1.109","597.8","0.001915"
"0.9","593.6","1.062","594.7","0.001999"
"0.95","590.2","1.018","591.2","0.002083"
"1","586.4","0.9786","587.4","0.002168"
"1.25","565.4","0.8222","566.3","0.002601"
"1.5","542.7","0.712","543.4","0.003052"
"1.75","520.1","0.6297","520.7","0.003522"
"2","498.3","0.5657","498.8","0.004013"
"2.25","477.7","0.5144","478.2","0.004525"
"2.5","458.5","0.4722","459","0.005058"
"2.75","440.6","0.4369","441.1","0.005614"
"3","424","0.4069","424.4","0.006192"
"3.5","394.3","0.3585","394.6","0.007414"
"4","368.5","0.321","368.8","0.008726"
"4.5","346.1","0.2911","346.4","0.01013"
"5","326.3","0.2667","326.6","0.01161"
"5.5","308.9","0.2462","309.2","0.01319"
"6","293.4","0.2289","293.6","0.01485"
"6.5","279.5","0.214","279.7","0.01659"
"7","267","0.2011","267.2","0.01842"
"7.5","255.6","0.1897","255.8","0.02034"
"8","245.3","0.1796","245.4","0.02233"
"8.5","235.8","0.1706","236","0.02441"
"9","227.1","0.1625","227.3","0.02657"
"9.5","219.1","0.1552","219.3","0.02881"
"10","211.7","0.1486","211.8","0.03113"
