"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","71.09","42.56","113.7","1.037E-05"
"0.0015","86.78","43.07","129.8","1.447E-05"
"0.002","99.96","42.71","142.7","1.814E-05"
"0.0025","111.6","42.01","153.6","2.151E-05"
"0.003","122","41.16","163.2","2.467E-05"
"0.004","140.6","39.33","179.9","3.05E-05"
"0.005","156.9","37.53","194.4","3.584E-05"
"0.006","171.6","35.85","207.4","4.082E-05"
"0.007","185.1","34.31","219.4","4.55E-05"
"0.008","197.6","32.91","230.5","4.995E-05"
"0.009","209.4","31.62","241","5.419E-05"
"0.01","220.5","30.45","251","5.825E-05"
"0.0125","246.1","27.9","274","6.778E-05"
"0.015","269.1","25.81","294.9","7.657E-05"
"0.0175","290.2","24.05","314.3","8.478E-05"
"0.02","309.9","22.56","332.4","9.251E-05"
"0.0225","328.2","21.26","349.5","9.984E-05"
"0.025","345.6","20.13","365.7","0.0001068"
"0.0275","362.1","19.13","381.2","0.0001135"
"0.03","377.8","18.25","396.1","0.00012"
"0.035","407.3","16.73","424","0.0001322"
"0.04","434.6","15.48","450.1","0.0001436"
"0.045","460.2","14.43","474.6","0.0001544"
"0.05","484.2","13.53","497.8","0.0001647"
"0.055","507","12.75","519.8","0.0001745"
"0.06","528.7","12.07","540.7","0.0001839"
"0.065","549.3","11.46","560.8","0.000193"
"0.07","569.1","10.93","580","0.0002018"
"0.075","588.1","10.44","598.5","0.0002103"
"0.08","606.3","10.01","616.3","0.0002185"
"0.085","623.9","9.609","633.5","0.0002265"
"0.09","640.8","9.246","650.1","0.0002343"
"0.095","657.2","8.913","666.1","0.0002419"
"0.1","673","8.606","681.6","0.0002493"
"0.125","745.3","7.37","752.7","0.0002842"
"0.15","808","6.415","814.5","0.0003161"
"0.175","863.1","5.74","868.8","0.0003458"
"0.2","911.7","5.206","916.9","0.0003738"
"0.225","954.7","4.771","959.5","0.0004004"
"0.25","992.8","4.409","997.2","0.0004259"
"0.275","1027","4.103","1031","0.0004506"
"0.3","1056","3.841","1060","0.0004745"
"0.35","1105","3.413","1109","0.0005206"
"0.4","1143","3.078","1146","0.0005649"
"0.45","1170","2.808","1173","0.000608"
"0.5","1189","2.585","1191","0.0006503"
"0.55","1201","2.397","1203","0.000692"
"0.6","1207","2.237","1209","0.0007335"
"0.65","1208","2.099","1210","0.0007748"
"0.7","1205","1.978","1207","0.0008162"
"0.75","1200","1.871","1202","0.0008577"
"0.8","1192","1.776","1194","0.0008994"
"0.85","1182","1.691","1183","0.0009415"
"0.9","1170","1.615","1172","0.0009839"
"0.95","1158","1.545","1159","0.001027"
"1","1144","1.482","1146","0.00107"
"1.25","1072","1.235","1073","0.001296"
"1.5","1001","1.062","1002","0.001537"
"1.75","937.4","0.9347","938.3","0.001795"
"2","881.1","0.8361","881.9","0.00207"
"2.25","831.6","0.7576","832.3","0.002361"
"2.5","787.9","0.6934","788.6","0.00267"
"2.75","749.2","0.6398","749.9","0.002995"
"3","714.6","0.5945","715.2","0.003337"
"3.5","655.3","0.5216","655.8","0.004068"
"4","606.2","0.4656","606.6","0.004861"
"4.5","564.7","0.421","565.1","0.005716"
"5","529.1","0.3847","529.5","0.00663"
"5.5","498.2","0.3545","498.5","0.007604"
"6","471","0.3289","471.3","0.008636"
"6.5","446.9","0.307","447.2","0.009726"
"7","425.4","0.2879","425.7","0.01087"
"7.5","406.1","0.2713","406.3","0.01207"
"8","388.5","0.2565","388.8","0.01333"
"8.5","372.6","0.2434","372.9","0.01465"
"9","358.1","0.2316","358.3","0.01601"
"9.5","344.7","0.221","344.9","0.01744"
"10","332.4","0.2113","332.6","0.01891"
