"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","35.59","20.5","56.1","2.571E-05"
"0.0015","43.76","21.39","65.15","3.396E-05"
"0.002","50.67","21.74","72.41","4.123E-05"
"0.0025","56.77","21.81","78.58","4.785E-05"
"0.003","62.3","21.74","84.04","5.399E-05"
"0.004","72.13","21.37","93.5","6.526E-05"
"0.005","80.81","20.86","101.7","7.55E-05"
"0.006","88.68","20.31","109","8.499E-05"
"0.007","95.92","19.76","115.7","9.389E-05"
"0.008","102.7","19.21","121.9","0.0001023"
"0.009","109","18.69","127.7","0.0001103"
"0.01","115","18.19","133.2","0.000118"
"0.0125","128.9","17.05","145.9","0.0001359"
"0.015","141.4","16.05","157.4","0.0001524"
"0.0175","152.9","15.18","168.1","0.0001677"
"0.02","163.7","14.41","178.1","0.0001822"
"0.0225","173.7","13.72","187.5","0.0001959"
"0.025","183.3","13.11","196.4","0.0002089"
"0.0275","192.4","12.56","204.9","0.0002214"
"0.03","201.1","12.06","213.1","0.0002333"
"0.035","217.4","11.19","228.6","0.000256"
"0.04","232.6","10.45","243","0.0002772"
"0.045","246.8","9.822","256.6","0.0002972"
"0.05","260.3","9.275","269.5","0.0003162"
"0.055","273","8.795","281.8","0.0003343"
"0.06","285.2","8.369","293.6","0.0003517"
"0.065","296.8","7.989","304.8","0.0003684"
"0.07","308","7.646","315.7","0.0003845"
"0.075","318.8","7.337","326.1","0.0004001"
"0.08","329.1","7.055","336.2","0.0004152"
"0.085","339.1","6.796","345.9","0.0004299"
"0.09","348.8","6.559","355.3","0.0004441"
"0.095","358.1","6.34","364.5","0.000458"
"0.1","367.2","6.138","373.4","0.0004716"
"0.125","408.9","5.312","414.2","0.0005351"
"0.15","445.4","4.704","450.1","0.0005929"
"0.175","477.7","4.234","481.9","0.0006465"
"0.2","506.5","3.859","510.3","0.0006969"
"0.225","532.2","3.552","535.7","0.0007447"
"0.25","555.1","3.265","558.4","0.0007904"
"0.275","575.5","3.049","578.6","0.0008343"
"0.3","593.7","2.862","596.6","0.0008769"
"0.35","624","2.556","626.5","0.0009586"
"0.4","647.2","2.314","649.5","0.001037"
"0.45","664.5","2.118","666.6","0.001113"
"0.5","676.7","1.955","678.7","0.001187"
"0.55","684.8","1.818","686.6","0.00126"
"0.6","689.4","1.7","691.1","0.001333"
"0.65","691.3","1.598","692.9","0.001405"
"0.7","691","1.508","692.5","0.001477"
"0.75","688.9","1.429","690.3","0.00155"
"0.8","685.4","1.359","686.7","0.001622"
"0.85","680.9","1.295","682.2","0.001695"
"0.9","675.6","1.238","676.8","0.001769"
"0.95","669.7","1.186","670.9","0.001843"
"1","663.5","1.139","664.6","0.001918"
"1.25","630.1","0.9528","631","0.002304"
"1.5","598.1","0.8223","598.9","0.002711"
"1.75","569.4","0.7253","570.2","0.003139"
"2","544.2","0.6502","544.9","0.003587"
"2.25","521.9","0.5902","522.5","0.004056"
"2.5","501.9","0.541","502.5","0.004544"
"2.75","483.9","0.4999","484.4","0.005051"
"3","467.5","0.465","468","0.005576"
"3.5","438.7","0.4088","439.1","0.00668"
"4","413.8","0.3655","414.2","0.007853"
"4.5","392.1","0.331","392.4","0.009094"
"5","372.9","0.3028","373.2","0.0104"
"5.5","355.7","0.2793","356","0.01177"
"6","340.2","0.2594","340.5","0.01321"
"6.5","326.2","0.2423","326.5","0.01471"
"7","313.5","0.2275","313.7","0.01627"
"7.5","301.8","0.2144","302","0.0179"
"8","291","0.2029","291.2","0.01958"
"8.5","281.1","0.1926","281.3","0.02133"
"9","271.9","0.1834","272.1","0.02314"
"9.5","263.4","0.1751","263.5","0.02501"
"10","255.4","0.1675","255.6","0.02693"
