"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","24.6","15.8","40.39","3.891E-05"
"0.0015","31.57","16.72","48.28","5.02E-05"
"0.002","37.68","17.17","54.85","5.99E-05"
"0.0025","43.22","17.39","60.61","6.856E-05"
"0.003","48.35","17.47","65.82","7.646E-05"
"0.004","57.71","17.4","75.11","9.066E-05"
"0.005","66.2","17.17","83.37","0.0001033"
"0.006","74.05","16.88","90.93","0.0001148"
"0.007","81.42","16.54","97.96","0.0001253"
"0.008","88.38","16.2","104.6","0.0001352"
"0.009","95.02","15.86","110.9","0.0001445"
"0.01","101.4","15.52","116.9","0.0001533"
"0.0125","116.3","14.72","131","0.0001735"
"0.015","130","13.99","144","0.0001916"
"0.0175","143","13.33","156.3","0.0002083"
"0.02","155.1","12.74","167.9","0.0002237"
"0.0225","166.8","12.21","179","0.0002381"
"0.025","177.9","11.72","189.6","0.0002517"
"0.0275","188.5","11.28","199.8","0.0002646"
"0.03","198.8","10.87","209.7","0.0002768"
"0.035","218.4","10.15","228.6","0.0002996"
"0.04","236.9","9.54","246.4","0.0003206"
"0.045","254.4","9.007","263.4","0.0003403"
"0.05","271.1","8.54","279.6","0.0003587"
"0.055","287.1","8.127","295.2","0.0003761"
"0.06","302.4","7.758","310.2","0.0003926"
"0.065","317.2","7.426","324.6","0.0004083"
"0.07","331.4","7.126","338.5","0.0004234"
"0.075","345.1","6.853","352","0.0004379"
"0.08","358.4","6.603","365","0.0004519"
"0.085","371.3","6.374","377.6","0.0004653"
"0.09","383.7","6.162","389.9","0.0004784"
"0.095","395.8","5.966","401.8","0.000491"
"0.1","407.5","5.784","413.3","0.0005033"
"0.125","461.2","5.037","466.2","0.0005601"
"0.15","507.6","4.481","512.1","0.0006112"
"0.175","547.9","4.049","552","0.0006582"
"0.2","582.8","3.701","586.5","0.0007021"
"0.225","612.8","3.415","616.2","0.0007436"
"0.25","638.6","3.175","641.8","0.0007834"
"0.275","660.5","2.97","663.5","0.0008217"
"0.3","679.2","2.766","681.9","0.0008588"
"0.35","708","2.478","710.5","0.0009306"
"0.4","728","2.249","730.3","0.0009999"
"0.45","741.3","2.063","743.4","0.001068"
"0.5","749.7","1.907","751.6","0.001135"
"0.55","754.3","1.776","756.1","0.001201"
"0.6","756.2","1.663","757.9","0.001267"
"0.65","756","1.565","757.6","0.001333"
"0.7","754.3","1.479","755.7","0.001399"
"0.75","751.3","1.403","752.7","0.001465"
"0.8","747.4","1.334","748.7","0.001532"
"0.85","742.8","1.273","744.1","0.001599"
"0.9","737.7","1.218","738.9","0.001666"
"0.95","732.1","1.168","733.3","0.001734"
"1","726.2","1.122","727.4","0.001803"
"1.25","694.2","0.9406","695.2","0.002154"
"1.5","661.2","0.8132","662","0.002523"
"1.75","629.3","0.7184","630","0.00291"
"2","599.3","0.6448","599.9","0.003316"
"2.25","571.5","0.5858","572","0.003743"
"2.5","545.8","0.5375","546.3","0.004191"
"2.75","522.2","0.497","522.7","0.004659"
"3","500.5","0.4626","500.9","0.005147"
"3.5","462","0.4072","462.4","0.006187"
"4","429.1","0.3644","429.5","0.00731"
"4.5","400.7","0.3302","401.1","0.008515"
"5","376.1","0.3023","376.4","0.009803"
"5.5","354.4","0.279","354.7","0.01117"
"6","335.3","0.2593","335.6","0.01262"
"6.5","318.3","0.2423","318.5","0.01415"
"7","303","0.2276","303.2","0.01576"
"7.5","289.2","0.2146","289.5","0.01745"
"8","276.8","0.2032","277","0.01922"
"8.5","265.4","0.193","265.6","0.02106"
"9","255","0.1838","255.2","0.02298"
"9.5","245.5","0.1755","245.7","0.02498"
"10","236.7","0.168","236.8","0.02705"
