"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","13.62","4.492","18.11","9.261E-05"
"0.0015","17.33","4.942","22.27","0.0001174"
"0.002","20.56","5.231","25.79","0.0001383"
"0.0025","23.48","5.431","28.91","0.0001565"
"0.003","26.17","5.575","31.74","0.000173"
"0.004","31.05","5.758","36.81","0.0002022"
"0.005","35.46","5.858","41.31","0.0002278"
"0.006","39.51","5.908","45.42","0.0002509"
"0.007","43.31","5.927","49.23","0.000272"
"0.008","46.89","5.924","52.81","0.0002916"
"0.009","50.29","5.907","56.19","0.00031"
"0.01","53.54","5.88","59.42","0.0003273"
"0.0125","61.13","5.784","66.91","0.0003669"
"0.015","68.13","5.667","73.79","0.0004024"
"0.0175","74.66","5.542","80.2","0.0004349"
"0.02","80.82","5.415","86.23","0.0004649"
"0.0225","86.67","5.29","91.96","0.000493"
"0.025","92.27","5.168","97.43","0.0005194"
"0.0275","97.63","5.05","102.7","0.0005444"
"0.03","102.8","4.937","107.7","0.0005681"
"0.035","112.6","4.726","117.4","0.0006126"
"0.04","121.9","4.532","126.4","0.0006536"
"0.045","130.7","4.355","135","0.0006918"
"0.05","139.1","4.193","143.3","0.0007278"
"0.055","147.1","4.045","151.2","0.0007617"
"0.06","154.8","3.908","158.7","0.000794"
"0.065","162.3","3.781","166.1","0.0008248"
"0.07","169.5","3.664","173.2","0.0008543"
"0.075","176.5","3.555","180","0.0008826"
"0.08","183.3","3.454","186.7","0.0009099"
"0.085","189.8","3.359","193.2","0.0009362"
"0.09","196.3","3.27","199.5","0.0009616"
"0.095","202.5","3.186","205.7","0.0009863"
"0.1","208.6","3.107","211.7","0.00101"
"0.125","237","2.774","239.8","0.001121"
"0.15","262.7","2.514","265.2","0.00122"
"0.175","286","2.305","288.3","0.00131"
"0.2","307.3","2.133","309.4","0.001394"
"0.225","326.8","1.988","328.8","0.001472"
"0.25","344.7","1.864","346.6","0.001546"
"0.275","361.1","1.757","362.9","0.001617"
"0.3","376.2","1.663","377.9","0.001684"
"0.35","402.5","1.506","404","0.001812"
"0.4","424.3","1.379","425.7","0.001933"
"0.45","441.9","1.274","443.2","0.002048"
"0.5","455.9","1.186","457.1","0.002159"
"0.55","466.7","1.111","467.8","0.002267"
"0.6","474.6","1.045","475.7","0.002373"
"0.65","480.1","0.988","481.1","0.002477"
"0.7","483.4","0.9287","484.3","0.002581"
"0.75","484.8","0.8842","485.7","0.002684"
"0.8","484.8","0.8441","485.6","0.002787"
"0.85","483.4","0.808","484.2","0.00289"
"0.9","481","0.7751","481.7","0.002993"
"0.95","477.7","0.745","478.4","0.003097"
"1","473.7","0.7175","474.4","0.003202"
"1.25","448","0.6077","448.6","0.003744"
"1.5","419.7","0.5294","420.3","0.004319"
"1.75","393.3","0.4704","393.8","0.004934"
"2","370","0.4242","370.4","0.005589"
"2.25","349.7","0.387","350.1","0.006284"
"2.5","332.1","0.3563","332.4","0.007017"
"2.75","316.6","0.3304","317","0.007787"
"3","303.1","0.3084","303.4","0.008594"
"3.5","280.2","0.2726","280.4","0.01031"
"4","261.4","0.2449","261.7","0.01216"
"4.5","245.7","0.2226","245.9","0.01413"
"5","232.2","0.2043","232.4","0.01622"
"5.5","220.5","0.189","220.7","0.01843"
"6","210.1","0.176","210.3","0.02075"
"6.5","200.9","0.1648","201","0.02319"
"7","192.5","0.155","192.7","0.02573"
"7.5","185","0.1464","185.2","0.02837"
"8","178.1","0.1388","178.3","0.03113"
"8.5","171.8","0.132","171.9","0.03398"
"9","166","0.1259","166.1","0.03694"
"9.5","160.6","0.1203","160.8","0.04"
"10","155.6","0.1153","155.8","0.04316"
