"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","13.2","4.322","17.52","9.722E-05"
"0.0015","16.72","4.763","21.48","0.0001227"
"0.002","19.77","5.048","24.82","0.0001443"
"0.0025","22.52","5.244","27.76","0.0001633"
"0.003","25.04","5.385","30.43","0.0001805"
"0.004","29.61","5.562","35.18","0.000211"
"0.005","33.73","5.656","39.38","0.0002378"
"0.006","37.51","5.702","43.21","0.000262"
"0.007","41.03","5.717","46.75","0.0002843"
"0.008","44.35","5.712","50.06","0.0003049"
"0.009","47.5","5.693","53.19","0.0003243"
"0.01","50.51","5.665","56.17","0.0003426"
"0.0125","57.52","5.57","63.09","0.0003845"
"0.015","63.96","5.458","69.42","0.0004223"
"0.0175","69.97","5.341","75.31","0.0004568"
"0.02","75.62","5.223","80.85","0.0004888"
"0.0225","80.99","5.108","86.1","0.0005188"
"0.025","86.11","4.996","91.1","0.000547"
"0.0275","91.01","4.889","95.9","0.0005738"
"0.03","95.73","4.786","100.5","0.0005992"
"0.035","104.7","4.594","109.3","0.0006469"
"0.04","113.1","4.418","117.6","0.000691"
"0.045","121.1","4.258","125.4","0.0007321"
"0.05","128.7","4.11","132.9","0.0007709"
"0.055","136","3.975","140","0.0008075"
"0.06","143","3.849","146.9","0.0008424"
"0.065","149.8","3.733","153.5","0.0008756"
"0.07","156.3","3.625","160","0.0009075"
"0.075","162.6","3.524","166.2","0.0009382"
"0.08","168.8","3.43","172.2","0.0009678"
"0.085","174.7","3.341","178.1","0.0009963"
"0.09","180.5","3.258","183.8","0.001024"
"0.095","186.2","3.18","189.3","0.001051"
"0.1","191.7","3.106","194.8","0.001077"
"0.125","217.4","2.789","220.1","0.001197"
"0.15","240.5","2.54","243","0.001305"
"0.175","261.5","2.337","263.9","0.001404"
"0.2","280.8","2.169","283","0.001495"
"0.225","298.5","2.026","300.6","0.001581"
"0.25","314.8","1.903","316.7","0.001662"
"0.275","329.8","1.796","331.6","0.001739"
"0.3","343.7","1.702","345.4","0.001813"
"0.35","368","1.544","369.6","0.001953"
"0.4","388.4","1.416","389.9","0.002084"
"0.45","405.3","1.31","406.6","0.00221"
"0.5","419","1.22","420.2","0.002331"
"0.55","429.8","1.143","431","0.002448"
"0.6","438.1","1.076","439.2","0.002563"
"0.65","444.2","1.017","445.3","0.002676"
"0.7","448.4","0.9655","449.3","0.002788"
"0.75","450.8","0.9191","451.7","0.002899"
"0.8","451.8","0.8775","452.7","0.003009"
"0.85","451.6","0.8398","452.4","0.00312"
"0.9","450.3","0.8056","451.1","0.00323"
"0.95","448.2","0.7743","449","0.003341"
"1","445.4","0.7456","446.1","0.003453"
"1.25","420","0.6313","420.6","0.004029"
"1.5","390.1","0.5498","390.7","0.004645"
"1.75","362.9","0.4883","363.4","0.005309"
"2","339.6","0.4402","340","0.006021"
"2.25","319.8","0.4014","320.2","0.006779"
"2.5","303.1","0.3694","303.5","0.007582"
"2.75","288.9","0.3425","289.2","0.008426"
"3","276.7","0.3196","277","0.00931"
"3.5","256.9","0.2824","257.2","0.01119"
"4","241.7","0.2535","242","0.01319"
"4.5","229.4","0.2303","229.6","0.01531"
"5","218.6","0.2113","218.8","0.01755"
"5.5","209.1","0.1954","209.3","0.01988"
"6","200.6","0.1819","200.8","0.02232"
"6.5","193","0.1702","193.2","0.02486"
"7","186.1","0.1601","186.2","0.0275"
"7.5","179.8","0.1512","179.9","0.03023"
"8","174","0.1433","174.1","0.03306"
"8.5","168.6","0.1362","168.8","0.03597"
"9","163.7","0.1298","163.8","0.03898"
"9.5","159.1","0.1241","159.2","0.04208"
"10","154.8","0.1188","155","0.04526"
