"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","18.11","10.29","28.4","5.664E-05"
"0.0015","23.3","11.02","34.32","7.249E-05"
"0.002","27.86","11.43","39.28","8.608E-05"
"0.0025","31.99","11.66","43.65","9.814E-05"
"0.003","35.83","11.78","47.61","0.0001091"
"0.004","42.84","11.85","54.69","0.0001287"
"0.005","49.2","11.79","60.99","0.0001459"
"0.006","55.1","11.67","66.77","0.0001616"
"0.007","60.63","11.52","72.15","0.000176"
"0.008","65.87","11.35","77.22","0.0001894"
"0.009","70.87","11.17","82.04","0.0002019"
"0.01","75.65","10.99","86.64","0.0002138"
"0.0125","86.89","10.55","97.44","0.000241"
"0.015","97.3","10.14","107.4","0.0002654"
"0.0175","107.1","9.754","116.8","0.0002877"
"0.02","116.3","9.401","125.7","0.0003083"
"0.0225","125.1","9.076","134.2","0.0003276"
"0.025","133.5","8.777","142.3","0.0003456"
"0.0275","141.7","8.5","150.2","0.0003627"
"0.03","149.5","8.243","157.7","0.000379"
"0.035","164.4","7.781","172.2","0.0004093"
"0.04","178.6","7.378","186","0.0004372"
"0.045","192","7.021","199.1","0.0004632"
"0.05","204.9","6.703","211.6","0.0004875"
"0.055","217.3","6.417","223.7","0.0005105"
"0.06","229.2","6.159","235.3","0.0005323"
"0.065","240.7","5.925","246.6","0.000553"
"0.07","251.8","5.71","257.5","0.0005729"
"0.075","262.6","5.513","268.2","0.0005919"
"0.08","273.1","5.331","278.5","0.0006102"
"0.085","283.4","5.163","288.5","0.0006278"
"0.09","293.3","5.007","298.3","0.0006449"
"0.095","303","4.861","307.9","0.0006614"
"0.1","312.5","4.725","317.2","0.0006774"
"0.125","356.7","4.158","360.9","0.0007511"
"0.15","396.5","3.727","400.2","0.0008168"
"0.175","432.5","3.386","435.9","0.0008766"
"0.2","465.2","3.109","468.3","0.0009319"
"0.225","494.9","2.879","497.8","0.0009836"
"0.25","521.8","2.684","524.5","0.001033"
"0.275","546.1","2.517","548.6","0.001079"
"0.3","567.9","2.372","570.3","0.001124"
"0.35","604.7","2.13","606.8","0.001209"
"0.4","633.2","1.938","635.2","0.001289"
"0.45","654.5","1.781","656.3","0.001367"
"0.5","669.3","1.649","671","0.001442"
"0.55","678.8","1.538","680.3","0.001516"
"0.6","683.6","1.442","685","0.001589"
"0.65","684.6","1.358","685.9","0.001662"
"0.7","682.5","1.284","683.8","0.001735"
"0.75","678","1.219","679.3","0.001808"
"0.8","671.7","1.161","672.8","0.001882"
"0.85","663.9","1.108","665","0.001957"
"0.9","655.1","1.061","656.1","0.002033"
"0.95","645.6","1.017","646.6","0.002109"
"1","635.6","0.9776","636.6","0.002187"
"1.25","584.6","0.8212","585.4","0.002597"
"1.5","538.7","0.7109","539.4","0.003042"
"1.75","500.4","0.6285","501","0.003523"
"2","468.8","0.5644","469.4","0.00404"
"2.25","446.7","0.5131","447.2","0.004586"
"2.5","430.5","0.4709","430.9","0.005156"
"2.75","417.1","0.4356","417.5","0.005745"
"3","405.3","0.4056","405.7","0.006353"
"3.5","383.9","0.3571","384.3","0.00762"
"4","364","0.3197","364.3","0.008956"
"4.5","344.9","0.2898","345.2","0.01037"
"5","326.8","0.2653","327","0.01185"
"5.5","309.7","0.2449","310","0.01343"
"6","294.6","0.2276","294.8","0.01508"
"6.5","281.3","0.2128","281.5","0.01682"
"7","269.5","0.1998","269.7","0.01863"
"7.5","258.7","0.1885","258.9","0.02052"
"8","248.8","0.1784","248.9","0.02249"
"8.5","239.6","0.1695","239.8","0.02454"
"9","231.1","0.1614","231.3","0.02666"
"9.5","223.2","0.1541","223.4","0.02887"
"10","216.2","0.1475","216.4","0.03114"
