"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","78.64","17.87","96.51","1.554E-05"
"0.0015","92.32","18.81","111.1","2.036E-05"
"0.002","103.4","19.23","122.7","2.463E-05"
"0.0025","113","19.4","132.4","2.855E-05"
"0.003","121.4","19.43","140.9","3.221E-05"
"0.004","136.1","19.25","155.3","3.896E-05"
"0.005","148.6","18.91","167.5","4.515E-05"
"0.006","159.7","18.52","178.2","5.093E-05"
"0.007","169.8","18.09","187.8","5.639E-05"
"0.008","179","17.67","196.6","6.159E-05"
"0.009","187.5","17.25","204.7","6.658E-05"
"0.01","195.4","16.84","212.3","7.137E-05"
"0.0125","213.5","15.9","229.3","8.269E-05"
"0.015","229.4","15.05","244.4","9.324E-05"
"0.0175","243.8","14.29","258.1","0.0001032"
"0.02","256.9","13.62","270.6","0.0001126"
"0.0225","269.1","13.02","282.2","0.0001217"
"0.025","280.5","12.47","293","0.0001304"
"0.0275","291.3","11.98","303.2","0.0001388"
"0.03","301.4","11.53","312.9","0.0001469"
"0.035","320.2","10.74","330.9","0.0001624"
"0.04","337.4","10.06","347.4","0.0001772"
"0.045","353.3","9.482","362.8","0.0001912"
"0.05","368.1","8.974","377.1","0.0002048"
"0.055","382","8.527","390.5","0.0002178"
"0.06","395.1","8.129","403.3","0.0002304"
"0.065","407.6","7.772","415.3","0.0002426"
"0.07","419.4","7.45","426.8","0.0002545"
"0.075","430.7","7.157","437.8","0.000266"
"0.08","441.4","6.89","448.3","0.0002773"
"0.085","451.8","6.645","458.4","0.0002883"
"0.09","461.7","6.42","468.1","0.0002991"
"0.095","471.3","6.211","477.5","0.0003097"
"0.1","480.5","6.018","486.5","0.0003201"
"0.125","522.3","5.227","527.5","0.0003694"
"0.15","558.1","4.641","562.8","0.0004152"
"0.175","589.5","4.186","593.7","0.0004584"
"0.2","617.2","3.822","621","0.0004996"
"0.225","641.8","3.523","645.4","0.0005391"
"0.25","663.8","3.272","667.1","0.0005772"
"0.275","683.5","3.03","686.5","0.0006141"
"0.3","701.1","2.847","703.9","0.00065"
"0.35","730.8","2.547","733.4","0.0007196"
"0.4","754.4","2.309","756.7","0.0007866"
"0.45","772.8","2.116","774.9","0.0008519"
"0.5","786.7","1.955","788.7","0.0009158"
"0.55","796.8","1.819","798.6","0.0009788"
"0.6","803.6","1.703","805.3","0.001041"
"0.65","807.5","1.602","809.1","0.001103"
"0.7","809","1.513","810.5","0.001165"
"0.75","808.4","1.434","809.8","0.001227"
"0.8","806","1.364","807.4","0.001288"
"0.85","802.1","1.301","803.4","0.00135"
"0.9","797","1.244","798.3","0.001413"
"0.95","790.9","1.192","792.1","0.001476"
"1","783.9","1.145","785.1","0.001539"
"1.25","741.5","0.9593","742.4","0.001866"
"1.5","695","0.8288","695.8","0.002214"
"1.75","650.7","0.7317","651.4","0.002585"
"2","610.7","0.6564","611.4","0.002982"
"2.25","575.5","0.5961","576.1","0.003403"
"2.5","544.8","0.5467","545.3","0.00385"
"2.75","517.9","0.5054","518.4","0.00432"
"3","494.2","0.4703","494.7","0.004814"
"3.5","454.7","0.4137","455.1","0.005869"
"4","422.9","0.3701","423.3","0.007009"
"4.5","396.6","0.3353","397","0.00823"
"5","374.4","0.3068","374.7","0.009527"
"5.5","355.3","0.2831","355.6","0.0109"
"6","338.5","0.263","338.8","0.01234"
"6.5","323.7","0.2458","323.9","0.01385"
"7","310.4","0.2308","310.6","0.01543"
"7.5","298.4","0.2176","298.6","0.01707"
"8","287.5","0.206","287.7","0.01877"
"8.5","277.5","0.1956","277.7","0.02054"
"9","268.4","0.1863","268.5","0.02237"
"9.5","259.9","0.1778","260.1","0.02427"
"10","252","0.1702","252.2","0.02622"
