"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","266700","6.97","266700","7.433E-09"
"0.0015","305600","7.572","305600","9.178E-09"
"0.002","330700","7.939","330700","1.075E-08"
"0.0025","346300","8.177","346300","1.222E-08"
"0.003","355000","8.336","355000","1.364E-08"
"0.004","358700","8.512","358700","1.644E-08"
"0.005","351000","8.577","351000","1.925E-08"
"0.006","337400","8.578","337500","2.215E-08"
"0.007","321100","8.542","321100","2.519E-08"
"0.008","303700","8.482","303700","2.839E-08"
"0.009","286500","8.407","286500","3.178E-08"
"0.01","269900","8.322","269900","3.538E-08"
"0.0125","232700","8.087","232700","4.537E-08"
"0.015","202000","7.843","202000","5.692E-08"
"0.0175","177100","7.602","177100","7.016E-08"
"0.02","156700","7.372","156700","8.519E-08"
"0.0225","139900","7.152","139900","1.021E-07"
"0.025","125900","6.945","125900","1.21E-07"
"0.0275","114100","6.75","114100","1.418E-07"
"0.03","104100","6.566","104100","1.648E-07"
"0.035","88060","6.23","88070","2.172E-07"
"0.04","75880","5.93","75890","2.785E-07"
"0.045","66360","5.662","66370","3.491E-07"
"0.05","58750","5.421","58760","4.293E-07"
"0.055","52540","5.203","52550","5.194E-07"
"0.06","47400","5.004","47410","6.196E-07"
"0.065","43080","4.823","43080","7.304E-07"
"0.07","39400","4.656","39410","8.518E-07"
"0.075","36240","4.503","36250","9.842E-07"
"0.08","33500","4.361","33500","1.128E-06"
"0.085","31100","4.229","31100","1.283E-06"
"0.09","28980","4.106","28990","1.449E-06"
"0.095","27110","3.992","27110","1.628E-06"
"0.1","25440","3.884","25440","1.818E-06"
"0.125","19220","3.435","19230","2.958E-06"
"0.15","15240","3.091","15240","4.427E-06"
"0.175","12500","2.819","12500","6.245E-06"
"0.2","10510","2.596","10510","8.432E-06"
"0.225","9013","2.41","9015","1.101E-05"
"0.25","7848","2.253","7850","1.398E-05"
"0.275","6920","2.117","6922","1.738E-05"
"0.3","6167","1.999","6169","2.121E-05"
"0.35","5024","1.802","5026","3.023E-05"
"0.4","4205","1.645","4206","4.114E-05"
"0.45","3593","1.515","3595","5.403E-05"
"0.5","3123","1.407","3124","6.898E-05"
"0.55","2752","1.302","2753","8.606E-05"
"0.6","2454","1.224","2455","0.0001053"
"0.65","2209","1.155","2211","0.0001268"
"0.7","2007","1.094","2008","0.0001506"
"0.75","1836","1.04","1837","0.0001766"
"0.8","1692","0.9917","1693","0.000205"
"0.85","1568","0.948","1569","0.0002357"
"0.9","1460","0.9084","1461","0.0002688"
"0.95","1367","0.8723","1368","0.0003041"
"1","1285","0.8392","1285","0.0003419"
"1.25","992.6","0.7081","993.3","0.0005651"
"1.5","816.9","0.6151","817.5","0.0008442"
"1.75","701.3","0.5453","701.9","0.001175"
"2","620.1","0.4909","620.6","0.001555"
"2.25","559.9","0.4471","560.3","0.00198"
"2.5","513.4","0.411","513.8","0.002447"
"2.75","476.3","0.3808","476.7","0.002952"
"3","445.9","0.355","446.2","0.003495"
"3.5","398.5","0.3134","398.9","0.004683"
"4","363","0.2811","363.2","0.005999"
"4.5","334.9","0.2552","335.2","0.007433"
"5","312","0.234","312.2","0.00898"
"5.5","292.7","0.2163","293","0.01063"
"6","276.3","0.2013","276.5","0.01239"
"6.5","262","0.1883","262.2","0.01425"
"7","249.4","0.177","249.6","0.01621"
"7.5","238.2","0.1671","238.4","0.01826"
"8","228.2","0.1583","228.3","0.0204"
"8.5","219.1","0.1505","219.2","0.02264"
"9","210.8","0.1434","211","0.02496"
"9.5","203.3","0.1371","203.4","0.02738"
"10","196.4","0.1313","196.5","0.02988"
