"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","28.68","27.05","55.73","2.525E-05"
"0.0015","35.46","28.02","63.48","3.363E-05"
"0.002","41.23","28.3","69.53","4.114E-05"
"0.0025","46.34","28.26","74.6","4.808E-05"
"0.003","50.98","28.05","79.02","5.458E-05"
"0.004","59.26","27.37","86.64","6.665E-05"
"0.005","66.61","26.57","93.18","7.777E-05"
"0.006","73.28","25.75","99.02","8.818E-05"
"0.007","79.43","24.94","104.4","9.801E-05"
"0.008","85.18","24.16","109.3","0.0001074"
"0.009","90.6","23.43","114","0.0001163"
"0.01","95.73","22.74","118.5","0.0001249"
"0.0125","107.6","21.19","128.8","0.0001451"
"0.015","118.4","19.85","138.2","0.0001639"
"0.0175","128.3","18.7","147","0.0001814"
"0.02","137.6","17.69","155.2","0.0001979"
"0.0225","146.3","16.8","163.1","0.0002137"
"0.025","154.6","16.01","170.6","0.0002286"
"0.0275","162.4","15.3","177.7","0.000243"
"0.03","170","14.67","184.7","0.0002568"
"0.035","184.2","13.56","197.8","0.0002829"
"0.04","197.5","12.64","210.1","0.0003075"
"0.045","209.9","11.85","221.8","0.0003306"
"0.05","221.7","11.17","232.9","0.0003526"
"0.055","232.9","10.57","243.5","0.0003736"
"0.06","243.6","10.04","253.7","0.0003937"
"0.065","253.9","9.575","263.5","0.0004131"
"0.07","263.8","9.154","272.9","0.0004317"
"0.075","273.3","8.774","282.1","0.0004497"
"0.08","282.5","8.428","290.9","0.0004672"
"0.085","291.3","8.112","299.5","0.0004841"
"0.09","300","7.823","307.8","0.0005006"
"0.095","308.3","7.556","315.9","0.0005166"
"0.1","316.4","7.309","323.7","0.0005322"
"0.125","353.9","6.307","360.2","0.0006054"
"0.15","387.1","5.573","392.7","0.0006718"
"0.175","417","5.008","422","0.0007331"
"0.2","444","4.515","448.5","0.0007906"
"0.225","468.6","4.151","472.7","0.0008448"
"0.25","491","3.848","494.8","0.0008965"
"0.275","511.4","3.59","515","0.000946"
"0.3","530.1","3.367","533.5","0.0009937"
"0.35","562.9","3.003","565.9","0.001085"
"0.4","590.3","2.715","593","0.001171"
"0.45","613","2.483","615.5","0.001254"
"0.5","631.7","2.29","634","0.001334"
"0.55","646.9","2.128","649.1","0.001411"
"0.6","659.2","1.989","661.2","0.001488"
"0.65","669","1.869","670.9","0.001563"
"0.7","676.6","1.763","678.3","0.001637"
"0.75","682.3","1.67","684","0.00171"
"0.8","686.4","1.587","688","0.001783"
"0.85","689.2","1.512","690.7","0.001856"
"0.9","690.9","1.445","692.3","0.001928"
"0.95","691.6","1.384","693","0.002"
"1","691.5","1.328","692.8","0.002072"
"1.25","682.4","1.11","683.5","0.002435"
"1.5","665.6","0.9571","666.6","0.002805"
"1.75","645.8","0.8437","646.6","0.003186"
"2","625","0.7559","625.7","0.003579"
"2.25","604.2","0.6857","604.9","0.003985"
"2.5","584.1","0.6283","584.7","0.004406"
"2.75","564.7","0.5803","565.3","0.00484"
"3","546.3","0.5396","546.9","0.00529"
"3.5","512.4","0.4742","512.8","0.006235"
"4","482","0.4237","482.4","0.00724"
"4.5","454.9","0.3836","455.2","0.008308"
"5","430.6","0.3508","430.9","0.009437"
"5.5","408.8","0.3235","409.1","0.01063"
"6","389.1","0.3004","389.4","0.01188"
"6.5","371.3","0.2805","371.5","0.0132"
"7","355","0.2633","355.3","0.01457"
"7.5","340.3","0.2482","340.5","0.01601"
"8","326.7","0.2348","326.9","0.01751"
"8.5","314.2","0.2229","314.5","0.01907"
"9","302.7","0.2122","303","0.02069"
"9.5","292.1","0.2025","292.3","0.02237"
"10","282.2","0.1937","282.4","0.02411"
