"Alpha Energy","Electronic Stopping Power","Nuclear Stopping Power","Total Stopping Power","CSDA Range"
"0.001","72.55","17.29","89.84","1.688E-05"
"0.0015","85.67","18.22","103.9","2.204E-05"
"0.002","96.39","18.65","115","2.661E-05"
"0.0025","105.6","18.84","124.5","3.078E-05"
"0.003","113.8","18.88","132.7","3.467E-05"
"0.004","128.1","18.73","146.8","4.182E-05"
"0.005","140.3","18.42","158.8","4.836E-05"
"0.006","151.2","18.05","169.3","5.446E-05"
"0.007","161.1","17.66","178.7","6.02E-05"
"0.008","170.1","17.26","187.4","6.567E-05"
"0.009","178.6","16.86","195.4","7.089E-05"
"0.01","186.4","16.47","202.9","7.591E-05"
"0.0125","204.3","15.56","219.8","8.774E-05"
"0.015","220.1","14.75","234.9","9.873E-05"
"0.0175","234.4","14.02","248.5","0.0001091"
"0.02","247.6","13.37","261","0.0001189"
"0.0225","259.8","12.79","272.6","0.0001283"
"0.025","271.2","12.26","283.5","0.0001372"
"0.0275","282","11.78","293.7","0.0001459"
"0.03","292.2","11.34","303.5","0.0001543"
"0.035","311.1","10.57","321.7","0.0001703"
"0.04","328.4","9.912","338.4","0.0001854"
"0.045","344.5","9.344","353.9","0.0001999"
"0.05","359.6","8.848","368.4","0.0002137"
"0.055","373.7","8.411","382.1","0.000227"
"0.06","387","8.021","395","0.0002399"
"0.065","399.7","7.671","407.3","0.0002524"
"0.07","411.7","7.355","419.1","0.0002645"
"0.075","423.3","7.068","430.3","0.0002762"
"0.08","434.3","6.806","441.1","0.0002877"
"0.085","444.9","6.565","451.5","0.0002989"
"0.09","455.1","6.344","461.4","0.0003099"
"0.095","464.9","6.139","471.1","0.0003206"
"0.1","474.4","5.949","480.4","0.0003311"
"0.125","517.5","5.17","522.7","0.0003809"
"0.15","554.8","4.593","559.4","0.0004271"
"0.175","587.6","4.145","591.7","0.0004706"
"0.2","616.7","3.785","620.5","0.0005118"
"0.225","642.8","3.49","646.3","0.0005513"
"0.25","666.2","3.242","669.5","0.0005892"
"0.275","687.3","3.002","690.3","0.000626"
"0.3","706.3","2.822","709.1","0.0006617"
"0.35","738.9","2.525","741.4","0.0007306"
"0.4","765.2","2.29","767.5","0.0007969"
"0.45","786.1","2.099","788.2","0.0008611"
"0.5","802.5","1.94","804.4","0.0009239"
"0.55","814.8","1.806","816.6","0.0009856"
"0.6","823.7","1.69","825.4","0.001046"
"0.65","829.5","1.59","831.1","0.001107"
"0.7","832.7","1.502","834.2","0.001167"
"0.75","833.6","1.424","835.1","0.001227"
"0.8","832.5","1.354","833.9","0.001287"
"0.85","829.8","1.292","831.1","0.001347"
"0.9","825.5","1.236","826.8","0.001407"
"0.95","820.1","1.184","821.3","0.001468"
"1","813.6","1.137","814.7","0.001529"
"1.25","771.4","0.9531","772.3","0.001844"
"1.5","722.4","0.8236","723.3","0.002178"
"1.75","674.4","0.7272","675.2","0.002536"
"2","630.4","0.6524","631.1","0.002919"
"2.25","591.4","0.5926","592","0.003328"
"2.5","557.1","0.5435","557.7","0.003763"
"2.75","527.2","0.5025","527.7","0.004224"
"3","501","0.4676","501.5","0.004711"
"3.5","457.7","0.4114","458.1","0.005755"
"4","423.4","0.3681","423.7","0.006892"
"4.5","395.5","0.3335","395.8","0.008114"
"5","372.3","0.3052","372.6","0.009416"
"5.5","352.5","0.2817","352.8","0.0108"
"6","335.4","0.2617","335.7","0.01225"
"6.5","320.5","0.2445","320.7","0.01377"
"7","307.1","0.2296","307.4","0.01537"
"7.5","295.2","0.2165","295.4","0.01703"
"8","284.4","0.205","284.6","0.01875"
"8.5","274.6","0.1946","274.8","0.02054"
"9","265.6","0.1853","265.8","0.02239"
"9.5","257.3","0.177","257.4","0.0243"
"10","249.6","0.1694","249.7","0.02628"
